timestamp,project_name,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,on_cloud,cloud_provider,cloud_region,,,,,,,,,,,,,,
2020-03-23T09:26:11,project_gamma,34,8,4,8,0,1.234535,8,0,0.1565332,8,USA,USA,Ohio,Y,aws,us-east-2,,,,,,,,,,,,,,
2020-03-24T15:26:11,project_delta,16,1,0.5,3,0,1.234535034,3,0,0.156533207,3,Taiwan,TWN,Changhua County,Y,gcp,asia-east1,,,,,,,,,,,,,,
2020-03-25T21:26:11,project_alpha,19,1,0.5,1,0,1.234535069,1,0,0.156533215,1,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-03-27T03:26:11,project_theta,34,8,4,5,0,1.234535103,5,0,0.156533222,5,Brazil,BRA,Sao Paulo,Y,azure,brazilsouth,,,,,,,,,,,,,,
2020-03-28T09:26:11,project_gamma,48,8,4,7,0,1.234535137,7,0,0.156533229,7,USA,USA,Ohio,Y,aws,us-east-2,,,,,,,,,,,,,,
2020-03-29T15:26:11,project_theta,25,7,3.5,6,0,1.234535172,6,0,0.156533236,6,Brazil,BRA,Sao Paulo,Y,azure,brazilsouth,,,,,,,,,,,,,,
2020-03-30T21:26:11,project_delta,29,6,3,8,0,1.234535206,8,0,0.156533244,8,Taiwan,TWN,Changhua County,Y,gcp,asia-east1,,,,,,,,,,,,,,
2020-04-01T03:26:11,project_alpha,10,6,3,6,0,1.23453524,6,0,0.156533251,6,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-04-02T09:26:11,project_alpha,13,9,4.5,9,0,1.234535274,9,0,0.156533258,9,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-04-03T15:26:11,project_delta,35,2,1,4,0,1.234535309,4,0,0.156533265,4,Taiwan,TWN,Changhua County,Y,gcp,asia-east1,,,,,,,,,,,,,,
2020-04-04T21:26:11,project_beta,27,7,3.5,8,0,1.234535343,8,0,0.156533273,8,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-04-06T03:26:11,project_delta,42,7,3.5,1,0,1.234535377,1,0,0.15653328,1,Taiwan,TWN,Changhua County,Y,gcp,asia-east1,,,,,,,,,,,,,,
2020-04-07T09:26:11,project_theta,49,7,3.5,6,0,1.234535412,6,0,0.156533287,6,Brazil,BRA,Sao Paulo,Y,azure,brazilsouth,,,,,,,,,,,,,,
2020-04-08T15:26:11,project_gamma,49,3,1.5,9,0,1.234535446,9,0,0.156533295,9,USA,USA,Ohio,Y,aws,us-east-2,,,,,,,,,,,,,,
2020-04-09T21:26:11,project_gamma,40,9,4.5,7,0,1.23453548,7,0,0.156533302,7,USA,USA,Ohio,Y,aws,us-east-2,,,,,,,,,,,,,,
2020-04-11T03:26:11,project_beta,36,6,3,6,0,1.234535515,6,0,0.156533309,6,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-04-12T09:26:11,project_beta,18,3,1.5,2,0,1.234535549,2,0,0.156533316,2,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-04-13T15:26:11,project_theta,26,6,3,6,0,1.234535583,6,0,0.156533324,6,Brazil,BRA,Sao Paulo,Y,azure,brazilsouth,,,,,,,,,,,,,,
2020-04-14T21:26:11,project_alpha,39,8,4,6,0,1.234535617,6,0,0.156533331,6,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
