"Actual, x; Crude ex. US SPR, x; Main Products, x","Actual, y","Seasonal*, x","Seasonal*, y","Crude ex. US SPR, y","Main Products, y"
"1","47.5920483603","1.01927769107","22.3608807813","22.83","13.77"
"2","8.24134381238","1.0630206845","20.9858116823","5.09","-14.65"
"3","23.1116614693","1.10676367793","19.5617359279","17.67","-13.52"
"4","12.034792194200001","1.15050667136","18.1837840845","16.666","3.333"
"5","3.63862644237","1.1942496647799998","16.756825585599998","9.496","5.723"
"6","-2.38031165686","1.23799265821","15.3731082533","-2.201","3.207"
"7","19.3182130874","1.2817356516399998","13.9720944544","-6.603","6.101"
"8","-3.8471116978500004","1.3254786450700002","12.5451359554","-10.0","-0.314"
"","","1.36922163849","11.1354739232","",""
"","","1.41296463192","9.69986719095","",""
"","","1.45670762535","8.29020515869","",""
"","","1.50045061878","6.889191359760001","",""
"","","1.5441936122","5.479529327509999","",""
"","","1.58793660563","4.06986729525","",""
"","","1.6316795990600002","2.64290879634","",""
"","","1.67542259249","1.25054323074","",""
"","","1.71916558591","-0.129467715828","",""
"","","1.7629085793400001","-1.5774290671000002","",""
"","","1.80665157277","-2.9697946327099998","",""
"","","1.8503945662","-4.4226978316","",""
"","","1.89413755962","-5.771822230569999","",""
"","","1.9415258025","-7.328504229380001","",""
"","","2.00714029265","-8.8696194082","",""
"","","2.08814583603","-8.26251342866","",""
"","","2.16834132398","-7.201663473919999","",""
"","","2.2485368119299998","-6.10622058587","",""
"","","2.32873229988","-5.05113612001","",""
"","","2.41085166949","-3.9362347069699997","",""
"","","2.49104715744","-2.89844670776","",""
"","","2.57124264539","-1.83471400857","",""
"","","2.65113436255","-0.738550434411","",""
"","","2.7313298505000003","0.35689245364100003","",""
"","","2.81152533845","1.42927338616","",""
"","","2.8917208264","2.47282687425","",""
"","","2.97191631435","3.5625042734199996","",""
"","","3.0521118023000002","4.58299580597","",""
"","","3.1323072902499995","5.60348733852","",""
"","","3.2125027782099997","6.6182133821899995","",""
"","","3.29269826616","7.65023589252","",""
"","","3.37319752489","8.65343095842","",""
"","","3.4533930128400003","9.66527425764","",""
"","","3.5316646191400003","10.6482901124","",""
"","","3.61186010709","11.6745471339","",""
"","","3.6920555950400002","12.6777421998","",""
"","","3.76779577811","13.6218410046","",""
"","","3.8596560643","14.838647433699999","",""
"","","3.9398515522500004","15.808979212899999","",""
"","","4.02012804575","16.3734205747","",""
"","","4.094045604090001","15.9698363528","",""
"","","4.16877321786","15.437970003199998","",""
"","","4.25990445417","14.7999662446","",""
"","","4.35468093992","14.1159696088","",""
"","","4.45310267514","13.4168778748","",""
"","","4.55152441035","12.7353970886","",""
"","","4.6499461455599995","12.0210530158","",""
"","","4.744722631319999","11.367246576300001","",""
"","","4.846789615980001","10.6407949769","",""
"","","4.94156610174","9.95066595742","",""
"","","5.0363425875","9.25015905796","",""
"","","5.13111907326","8.419928658589999","",""
"","","5.22589555902","7.6208318992","",""
"","","5.3133815458800004","6.85286877979","",""
"","","5.40815803164","6.053772020399999","",""
"","","5.5029345174","5.24948632102","",""
"","","5.59771100316","4.4244448616500005","",""
"","","5.6888422394700005","3.6547520955699997","",""
"","","5.78361872523","2.8360526739700003","",""
"","","5.87474996153","2.06866610345","",""
"","","5.96952644729","1.24881358407","",""
"","","6.07159343196","0.84407626438","",""
"","","6.188241414430001","0.643004839534","",""
"","","6.28666314964","0.511512382816","",""
"","","6.39602063321","0.351126964757","",""
"","","6.505378116779999","0.143569364915","",""
"","","6.6147356003499995","-0.0215332713221","",""
"","","6.716802585009999","-0.191353125738","",""
"","","6.805199884229999","-0.303976709743","",""
"","","6.8751105612300005","-0.45686512033999993","",""
"","","6.946453300510001","-0.5504513595539999","",""
"","","7.037584536819999","-1.0152939008700002","",""
"","","7.128715773119999","-1.8541725335599997","",""
"","","7.216201759980001","-2.69478081292","",""
"","","7.3073329962899995","-3.55210901004","",""
"","","7.40210948204","-4.4342288093699995","",""
"","","7.4895954689","-5.252928230959999","",""
"","","7.584371954660001","-6.13504803029","",""
"","","7.67550319097","-7.01197888962","",""
"","","7.76298917782","-7.826642468999999","",""
"","","7.85412041413","-8.69178028288","",""
"","","7.9452516504399995","-9.56493736767","",""
"","","8.03273763729","-9.673905107589999","",""
"","","8.1165783747","-8.71798705054","",""
"","","8.20406436155","-7.749384917939999","",""
"","","8.28790509895","-6.7836655297899995","",""
"","","8.37174583636","-5.80641516387","",""
"","","8.45923182321","-4.8320475424","",""
