Author,n (strains),publication title,journal,publication URL,strains
Jin et al,8,The Genomic Sequence Of A Contemporary Wild-type Mumps Virus Strain,Virus Res. 70  1-2  75-83  2000 ,https://www.ncbi.nlm.nih.gov/pubmed/11074127,Ge9.DEU/0.77/D RW154.USA/0.70s/K Bedford.GBR/0.89/H Fukuoka.JPN/41.00/L Akita.JPN/42.93/I Leeds.GBR/9.04/J London.GBR/3.02-Uncl Glouc1/UK96
Hasegawa et al,3,Detection Of Mumps Rubulavirus Tokyo Japan,Unpublished,unknown,31170132 31170254 31170187
Eshaghi et al,7,Mumps Outbreak In Ontario Canada 2009-2010,Unpublished,unknown,Ontario.CAN/13.10/G Ontario.CAN/04.10/G Ontario.CAN/37.09/G Ontario.CAN/38.09/2/G Ontario.CAN/40.09/1/G Ontario.CAN/50.09/1/G Ontario.CAN/50.09/3/G
Vaidya et al,9,Mumps Outbreak In A Tribal Population From The Union Territory Of Dadra And Nagar Haveli India,Unpublished,unknown,Chennai.IND/35.12/C Davangere.IND/01.14/C Pune.Ind/50.08/C Kushinagar.IND/36.13/C Osmanabad.IND/10.12/17/C Osmanabad.IND/10.12/18/C Pune.IND/00.86/G Pune.IND/07.12/G Dadra&NagarHaveli.IND/42.16/1/G
Gardy et al,28,Unpublished,?,unknown,BritishColumbia.CAN/34.16/2/F BritishColumbia.CAN/28.16/3/G BritishColumbia.CAN/14.11/2/G BritishColumbia.CAN/29.16/5/G BritishColumbia.CAN/28.16/6/G BritishColumbia.CAN/36.16/G BritishColumbia.CAN/23.16/1/G BritishColumbia.CAN/22.16/2/G BritishColumbia.CAN/18.16/3/G BritishColumbia.CAN/34.16/3/G BritishColumbia.CAN/16.16/4/G BritishColumbia.CAN/27.16/?/? BritishColumbia.CAN/17.16/G BritishColumbia.CAN/31.16/4/G BritishColumbia.CAN/13.16/G BritishColumbia.CAN/24.16/7/G BritishColumbia.CAN/42.16/G BritishColumbia.CAN/24.16/4/G BritishColumbia.CAN/31.16/1/G BritishColumbia.CAN/22.16/1/G BritishColumbia.CAN/18.17/2/G BritishColumbia.CAN/8.17/5/G BritishColumbia.CAN/8.17/2/G BritishColumbia.CAN/8.17/8/G BritishColumbia.CAN/11.16/G Manitoba.CAN/44.16/15/G Manitoba.CAN/47.16/4/G Manitoba.CAN/43.16/5/G
Cui et al,1,[Genetic Analysis Of A Genotype F Mumps Virus Based On Its Complete Genome Sequence],Bing Du Xue Bao 29  6  602-607  2013 ,https://www.ncbi.nlm.nih.gov/pubmed/24520765,Shandong.CHN/4.05/F
Ma et al,2,Sequence Analysis Of The Sh Gene And Its Flanking Region Of Mumps Virus Isolated Strain  Sp Strain ,Microbes Infect.  2006  In Press,unknown,SP-A SP
Lee et al,1,Complete Nucleotide Sequence Of A Mumps Virus Genotype I Strain Isolated In Korea,Virus Genes 28  2  201-205  2004 ,https://www.ncbi.nlm.nih.gov/pubmed/14976420,Dg1062/Korea/98
Elena et al,1,Direct Submission,Submitted  20-apr-2017  Measles Mumps Rubella And Herpesvirus Laboratory Branch Centers For Disease Control And Prevention 1600 Clifton Road Ne Atlanta Ga 30329 Usa,unknown,Virginia.USA/10.12/H
Kirkness et al,7,Direct Submission,Submitted  12-jun-2012  J. Craig Venter Institute 9704 Medical Center Drive Rockville Md 20850 Usa,unknown,California.USA/50.07/1 Mass.USA/4.10 Iowa.USA/06/G New_York.USA/53.09/3 New_York.USA/40.09/1 New_York.USA/01.10 New_York.USA/40.09/4
Kidokoro et al,2,Muv Isolate In Japan,Unpublished,unknown,MuVi-MNG09-024 Hikaru.JPN/22.97-B
He et al,4,Mumps Epidemiology And Molecular Charicterisation Of Mumps Virus Circulating In Zhejiang Province China During The Period Of 2005-2010,Unpublished,unknown,Zhejiang.CHN/16.08/2 Zhejiang.CHN/11.06/1 Zhejiang.CHN/26.05 Zhejiang.CHN/19.10
Wohl et al,33,Unpublished,?,unknown,Massachusetts.USA/24.17/5/K Massachusetts.USA/11.17/G Massachusetts.USA/10.17/G Massachusetts.USA/23.17/2/G NewJersey.USA/16.14/2/G Indiana.USA/5.14/G NewYork.USA/8.14/G Ohio.USA/13.14/6/G Ohio.USA/12.14/9/G Michigan.USA/12.14/G Ohio.USA/16.14/1/G Ohio.USA/16.14/2/G NewJersey.USA/49.14/G Pennsylvania.USA/51.14/G NewYork.USA/51.14/G Illinois.USA/26.15/2/G Texas.USA/27.17/G Louisiana.USA/29.17/G Michigan.USA/4.16/G Texas.USA/15.17/G Texas.USA/18.17/G Pennsylvania.USA/19.16/G Montana.USA/11.16/G Massachusetts.USA/25.17/2/G Massachusetts.USA/22.17/4/G Massachusetts.USA/21.17/G NewHampshire.USA/40.16/G Indiana.USA/49.16/G Massachusetts.USA/25.17/5/G Indiana.USA/48.16/G Massachusetts.USA/14.17/G Kansas.USA/15.17/G Kansas.USA/10.17/G
Maganga et al,2,Complete Genome Sequence Of Mumps Virus Genotype G From A Vaccinated Child In Franceville Southeastern Gabon In 2013,Genome Announc 2  6   2014 ,https://www.ncbi.nlm.nih.gov/pubmed/25428961,Gabon/9.13/2/G Gabon/13/2/G
Agafonov et al,1,Isolation Genotyping And Analysis Of The Complete Nucleotide Sequence Of Mumps Virus Siberian Strain,Epidemiol Vakcinoprofil 5 34-42  2007 ,unknown,Novosibirsk.RUS/10.03-H
Espinosa et al,1,Direct Submission,Submitted  20-apr-2017  Viral And Rickettsial Disease Laboratory California Department Of Public Health 850 Marina Bay Parkway Richmond Ca 94804 Usa,unknown,California.USA/40.11/G
Wongsurawat et al,3,Three Complete Genome Sequences Of Genotype G Mumps Virus From The 2016 Outbreak In Arkansas Usa,Unpublished,unknown,Springdale_730/2016/G Springdale_754/2016/G Springdale_745/2016/G
Byrne et al,25,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,Unpublished,unknown,Massachusetts.USA/37.16/1/G Massachusetts.USA/26.15/1/G Massachusetts.USA/9.16/2/G Massachusetts.USA/37.15/1/G Massachusetts.USA/30.16/1/G Massachusetts.USA/27.16/1/G Massachusetts.USA/45.16/1/G Massachusetts.USA/50.16/1/G Massachusetts.USA/44.16/1/G Massachusetts.USA/46.16/1/G Massachusetts.USA/39.16/1/G Massachusetts.USA/8.16/3/G Massachusetts.USA/17.16/12/G Massachusetts.USA/17.16/1/G Massachusetts.USA/17.16/11/G Massachusetts.USA/13.16/1/G Massachusetts.USA/22.16/2/G Massachusetts.USA/8.16/2/G Massachusetts.USA/8.16/5/G Massachusetts.USA/16.16/15/G Massachusetts.USA/22.16/1/G Massachusetts.USA/19.16/4/G Massachusetts.USA/22.16/3/G Massachusetts.USA/27.16/2/G Massachusetts.USA/33.16/1/G
Moncla et al,7,Unpublished,?,unknown,Washington.USA/2017217/8.17/3/G Washington.USA/2017031/50.16/5/G Washington.USA/2017105/2.17/2/G Washington.USA/2017108/2.17/5/G Washington.USA/2017153/5.17/5/G Washington.USA/2017232/9.17/2/G Washington.USA/2017193/6.17/4/G
