Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Db,Raw Date,Labels
NIID123/2016,Lc219720,2016-11-22,Southeast Asia,Vietnam,Vietnam,Hashimoto Et Al,Emerging Infect. Dis. 23  7  1223-1225  2017 ,Importation Of Zika Virus From Vietnam To Japan November 2016,https://www.ncbi.nlm.nih.gov/nuccore/LC219720,2016.89,Genbank,2016-11-22,Aa: Ns4b: G23r; Ns2a: M6i; Ns5: K697r M871i; Mp: L53f; Env: K84r S260n; Ns4a: I78m; Ns1: V106a; Ns3: H584y; Pro: Y35h;
SG_021,Ky241691,2016-09-13,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241691,2016.70,Genbank,2016-09-13,Aa: Ns4b: A24n; Ns5: M135t E643d; Ns1: V194a;
Thai/KngSG/17_D501,Lc369584,2017-01-01,Japan Korea,Japan,Japan,Kato Et Al,Unpublished,The Almost Complete Sequence Of Zika Virus Imported From Thailand To Japan In 2017,https://www.ncbi.nlm.nih.gov/nuccore/LC369584,2018.00,Genbank,2017-xx-xx,Aa: Ns2b: I39t; Ns2a: A58t; Ns5: Q598k; Ns3: Y498h;
Thailand/1610acTw,Mf692778,2016-10-01,China,Taiwan,Taiwan,Lin Et Al,Unpublished,Imported Zika Virus Strains Taiwan 2016,https://www.ncbi.nlm.nih.gov/nuccore/MF692778,2016.83,Genbank,2016-10-xx,Aa: Ns4b: A112t; Ns2a: I80v; Ns5: N402k N556h; Ns1: K206r;
SG_018,Ky241688,2016-09-13,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241688,2016.70,Genbank,2016-09-13,Aa: Pro: G79v;
SG_044,Ky241714,2016-08-28,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241714,2016.66,Genbank,2016-08-28,Aa: Ns4b: G23e; Env: L298f A343v; Ns3: I274t;
SG_059,Ky241729,2016-08-29,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241729,2016.66,Genbank,2016-08-29,Aa: Ns4b: T25i; Ns3: E402d;
SG_046,Ky241716,2016-08-28,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241716,2016.66,Genbank,2016-08-28,Aa: Ns4b: K137n; Ns1: F160c;
SG_027,Ky241697,2016-08-27,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241697,2016.65,Genbank,2016-08-27,unknown
SG_028,Ky241698,2016-08-26,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241698,2016.65,Genbank,2016-08-26,Aa: Ns5: T347p;
SG_113,Ky241783,2016-09-07,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241783,2016.68,Genbank,2016-09-07,unknown
SG_036,Ky241706,2016-08-28,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241706,2016.66,Genbank,2016-08-28,unknown
SG_112,Ky241782,2016-09-07,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241782,2016.68,Genbank,2016-09-07,unknown
SG_064,Ky241734,2016-08-28,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241734,2016.66,Genbank,2016-08-28,unknown
SG_106,Ky241776,2016-09-05,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241776,2016.68,Genbank,2016-09-05,Aa: Ns4b: S186p;
SG_057,Ky241727,2016-08-28,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241727,2016.66,Genbank,2016-08-28,Aa: Pro: I36v;
SG_086,Ky241756,2016-09-05,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241756,2016.68,Genbank,2016-09-05,unknown
SG_097,Ky241767,2016-09-07,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241767,2016.68,Genbank,2016-09-07,unknown
SG_007,Ky241677,2016-09-07,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241677,2016.68,Genbank,2016-09-07,unknown
SG_005,Ky241675,2016-09-06,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241675,2016.68,Genbank,2016-09-06,unknown
SG_015,Ky241685,2016-09-12,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241685,2016.70,Genbank,2016-09-12,unknown
SG_014,Ky241684,2016-09-08,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241684,2016.69,Genbank,2016-09-08,unknown
ZKA_16_291,Kx827309,2016-08-28,Southeast Asia,Singapore,Singapore,Ng Et Al,Unpublished,Genome Sequences Of Local Transmitted Zika Viruses In Singapore In 2016,https://www.ncbi.nlm.nih.gov/nuccore/KX827309,2016.66,Genbank,2016-08-28,Aa: Ns3: T215a;
SG_056,Ky241726,2016-08-28,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241726,2016.66,Genbank,2016-08-28,unknown
SG_117,Ky241787,2016-09-07,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241787,2016.68,Genbank,2016-09-07,unknown
SG_099,Ky241769,2016-09-10,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241769,2016.69,Genbank,2016-09-10,Aa: Ns5: S234y;
SG_060,Ky241730,2016-08-27,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241730,2016.65,Genbank,2016-08-27,Aa: Ns3: P327l;
SG_023,Ky241693,2016-09-15,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241693,2016.71,Genbank,2016-09-15,unknown
