name,pop,lat,lon
American Samoa,9,-14.30063095,-170.695974791655
Brazil,98,-10.3333333,-53.2
China,9,25.4915799,-98.9811115045569
Colombia,37,2.8894434,-73.783892
Cuba,2,23.0131338,-80.8328748
Dominican Republic,31,19.0974031,-70.3028026
Ecuador,3,-1.3397668,-79.3666965
El Salvador,2,13.8000382,-88.9140683
Fiji,1,-18.1239696,179.0122737
French Guiana,1,4.0039882,-52.999998
French Polynesia,15,-18.6243749,-144.6434898
Guadeloupe,1,16.2490067,-61.5650444
Guatemala,5,15.6356088,-89.8988087
Haiti,11,19.1399952,-72.3570972
Honduras,33,15.0610686,-84.5978534
Jamaica,4,18.1850507,-77.3947693
Japan,3,36.5748441,139.2394179
Martinique,3,14.6113732,-60.9620777
Mexico,51,19.4326009,-99.1333416
Nicaragua,16,12.3724928,-84.8700308
Panama,4,8.3096067,-81.3066246
Peru,2,41.3272919,-89.1287636
Puerto Rico,6,18.22141715,-66.4132818505648
Saint Barthelemy,1,17.9007731,-62.7971617856874
Singapore,42,1.2904753,103.8520359
Suriname,3,4.1413025,-56.0771187
Taiwan,1,23.59829785,120.835363138175
Tonga,1,-19.9160819,-175.2026424
USA,40,39.7837304,-100.4458825
USVI,31,17.7189382,-64.8779166
Venezuela,5,8.0018709,-66.1109318
Vietnam,1,13.2904027,108.4265113
