Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Raw Date,Dtiter,Location,Dtiter Sanofi,Ctiter,Labels
DENV1/MALAYSIA/P1244/1972,Ef457905,1972-01-01,Southeast Asia,Malaysia,Malaysia,Diallo Et Al.,unknown,unknown,unknown,1972.00,1972-xx-xx,0.00,Malaysia,0.06,0.00,Aa: C: S101t; Ns4b: M53l T109i; E: I6v K120e E157g V345i; M: S15n T107a; Ns2b: V120l; Ns2a: A38v N51s E115d; Ns1: M103v D146s I224t; Ns3: F85l G103r T112m S158g A170t S368a; Ns5: M34v Q195r A245t T399i D414n I552v S631n;
DENV1/INDIA/3180/1970,Jf297578,1970-01-01,South Asia,India,India,Cecilia Et Al.,unknown,unknown,unknown,1971.00,1970-xx-xx,0.00,India,0.13,0.06,Aa: E: I6v V143a H144q Q148h E154v E157d G274r G399r E403r;
DENV1/INDIA/5393/1971,Jf297579,1971-01-01,South Asia,India,India,Cecilia Et Al.,unknown,unknown,unknown,1971.08,1971-xx-xx,0.00,India,0.13,0.06,unknown
DENV1/INDIA/D5393/1971,Jq922546,1971-01-01,South Asia,India,Rajasthan,Cecilia Et Al.,unknown,unknown,unknown,1971.08,1971-xx-xx,0.00,Rajasthan,0.13,0.06,unknown
DENV1/COTE_D_IVOIRE/AF298807/1998,Af298807,1998-01-01,Subsaharan Africa,Cote D Ivoire,Abidjan,Billoir Et Al.,unknown,unknown,unknown,1999.00,1998-xx-xx,0.00,Abidjan,0.13,0.06,Aa: Ns4b: H17q V112m; E: T473a; M: D62h; Ns2b: K55r; Ns2a: K156q; Ns4a: R42k V93i; Ns1: I128t; Ns5: M529i T565s M614i E640g T883i;
DENV1/ANGOLA/NA/2013,Kf184975,2013-04-01,Subsaharan Africa,Angola,Angola,Gubler Et Al.,unknown,unknown,unknown,2013.33,2013-04-xx,0.00,Angola,0.13,0.06,Aa: C: G26v S70g S90n R100k L109m; E: N8s N37d G146e; M: K122r; Ns4a: K12r;
DENV1/CHINA/ZJYW01/2013,Kf864667,2013-05-01,China,China,Zhejiang,Chen Et Al.,unknown,unknown,unknown,2013.41,2013-05-xx,0.00,Zhejiang,0.13,0.06,unknown
DENV1/ANGOLA/DB135/2013,Km277613,2013-01-01,Subsaharan Africa,Angola,Angola,Merolle Et Al.,unknown,unknown,unknown,2013.29,2013-xx-xx,0.00,Angola,0.13,0.06,unknown
DENV1/ANGOLA/DB136/2013,Km277614,2013-01-01,Subsaharan Africa,Angola,Angola,Merolle Et Al.,unknown,unknown,unknown,2013.00,2013-xx-xx,0.00,Angola,0.13,0.06,unknown
DENV1/MYANMAR/40553/1971,Ay713473,1971-01-01,Southeast Asia,Myanmar,Myanmar,Aaskov Et Al.,unknown,unknown,unknown,1972.00,1971-xx-xx,0.00,Myanmar,0.13,0.06,Aa: C: S90n; Ns4b: L126m; E: V55i; Ns4a: M45v; Ns3: L26s P119l; Ns5: S188r T265i R325k M529i E615g;
DENV1/MYANMAR/40568/1976,Ay722801,1976-01-01,Southeast Asia,Myanmar,Myanmar,Aaskov Et Al.,unknown,unknown,unknown,1976.00,1976-xx-xx,0.00,Myanmar,0.13,0.06,Aa: E: E195d M492t; Ns4a: K76r; Ns1: Q129h L183v;
DENV1/THAILAND/0038/1983,Ay732379,1983-01-01,Southeast Asia,Thailand,Bangkok,Chinnawirotpisan Et Al.,unknown,unknown,unknown,1983.00,1983-xx-xx,0.00,Bangkok,0.13,0.06,unknown
DENV1/THAILAND/0442/1980,Ay732476,1980-01-01,Southeast Asia,Thailand,Bangkok,Chinnawirotpisan Et Al.,unknown,unknown,unknown,1980.00,1980-xx-xx,0.00,Bangkok,0.13,0.06,Aa: E: E384k I425m; Ns3: I165m A552d; Ns5: H127y Y293h;
DENV1/INDIA/6883/1982,Jf297580,1982-01-01,South Asia,India,India,Cecilia Et Al.,unknown,unknown,unknown,1982.97,1982-xx-xx,0.00,India,0.13,0.06,unknown
DENV1/INDIA/D6883/1982,Jq922545,1982-01-01,South Asia,India,Delhi,Cecilia Et Al.,unknown,unknown,unknown,1982.97,1982-xx-xx,0.00,Delhi,0.13,0.06,unknown
DENV1/INDIA/UOH2999/2014,Ku551905,2014-01-01,South Asia,India,India,Gandikota Et Al.,unknown,unknown,unknown,2014.00,2014-xx-xx,0.00,India,0.13,0.06,Aa: E: D98g Q248r T329a;
DENV1/SOUTH_KOREA/DENKOR01/2004,Kp406801,2004-01-01,Japan Korea,South Korea,South Korea,Balasuriya Et Al.,unknown,unknown,unknown,2005.00,2004-xx-xx,0.00,South Korea,0.13,0.06,Aa: E: T265a;
DENV1/SOUTH_KOREA/DENKOR08/2006,Fj687475,2006-01-01,Japan Korea,South Korea,South Korea,Cho Et Al.,unknown,unknown,unknown,2006.00,2006-xx-xx,0.00,South Korea,0.13,0.06,unknown
DENV1/INDIA/DIA07ATW/2008,Jf967814,2008-01-01,South Asia,India,India,Chang Et Al.,unknown,unknown,unknown,2008.73,2008-xx-xx,0.00,India,0.13,0.06,Aa: E: K307r;
DENV1/INDIA/HOSANAGARAMCVR1311/2015,Ky021900,2015-10-06,South Asia,India,India,Anjali Et Al.,unknown,unknown,unknown,2015.76,2015-10-06,0.00,India,0.13,0.06,Aa: E: K36e;
DENV1/COMOROS/04329/1993,Dq285562,1993-01-01,Subsaharan Africa,Comoros,Comoros,Burt Et Al.,unknown,unknown,unknown,1993.16,1993-xx-xx,0.00,Comoros,0.13,0.06,unknown
DENV1/SAUDI_ARABIA/841/1994,Am746219,1994-01-01,West Asia,Saudi Arabia,Makkah,Cardosa Et Al.,unknown,unknown,unknown,1994.53,1994-xx-xx,0.00,Jeddah,0.13,0.06,unknown
DENV1/SAUDI_ARABIA/5/1994,Am746218,1994-01-01,West Asia,Saudi Arabia,Makkah,Cardosa Et Al.,unknown,unknown,unknown,1994.27,1994-xx-xx,0.00,Jeddah,0.13,0.06,unknown
DENV1/SINGAPORE/8114/1993,Ay762084,1993-01-01,Southeast Asia,Singapore,Singapore,Anwar Et Al.,unknown,unknown,unknown,1994.00,1993-xx-xx,0.00,Singapore,0.13,0.06,Aa: E: V297t I380v; M: R118k; Ns2b: L75p; Ns2a: I168m F178l; Ns4a: K39r; Ns1: R227k I307t; Ns3: V72i; Ns5: S585n N635t S636p T675a;
DENV1/SRI_LANKA/SRILANKA/2004,Jn415524,2004-01-01,South Asia,Sri Lanka,Sri Lanka,Northill Et Al.,unknown,unknown,unknown,2004.00,2004-xx-xx,0.00,Sri Lanka,0.13,0.06,unknown
DENV1/INDIA/8741/2005,Jf297582,2005-01-01,South Asia,India,India,Cecilia Et Al.,unknown,unknown,unknown,2005.90,2005-xx-xx,0.00,India,0.13,0.06,Aa: E: C3w;
DENV1/PAKISTAN/I5/2014,Kt239347,2014-01-01,West Asia,Pakistan,Pakistan,Afzal Et Al.,unknown,unknown,unknown,2014.00,2014-xx-xx,0.00,Pakistan,0.13,0.06,unknown
DENV1/INDIA/D55290/2005,Jq922548,2005-01-01,South Asia,India,Maharashtra,Cecilia Et Al.,unknown,unknown,unknown,2006.00,2005-xx-xx,0.00,Pune,0.13,0.06,unknown
DENV1/SINGAPORE/09106/2011,Jn544409,2011-03-01,Southeast Asia,Singapore,Singapore,Chua Et Al.,unknown,unknown,unknown,2011.16,2011-03-xx,0.00,Singapore,0.13,0.06,Aa: E: L308q; Ns2a: T148a; Ns4a: S99n; Ns1: I6v V286i; Ns5: Q195k K655r H828y;
DENV1/INDIA/RGCB419/2008,Jn903579,2008-10-23,South Asia,India,India,Abraham Et Al.,unknown,unknown,unknown,2008.81,2008-10-23,0.00,India,0.13,0.06,Aa: Ns4b: M28t; M: S15g; Ns3: F391i; Ns5: M882t; 2k: L14s;
DENV1/INDIA/RGCB585/2009,Jn903580,2009-04-05,South Asia,India,India,Abraham Et Al.,unknown,unknown,unknown,2009.26,2009-04-05,0.00,India,0.13,0.06,Aa: C: N2d; Ns3: H47r; Ns5: G1d S23p I280m;
DENV1/INDIA/RGCB592/2009,Jn903581,2009-04-06,South Asia,India,India,Abraham Et Al.,unknown,unknown,unknown,2009.26,2009-04-06,0.00,India,0.13,0.06,Aa: Ns4b: K11r; Ns2a: T138a; Ns1: A187v K341e; Ns3: N152d K431e; Ns5: A60v;
DENV1/INDIA/THIRTHAHALLIMCVR1304/2015,Ky021899,2015-10-05,South Asia,India,India,Anjali Et Al.,unknown,unknown,unknown,2015.76,2015-10-05,0.00,India,0.13,0.06,unknown
DENV1/INDIA/RR121/2010,Jq692085,2010-01-01,South Asia,India,India,Dash Et Al.,unknown,unknown,unknown,2010.00,2010-xx-xx,0.00,India,0.13,0.06,Aa: Ns5: I408v S631n;
DENV1/INDIA/RR107/2011,Kf289072,2011-01-01,South Asia,India,India,Agarwal Et Al.,unknown,unknown,unknown,2011.00,2011-xx-xx,0.00,India,0.13,0.06,Aa: C: R32s R82q; Ns1: R324k;
DENV1/INDIA/AP12243/2015,Kx721479,2015-01-01,South Asia,India,India,Chetry Et Al.,unknown,unknown,unknown,2015.05,2015-xx-xx,0.00,India,0.13,0.06,unknown
DENV1/INDIA/AP12241/2015,Kx721478,2015-01-01,South Asia,India,India,Chetry Et Al.,unknown,unknown,unknown,2015.05,2015-xx-xx,0.00,India,0.13,0.06,unknown
DENV1/INDIA/D011/2010,Km216667,2010-10-21,South Asia,India,Delhi,Chidlow Et Al.,unknown,unknown,unknown,2010.80,2010-10-21,0.00,Delhi,0.13,0.06,unknown
DENV1/INDIA/16687/2011,Ku509255,2011-01-01,South Asia,India,India,Cadar Et Al.,unknown,unknown,unknown,2011.75,2011-xx-xx,0.00,India,0.13,0.06,unknown
DENV1/CHINA/ZJ03/2013,Kj415094,2013-09-29,China,China,Zhejiang,Chen Et Al.,unknown,unknown,unknown,2013.74,2013-09-29,0.00,Zhejiang,0.13,0.06,unknown
DENV1/BHUTAN/P13085/2013,Kp849868,2013-01-01,South Asia,Bhutan,Bhutan,Chinnawirotpisan Et Al.,unknown,unknown,unknown,2014.00,2013-xx-xx,0.00,Bhutan,0.13,0.06,unknown
DENV1/INDIA/MANATHAVADYMCVR5844/2015,Ky021898,2015-07-17,South Asia,India,India,Anjali Et Al.,unknown,unknown,unknown,2015.54,2015-07-17,0.00,India,0.13,0.06,unknown
DENV1/INDIA/MANATHAVADYMCVR5238/2015,Ky021897,2015-07-13,South Asia,India,India,Anjali Et Al.,unknown,unknown,unknown,2015.53,2015-07-13,0.00,India,0.13,0.06,Aa: E: M492v;
DENV1/SINGAPORE/0091/2009,Jf960211,2009-01-01,Southeast Asia,Singapore,Singapore,Chua Et Al.,unknown,unknown,unknown,2010.00,2009-xx-xx,0.00,Singapore,0.13,0.06,Aa: Ns4b: V18a; Ns1: G125r;
DENV1/SINGAPORE/15834/2011,Jn544407,2011-04-01,Southeast Asia,Singapore,Singapore,Chua Et Al.,unknown,unknown,unknown,2011.25,2011-04-xx,0.00,Singapore,0.13,0.06,unknown
DENV1/SINGAPORE/44614/2011,Kr779783,2011-01-01,Southeast Asia,Singapore,Singapore,Hapuarachchi Et Al.,unknown,unknown,unknown,2012.00,2011-xx-xx,0.00,Singapore,0.13,0.06,Aa: Ns5: V642a;
DENV1/SINGAPORE/21586/2011,Jn544408,2011-05-01,Southeast Asia,Singapore,Singapore,Chua Et Al.,unknown,unknown,unknown,2011.33,2011-05-xx,0.00,Singapore,0.13,0.06,unknown
DENV1/SINGAPORE/21121/2011,Jn544402,2011-05-01,Southeast Asia,Singapore,Singapore,Chua Et Al.,unknown,unknown,unknown,2011.41,2011-05-xx,0.00,Singapore,0.13,0.06,unknown
DENV1/SINGAPORE/24532/2011,Jn544403,2011-06-01,Southeast Asia,Singapore,Singapore,Chua Et Al.,unknown,unknown,unknown,2011.49,2011-06-xx,0.00,Singapore,0.13,0.06,unknown
DENV1/SINGAPORE/15245/2012,Kp685233,2012-04-01,Southeast Asia,Singapore,Singapore,Hapuarachchi Et Al.,unknown,unknown,unknown,2012.25,2012-04-xx,0.00,Singapore,0.13,0.06,Aa: E: I337f S449n;
DENV1/SINGAPORE/50244/2011,Kp792535,2011-12-01,Southeast Asia,Singapore,Singapore,Hapuarachchi Et Al.,unknown,unknown,unknown,2011.91,2011-12-xx,0.00,Singapore,0.13,0.06,unknown
DENV1/INDIA/RR57/2009,Jq917404,2009-01-01,South Asia,India,Delhi,Dash Et Al.,unknown,unknown,unknown,2010.00,2009-xx-xx,0.00,Delhi,0.13,0.06,Aa: Ns3: K585r;
DENV1/INDIA/DIA/2008,Jn415507,2008-01-01,South Asia,India,India,Northill Et Al.,unknown,unknown,unknown,2009.00,2008-xx-xx,0.00,India,0.13,0.06,unknown
DENV1/PAKISTAN/I2/2014,Kt239343,2014-01-01,West Asia,Pakistan,Pakistan,Afzal Et Al.,unknown,unknown,unknown,2014.00,2014-xx-xx,0.00,Pakistan,0.13,0.06,Aa: E: W101r;
DENV1/BANGLADESH/H8/2009,Jn036371,2009-10-01,South Asia,Bangladesh,Bangladesh,Ali Et Al.,unknown,unknown,unknown,2009.75,2009-10-xx,0.00,Dhaka,0.13,0.06,unknown
DENV1/MALAYSIA/NIID64/2014,Lc038145,2014-05-26,Southeast Asia,Malaysia,Malaysia,Adachi Et Al.,unknown,unknown,unknown,2014.40,2014-05-26,0.00,Malaysia,0.13,0.06,unknown
DENV1/MALAYSIA/TM242/2014,Ku666943,2014-02-01,Southeast Asia,Malaysia,Johor,Adnan Et Al.,unknown,unknown,unknown,2014.16,2014-02-xx,0.00,Johor Bahru,0.13,0.06,Aa: E: V312a M401i; M: K90r;
DENV1/SINGAPORE/44259/2012,Km403575,2012-01-01,Southeast Asia,Singapore,Singapore,Chuen Et Al.,unknown,unknown,unknown,2013.00,2012-xx-xx,0.00,Singapore,0.13,0.06,unknown
DENV1/BHUTAN/P13064/2013,Kp849864,2013-01-01,South Asia,Bhutan,Bhutan,Chinnawirotpisan Et Al.,unknown,unknown,unknown,2013.02,2013-xx-xx,0.00,Bhutan,0.13,0.06,unknown
DENV1/SINGAPORE/19944/2013,Kp685234,2013-05-01,Southeast Asia,Singapore,Singapore,Hapuarachchi Et Al.,unknown,unknown,unknown,2013.41,2013-05-xx,0.00,Singapore,0.13,0.06,unknown
DENV1/INDONESIA/NIID75/2014,Lc038147,2014-06-30,Southeast Asia,Indonesia,Indonesia,Adachi Et Al.,unknown,unknown,unknown,2014.49,2014-06-30,0.00,Indonesia,0.13,0.06,Aa: E: I140v;
DENV1/CHINA/HF16001AH/2016,Kx372686,2016-02-01,China,China,Anhui,Shi Et Al.,unknown,unknown,unknown,2016.08,2016-02-xx,0.00,Anhui,0.13,0.06,unknown
DENV1/SINGAPORE/03329/2015,Ky921903,2015-01-01,Southeast Asia,Singapore,Singapore,Hapuarachchi Et Al.,unknown,unknown,unknown,2015.08,2015-01-xx,0.00,Singapore,0.13,0.06,Aa: Ns3: A325s; Ns5: M34i;
DENV1/CHINA/WW/2014,Kp686070,2014-10-22,China,China,Henan,Du Et Al.,unknown,unknown,unknown,2014.80,2014-10-22,0.00,Henan,0.13,0.06,Aa: Ns4b: L113s;
DENV1/CHINA/FS4002/2014,Kt453237,2014-08-28,China,China,China,Liao Et Al.,unknown,unknown,unknown,2014.65,2014-08-28,0.00,China,0.13,0.06,unknown
DENV1/CHINA/FS4003/2014,Kt453235,2014-08-29,China,China,China,Liao Et Al.,unknown,unknown,unknown,2014.66,2014-08-29,0.00,China,0.13,0.06,unknown
