Author,n (strains),publication title,journal,publication URL,strains
Barthel et al.,3,?,,unknown,DENV1/NEW_CALEDONIA/1601171/2012 DENV1/NEW_CALEDONIA/2402205LAIT/2012 DENV1/NEW_CALEDONIA/280BB3/2012
Fujii et al.,1,?,,unknown,DENV1/USA/HAWAII/1944
Faria et al.,1,?,,unknown,DENV1/BRAZIL/1435RJ/2009
Liao et al.,3,?,,unknown,DENV1/CHINA/FS4002/2014 DENV1/CHINA/FS4003/2014 DENV1/CHINA/FS5001/2015
Amreeta et al.,2,?,,unknown,DENV1/MALAYSIA/TM32/2014 DENV1/MALAYSIA/TM248/2014
Afzal et al.,2,?,,unknown,DENV1/PAKISTAN/I5/2014 DENV1/PAKISTAN/I2/2014
Adachi et al.,9,?,,unknown,DENV1/MALAYSIA/NIID64/2014 DENV1/INDONESIA/NIID75/2014 DENV1/FRENCH_POLYNESIA/NIID78/2014 DENV1/SRI_LANKA/SRILANKANIID49/2014 DENV1/MYANMAR/NIID67/2014 DENV1/INDONESIA/NIID85/2014 DENV1/INDONESIA/NIID63/2014 DENV1/INDONESIA/NIID94/2014 DENV1/SINGAPORE/NIID144/2014
Adnan et al.,1,?,,unknown,DENV1/MALAYSIA/TM242/2014
Carvalho et al.,2,?,,unknown,DENV1/BRAZIL/01B01021093/2008 DENV1/BRAZIL/SB05780502/2001
Colon et al.,4,?,,unknown,DENV1/USA/DB079/2009 DENV1/USA/DB077/2009 DENV1/SOMALIA/DB119/2011 DENV1/SOMALIA/DB120/2011
Farrar et al.,2,?,,unknown,DENV1/VIETNAM/DEN048HN/2008 DENV1/VIETNAM/DEN073HN/2008
Castro et al.,6,?,,unknown,DENV1/BRAZIL/55ES/2009 DENV1/BRAZIL/MOSQ/1986 DENV1/BRAZIL/38159RJ/1989 DENV1/BRAZIL/36034RJ/1988 DENV1/BRAZIL/45907MS/1991 DENV1/BRAZIL/1266RJ/2011
Chidlow et al.,14,?,,unknown,DENV1/INDIA/D011/2010 DENV1/INDONESIA/N012/2010 DENV1/INDONESIA/N015/2010 DENV1/INDONESIA/N004/2010 DENV1/INDONESIA/N023/2010 DENV1/INDONESIA/N032/2010 DENV1/INDONESIA/N005/2010 DENV1/INDONESIA/N039/2010 DENV1/INDONESIA/N009/2010 DENV1/INDONESIA/N06/2011 DENV1/INDONESIA/N037/2010 DENV1/INDONESIA/N038/2010 DENV1/INDONESIA/N071/2011 DENV1/INDONESIA/N014/2010
Alvarez et al.,4,?,,unknown,DENV1/VENEZUELA/61081/2007 DENV1/VENEZUELA/61084/2007 DENV1/VENEZUELA/61068/2006 DENV1/VENEZUELA/61063/2006
Berlin et al.,1,?,,unknown,DENV1/MEXICO/BIDV3705/2007
Lin et al.,3,?,,unknown,DENV1/CHINA/ZH398/2012 DENV1/CHINA/ZH415/2012 DENV1/CHINA/GUZHEN01/2015
Graham et al.,1,?,,unknown,DENV1/USA/MARTINFLA/2013
Corrales-Aguilar et al.,3,?,,unknown,DENV1/COSTA_RICA/DM/2013 DENV1/COSTA_RICA/DE54/2013 DENV1/COSTA_RICA/DE90/2014
Funada et al.,2,?,,unknown,DENV1/INDONESIA/A/1988 DENV1/JAPAN/MOCHIZUKI/1943
Cecilia et al.,13,?,,unknown,DENV1/INDIA/3180/1970 DENV1/INDIA/5393/1971 DENV1/INDIA/D5393/1971 DENV1/INDIA/6883/1982 DENV1/INDIA/D6883/1982 DENV1/INDIA/8741/2005 DENV1/INDIA/D55290/2005 DENV1/INDIA/234/1962 DENV1/INDIA/237/1962 DENV1/INDIA/1287/1963 DENV1/INDIA/288/1963 DENV1/THAILAND/AI6147/1960 DENV1/THAILAND/6147/1960
Rochars et al.,1,?,,unknown,DENV1/HAITI/1207/2014
Birren et al.,1,?,,unknown,DENV1/MEXICO/BIDV8196/2011
Escalante et al.,1,?,,unknown,DENV1/THAILAND/PUO359/1980
Merolle et al.,2,?,,unknown,DENV1/ANGOLA/DB135/2013 DENV1/ANGOLA/DB136/2013
Courageot et al.,2,?,,unknown,DENV1/FRENCH_GUIANA/FGA/1989 DENV1/BRAZIL/FGAD/1990
Cartin et al.,2,?,,unknown,DENV1/IRELAND/086624IRL/2010 DENV1/IRELAND/30144IRL/2012
Geng et al.,1,?,,unknown,DENV1/CHINA/GZ/1980
Alpuche et al.,2,?,,unknown,DENV1/NICARAGUA/BIDV2646/2008 DENV1/VIETNAM/BIDV2837/2004
Hapuarachchi et al.,6,?,,unknown,DENV1/SINGAPORE/44614/2011 DENV1/SINGAPORE/15245/2012 DENV1/SINGAPORE/50244/2011 DENV1/SINGAPORE/19944/2013 DENV1/SINGAPORE/03329/2015 DENV1/SINGAPORE/10760/2015
Bancroft et al.,1,?,,unknown,DENV1/NAURU/ISLANDWESTERNPACIFIC/1974
Munoz-Jordan et al.,2,?,,unknown,DENV1/FIJI/FIDB171/2014 DENV1/FIJI/FIDB170/2014
Alvarado et al.,54,?,,unknown,DENV1/BRAZIL/BIDV2384/2003 DENV1/BRAZIL/BIDV2389/2004 DENV1/PUERTO_RICO/BIDV2133/1993 DENV1/PUERTO_RICO/BIDV1744/1995 DENV1/PUERTO_RICO/BIDV2143/1987 DENV1/PUERTO_RICO/BIDV2095/1994 DENV1/PUERTO_RICO/BIDV2094/1995 DENV1/PUERTO_RICO/BIDV2140/1996 DENV1/PUERTO_RICO/BIDV2142/1987 DENV1/PUERTO_RICO/BIDV2127/1994 DENV1/PUERTO_RICO/BIDV1741/1998 DENV1/PUERTO_RICO/BIDV2137/1992 DENV1/PUERTO_RICO/BIDV853/1998 DENV1/EL_SALVADOR/BIDV2938/1993 DENV1/PUERTO_RICO/BIDV2139/1996 DENV1/PUERTO_RICO/BIDV2097/1986 DENV1/PUERTO_RICO/BIDV2136/1992 DENV1/PUERTO_RICO/BIDV2096/1993 DENV1/VENEZUELA/BIDV2169/1998 DENV1/NICARAGUA/BIDV5504/2009 DENV1/NICARAGUA/BIDV653/2004 DENV1/NICARAGUA/BIDV664/2004 DENV1/MEXICO/BIDV3673/2007 DENV1/NICARAGUA/BIDV1070/2005 DENV1/NICARAGUA/BIDV5068/2009 DENV1/NICARAGUA/BIDV519/2005 DENV1/NICARAGUA/BIDV642/2006 DENV1/MEXICO/BIDV3656/2006 DENV1/MEXICO/BIDV3759/2008 DENV1/VENEZUELA/BIDV2171/1999 DENV1/VENEZUELA/BIDV2469/2008 DENV1/SPAIN/BIDV3376/1998 DENV1/SPAIN/BIDV3377/1998 DENV1/SPAIN/BIDV3379/2001 DENV1/SPAIN/BIDV3387/2007 DENV1/SPAIN/BIDV3388/2007 DENV1/SPAIN/BIDV3391/2008 DENV1/VENEZUELA/BIDV2245/2005 DENV1/VENEZUELA/BIDV2235/2004 DENV1/VENEZUELA/BIDV2251/2005 DENV1/SPAIN/BIDV3380/2005 DENV1/SPAIN/BIDV3378/1999 DENV1/PUERTO_RICO/BIDV852/2006 DENV1/FRENCH_POLYNESIA/BIDV2939/2001 DENV1/VIETNAM/BIDV2836/2004 DENV1/VIETNAM/BIDV1937/2008 DENV1/VIETNAM/BIDV2690/2006 DENV1/VIETNAM/BIDV2689/2006 DENV1/THAILAND/BIDV3919/2000 DENV1/CAMBODIA/BIDV1985/2002 DENV1/VIETNAM/BIDV2753/2007 DENV1/CAMBODIA/BIDV1991/2003 DENV1/CAMBODIA/BIDV1978/2000 DENV1/CAMBODIA/BIDV1995/2003
Balasuriya et al.,3,?,,unknown,DENV1/SOUTH_KOREA/DENKOR01/2004 DENV1/SOUTH_KOREA/DENKOR07/2006 DENV1/SOUTH_KOREA/DENKOR02/2005
Cheng et al.,1,?,,unknown,DENV1/CHINA/ZJ01/2004
Ke et al.,1,?,,unknown,DENV1/CHINA/GD2037ZHUHAI/2012
Girerd et al.,2,?,,unknown,DENV1/MARTINIQUE/480915028/2008 DENV1/MARTINIQUE/481013035/2008
Ito et al.,3,?,,unknown,DENV1/PHILIPPINES/ILIPPINESNIID13/2016 DENV1/MICRONESIA/YAPNIID27/2004 DENV1/MICRONESIA/0220/2004
Fang et al.,3,?,,unknown,DENV1/CHINA/GZ/2002 DENV1/CHINA/GZ0103/1993 DENV1/CHINA/GZ0203/1993
Blaney et al.,1,?,,unknown,DENV1/PERU/IQT6152/2000
Altuntas et al.,1,?,,unknown,DENV1/GERMANY/BNI5201/2013
Balmaseda et al.,3,?,,unknown,DENV1/NICARAGUA/BIDV7672/2011 DENV1/NICARAGUA/BIDV7686/2012 DENV1/NICARAGUA/BIDV7685/2012
Diallo et al.,1,?,,unknown,DENV1/MALAYSIA/P1244/1972
Ali et al.,1,?,,unknown,DENV1/BANGLADESH/H8/2009
Shi et al.,4,?,,unknown,DENV1/CHINA/HF16001AH/2016 DENV1/CHINA/AQZK01AH/2016 DENV1/CHINA/GUANGDONGZHONGSHANHENGLAN01/2013 DENV1/CHINA/GUANGDONGZHONGSHANGUZHEN01/2013
Yan et al.,2,?,,unknown,DENV1/CHINA/D07037/2007 DENV1/CHINA/D07075/2007
Amin et al.,2,?,,unknown,DENV1/SINGAPORE/27197/2013 DENV1/SINGAPORE/11986/2013
Bhamarapravati et al.,1,?,,unknown,DENV1/THAILAND/16007/1964
Silva et al.,3,?,,unknown,DENV1/SRI_LANKA/SLGS0308/2012 DENV1/SRI_LANKA/SLGS0319/2012 DENV1/SRI_LANKA/SLGS0289/2012
Anez et al.,4,?,,unknown,DENV1/USA/ARC39/2010 DENV1/PUERTO_RICO/ARC16/2013 DENV1/PUERTO_RICO/ARC68/2013 DENV1/USA/ARC12/2010
An et al.,2,?,,unknown,DENV1/CHINA/GZ780/2014 DENV1/CHINA/GZ716/2014
Fansiri et al.,10,?,,unknown,DENV1/THAILAND/16/1987 DENV1/THAILAND/72/1985 DENV1/THAILAND/197/1990 DENV1/THAILAND/KD035/1986 DENV1/THAILAND/00407/1995 DENV1/THAILAND/KD157/1990 DENV1/THAILAND/KD080/1992 DENV1/THAILAND/03881/1992 DENV1/THAILAND/30399/1995 DENV1/THAILAND/30231/1997
Deng et al.,2,?,,unknown,DENV1/CHINA/GZ10/2013 DENV1/CHINA/GZ27/2013
Arellanos-Soto et al.,10,?,,unknown,DENV1/MEXICO/F12/2010 DENV1/MEXICO/C16/2010 DENV1/MEXICO/H11/2010 DENV1/MEXICO/F/2010 DENV1/MEXICO/B5/2010 DENV1/MEXICO/C13/2010 DENV1/MEXICO/H17/2010 DENV1/MEXICO/1/2010 DENV1/MEXICO/A5/2010 DENV1/MEXICO/A4/2010
Chernick et al.,1,?,,unknown,DENV1/SRI_LANKA/DK87/2014
Caro et al.,2,?,,unknown,DENV1/THAILAND/KDH0026A/2010 DENV1/THAILAND/KDH0030A/2010
Aung et al.,1,?,,unknown,DENV1/MYANMAR/MANDALAY96/2015
Anjali et al.,5,?,,unknown,DENV1/INDIA/HOSANAGARAMCVR1311/2015 DENV1/INDIA/THIRTHAHALLIMCVR1304/2015 DENV1/INDIA/MANATHAVADYMCVR5844/2015 DENV1/INDIA/MANATHAVADYMCVR5238/2015 DENV1/INDIA/BATHERYMCVR4210/2015
Davis et al.,1,?,,unknown,DENV1/AUSTRALIA/S9671/2010
Fabbri et al.,2,?,,unknown,DENV1/ARGENTINA/116603/2016 DENV1/ARGENTINA/116341/2016
Abeysinghe et al.,2,?,,unknown,DENV1/SRI_LANKA/SLE/2009 DENV1/SRI_LANKA/SLB/2010
Guan et al.,1,?,,unknown,DENV1/CHINA/GZ89SYUEXIU2014DEV1/2015
Arakaki et al.,1,?,,unknown,DENV1/JAPAN/1005/2014
Huang et al.,1,?,,unknown,DENV1/CHINA/03/2012
Araujo et al.,12,?,,unknown,DENV1/BRAZIL/SJRP885/2013 DENV1/BRAZIL/SJRP1107/2013 DENV1/BRAZIL/SJRP807/2013 DENV1/BRAZIL/SJRP778/2013 DENV1/BRAZIL/SJRP509/2012 DENV1/BRAZIL/SJRP17/2010 DENV1/BRAZIL/SJRP484/2012 DENV1/BRAZIL/SJRP2271/2014 DENV1/BRAZIL/SJRP709/2013 DENV1/BRAZIL/SJRP354/2011 DENV1/BRAZIL/SJRP395/2011 DENV1/BRAZIL/SJRP287/2011
Medina et al.,1,?,,unknown,DENV1/MARSHALL_ISLANDS/RMIDB107/2003
Anwar et al.,1,?,,unknown,DENV1/SINGAPORE/8114/1993
Shen et al.,2,?,,unknown,DENV1/CHINA/TZ21CHI/2016 DENV1/CHINA/TZCHI/2016
Corwin et al.,1,?,,unknown,DENV1/INDONESIA/901530/1998
Chevillon et al.,1,?,,unknown,DENV1/THAILAND/01096/2007
Lo et al.,1,?,,unknown,DENV1/SINGAPORE/1494/2008
Aaskov et al.,16,?,,unknown,DENV1/MYANMAR/40553/1971 DENV1/MYANMAR/40568/1976 DENV1/VENEZUELA/OBT1298/2000 DENV1/BOLIVIA/FSB3363/2010 DENV1/NEW_CALEDONIA/0489/2012 DENV1/NEW_CALEDONIA/270911/2012 DENV1/NEW_CALEDONIA/230873/2012 DENV1/NEW_CALEDONIA/170262/2012 DENV1/NEW_CALEDONIA/170256/2012 DENV1/NEW_CALEDONIA/23083/2012 DENV1/NEW_CALEDONIA/0496/2012 DENV1/NEW_CALEDONIA/3578/2012 DENV1/NEW_CALEDONIA/3601/2012 DENV1/NEW_CALEDONIA/2877/2012 DENV1/MYANMAR/31987/1998 DENV1/MYANMAR/61117/2005
Chetry et al.,2,?,,unknown,DENV1/INDIA/AP12243/2015 DENV1/INDIA/AP12241/2015
Abd-Alla et al.,1,?,,unknown,DENV1/SAUDI_ARABIA/JEDDAH/2011
Du et al.,1,?,,unknown,DENV1/CHINA/WW/2014
Saito et al.,1,?,,unknown,DENV1/JAPAN/RD/2014
Agarwal et al.,1,?,,unknown,DENV1/INDIA/RR107/2011
Burt et al.,6,?,,unknown,DENV1/COMOROS/04329/1993 DENV1/FRANCE/191/2004 DENV1/SEYCHELLES/1488/2004 DENV1/SEYCHELLES/1480/2004 DENV1/FRANCE/185/2004 DENV1/FRANCE/281/2004
Bai et al.,12,?,,unknown,DENV1/CHINA/GZ5700/2007 DENV1/CHINA/GD54/2003 DENV1/CHINA/GD66/2003 DENV1/CHINA/GZ215/2002 DENV1/CHINA/GD03/1991 DENV1/CHINA/GZ12375/2010 DENV1/CHINA/GD/1995 DENV1/CHINA/GD/1999 DENV1/CHINA/GZ8513/2011 DENV1/CHINA/GD02/2006 DENV1/CHINA/GZ11562/2009 DENV1/CHINA/GZ11534/2009
Northill et al.,17,?,,unknown,DENV1/SRI_LANKA/SRILANKA/2004 DENV1/INDIA/DIA/2008 DENV1/AUSTRALIA/TOWNSVILLE/2009 DENV1/AUSTRALIA/MAREEBA/2003 DENV1/PALAU/NA/2000 DENV1/SOLOMON_ISLANDS/SOLOMONISLANDS/2002 DENV1/FIJI/NA/2002 DENV1/AUSTRALIA/CAIRNS/2003 DENV1/COOK_ISLANDS/COOKISLANDS/2002 DENV1/FIJI/A/2006 DENV1/FIJI/B/2006 DENV1/TONGA/NGA/2008 DENV1/NIUE/B/2012 DENV1/FIJI/C/2012 DENV1/FIJI/B/2011 DENV1/FIJI/A/2011 DENV1/AUSTRALIA/TOWNSVILLE/2008
Chinnawirotpisan et al.,22,?,,unknown,DENV1/THAILAND/0038/1983 DENV1/THAILAND/0442/1980 DENV1/BHUTAN/P13085/2013 DENV1/BHUTAN/P13064/2013 DENV1/THAILAND/0023/1981 DENV1/THAILAND/0081/1982 DENV1/THAILAND/0008/1981 DENV1/THAILAND/0118/1983 DENV1/THAILAND/0041/1982 DENV1/THAILAND/0001/1989 DENV1/THAILAND/0540/1985 DENV1/THAILAND/K0379/1993 DENV1/THAILAND/0746/1987 DENV1/THAILAND/0412/1986 DENV1/THAILAND/0323/1991 DENV1/THAILAND/0336/1991 DENV1/THAILAND/0097/1994 DENV1/THAILAND/0488/1994 DENV1/THAILAND/02/2001 DENV1/THAILAND/0049/2001 DENV1/THAILAND/0562/1999 DENV1/THAILAND/0067/1999
Alto et al.,1,?,,unknown,DENV1/USA/BOLKW0/2010
Bui et al.,1,?,,unknown,DENV1/VIETNAM/E265/2013
Chuen et al.,1,?,,unknown,DENV1/SINGAPORE/44259/2012
Chun et al.,1,?,,unknown,DENV1/CHINA/DGVGZ01/2007
Kotaki et al.,4,?,,unknown,DENV1/JAPAN/NIID153/2014 DENV1/JAPAN/NIID111/2014 DENV1/JAPAN/NIID/2014 DENV1/JAPAN/SAITAMANIID100/2014
Bennett et al.,5,?,,unknown,DENV1/USA/HAWO3663/2001 DENV1/USA/HAWM2540/2001 DENV1/FRENCH_POLYNESIA/HAWM2516/2001 DENV1/FRENCH_POLYNESIA/FP0908/2007 DENV1/FRENCH_POLYNESIA/FP1104/2007
