"Demand, x","Demand, y","Supply, x; Trace 2, x","Supply, y; Trace 2, y"
"1988.04293276","1818.24154396","1987.9564893","2865.74338596"
"1988.43424292","1474.77857255","1988.16531672","2605.42070255"
"1988.69197565","3188.25586944","1988.28014708","2228.52361658"
"1988.73810049","2690.06255123","1988.35761873","1743.98726768"
"1988.78443517","2368.95035403","1988.49625449","1154.37720269"
"1988.83095941","1999.67572263","1988.56475123","1914.31989182"
"1988.87002096","1617.91941798","1988.61845879","2667.92983408"
"1988.99538945","1142.76678064","1988.71016065","3367.68329894"
"1989.22855688","1249.96309009","1988.78847976","2667.81929627"
"1989.34145226","1047.42115945","1988.86767614","2213.70656692"
"1989.4945523","863.9957627169999","1988.92883793","1942.53083024"
"1989.73978504","953.55595273","1988.94381148","1600.05475716"
"1989.98614772","756.0126043810001","1989.1899623","1456.34332225"
"1990.28784225","899.367861899","1989.47216533","1752.2346165"
"1990.46635721","1189.7914498","1989.58773721","1186.92583348"
"1990.53700257","826.616985256","1989.72755966","769.807153784"
"1990.57293301","286.105469028","1989.73825576","506.05421121300003"
"1990.59371126","-491.19422500400003","1989.81361969","1393.13411793"
"1990.6468019000001","-1475.30707137","1989.84822417","2200.58825561"
"1990.74526435","-2274.10096677","1989.88314644","2927.29452313"
"1990.76229866","-2021.52747735","1989.97480837","3386.7201295"
"1990.82529209","-1732.86213467","1989.99663482","3566.86865798"
"1990.91201519","-1175.03841507","1990.20507399","2729.70204687"
"1990.96619553","-736.2614734680001","1990.24479852","2236.21827635"
"1991.03413302","-527.602295009","1990.26722237","1617.01103836"
"1991.09352427","-292.18072085200004","1990.30556821","1195.43110386"
"1991.14211672","-41.768295862600006","1990.3448337000002","818.5831457989999"
"1991.18157071","240.22314094599997","1990.40440283","82.843482811"
"1991.39561877","510.328057429","1990.44522199","-688.771840493"
"1991.51748666","777.817220195","1990.51099196","-1153.3722214000002"
"1991.56847303","1013.24425872","1990.57133356","-943.4849347239999"
"1991.62004248","1705.32097763","1990.76640802","-697.952619708"
"1991.73598629","2519.54541074","1990.97509419","-922.38736082"
"1991.82447574","2098.51360644","1991.20083541","-1219.10740594"
"1991.94011168","1375.11186759","1991.2107405000002","-1445.47670717"
"1992.04614437","1012.93370441","1991.29743902","-570.5844244269999"
"1992.09230003","737.308250617","1991.34031966","-14.0700429625"
"1992.17239586","426.876839642","1991.36668974","378.29262582300004"
"1992.27013135","179.16284583","1991.43985349","988.338516925"
"1992.48222503","135.324378577","1991.47611756","1374.10933264"
"1992.76513428","251.77596135299999","1991.68716955","548.551558084"
"1992.95520673","81.6443730134","1991.97166778","261.26379004"
"1993.17863571","132.432543773","1992.27392728","261.067278377"
"1993.47980275","337.72926913","1992.53847496","242.95135952599998"
"1993.61406804","578.453532401","1992.95376398","323.42902615400004"
"1993.79323058","863.297391115","1993.23674384","421.93663778300004"
"1994.10355064","977.6347723289999","1993.5924304999999","350.304732801"
"1994.46142448","1246.56098194","1993.92924921","658.51913808"
"1994.57607829","914.5238238410001","1994.04079997","944.7447960410001"
"1994.7182868","583.087001049","1994.12958355","1289.85030264"
"1994.78377576","941.304678794","1994.20906487","1701.17988024"
