Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Raw Date,Dtiter,Location,Dtiter Sanofi,Ctiter,Labels
DENV3/PHILIPPINES/VIROAF7/1964,Km190937,1964-01-01,Southeast Asia,Philippines,Philippines,Chinnawirotpisan Et Al.,unknown,unknown,unknown,1964.79,1964-xx-xx,0.00,Philippines,0.00,0.00,Aa: Ns4b: T108a; E: T155m A171v L196s T224a N302s T303s S447g I452m; M: L95i; Ns2b: I76v; Ns2a: K30i V201a P202q; Ns1: L217f; Ns5: T763a;
DENV3/PHILIPPINES/ILIPPINES/1956,L11423,1956-01-01,Southeast Asia,Philippines,Philippines,Gubler Et Al.,unknown,unknown,unknown,1956.00,1956-xx-xx,0.00,Philippines,0.00,0.00,Aa: E: E291k;
DENV3/USA/A3798/1963,Jq922554,1963-01-01,North America,USA,USA,Cecilia Et Al.,unknown,unknown,unknown,1964.00,1963-xx-xx,0.00,USA,0.00,0.00,Aa: Ns4b: T46p T108a A189p T195a; E: S474a L487v; M: V59l; Ns2a: G28r; Ns4a: R20t T21v; Ns1: K101e; Ns3: Q90a E93g V95t P172l V276g P277s R298i A323v N330i A331p D425y P426l D437n K591n L592w; Ns5: I72f L172v T188s R195n M203i G469d D557a P558r I735l R737k;
DENV3/PHILIPPINES/H87/1956,M93130,1956-01-01,Southeast Asia,Philippines,Philippines,Osatomi Et Al.,unknown,unknown,unknown,1957.00,1956-xx-xx,0.00,Philippines,0.00,0.00,Aa: Ns4b: F237l; E: E291k; Ns2b: L118m; Ns2a: D52g; Ns1: L42v N83d K120l; Ns3: L236m D371v K419i;
DENV3/CHINA/2/1980,Af317645,1980-01-01,China,China,Guangxi,Geng Et Al.,unknown,unknown,unknown,1980.00,1980-xx-xx,0.00,Guangxi,0.00,0.00,Aa: E: S271l; Ns2b: Y112c; Ns5: V830i;
DENV3/PHILIPPINES/MHJ1/1997,Ay496879,1997-01-01,Southeast Asia,Philippines,Philippines,Ahmed Et Al.,unknown,unknown,unknown,1998.00,1997-xx-xx,0.00,Philippines,0.00,0.00,Aa: C: K45r; E: V489t; M: T166a; Ns4a: T81a; Ns1: I94t I188v D290n; Ns3: A207t; Ns5: K281r L639p;
DENV3/INDONESIA/INJ16/1982,Dq401690,1982-01-01,Southeast Asia,Indonesia,Indonesia,Ahmed Et Al.,unknown,unknown,unknown,1983.00,1982-xx-xx,0.00,Indonesia,0.00,0.00,Aa: E: T303a D328n; Ns4a: K76r; Ns1: T125i M174v L178t L217f; Ns3: A310t D324e V452a D542h;
DENV3/PHILIPPINES/MUTANTMHJ1/1997,Dq401695,1997-01-01,Southeast Asia,Philippines,Philippines,Ahmed Et Al.,unknown,unknown,unknown,1997.00,1997-xx-xx,0.00,Philippines,0.00,0.00,unknown
DENV3/INDONESIA/MUTANTINJI6/1982,Dq401694,1982-01-01,Southeast Asia,Indonesia,Indonesia,Ahmed Et Al.,unknown,unknown,unknown,1983.00,1982-xx-xx,0.00,Indonesia,0.00,0.00,unknown
DENV3/TAIWAN/739079A/2004,Ay776329,2004-01-01,China,Taiwan,Taiwan,Chen Et Al.,unknown,unknown,unknown,2004.00,2004-xx-xx,0.00,Taiwan,0.00,0.00,Aa: E: X195i X196l M205i;
DENV3/PHILIPPINES/ILIPPINES/1983,L11432,1983-01-01,Southeast Asia,Philippines,Philippines,Gubler Et Al.,unknown,unknown,unknown,1984.00,1983-xx-xx,0.00,Philippines,0.00,0.00,unknown
DENV3/INDONESIA/NA/1973,L11425,1973-01-01,Southeast Asia,Indonesia,Indonesia,Gubler Et Al.,unknown,unknown,unknown,1973.87,1973-xx-xx,0.00,Indonesia,0.00,0.00,unknown
DENV3/INDONESIA/SLEMAN/1978,Ay648961,1978-01-01,Southeast Asia,Indonesia,Indonesia,Blaney Et Al.,unknown,unknown,unknown,1978.45,1978-xx-xx,0.00,Indonesia,0.00,0.00,unknown
DENV3/INDONESIA/SLEMANDELTA30/1978,Kt452798,1978-01-01,Southeast Asia,Indonesia,Indonesia,Aaskov Et Al.,unknown,unknown,unknown,1978.45,1978-xx-xx,0.00,Indonesia,0.00,0.00,unknown
