timestamp,load_MW,temperature,weekday,season
2018-01-02 00:00:00-08:00,28110.916666666668,77.55,Tuesday,Winter
2018-01-03 00:00:00-08:00,28524.25,74.41,Wednesday,Winter
2018-01-04 00:00:00-08:00,28232.5,74.87,Thursday,Winter
2018-01-05 00:00:00-08:00,27649.33333333333,72.82,Friday,Winter
2018-01-06 00:00:00-08:00,25531.33333333333,68.5,Saturday,Winter
2018-01-07 00:00:00-08:00,25908.5,73.22,Sunday,Winter
2018-01-08 00:00:00-08:00,28878.58333333333,66.29,Monday,Winter
2018-01-09 00:00:00-08:00,28386.416666666668,61.54,Tuesday,Winter
2018-01-10 00:00:00-08:00,28096.75,64.12,Wednesday,Winter
2018-01-11 00:00:00-08:00,27878.58333333333,70.47,Thursday,Winter
2018-01-12 00:00:00-08:00,27405.58333333333,73.28,Friday,Winter
2018-01-13 00:00:00-08:00,25654.83333333333,84.34,Saturday,Winter
2018-01-14 00:00:00-08:00,25500.58333333333,81.93,Sunday,Winter
2018-01-15 00:00:00-08:00,27872.33333333333,70.29,Monday,Winter
2018-01-16 00:00:00-08:00,28023.0,70.62,Tuesday,Winter
2018-01-17 00:00:00-08:00,27951.916666666668,79.15,Wednesday,Winter
2018-01-18 00:00:00-08:00,27801.58333333333,74.84,Thursday,Winter
2018-01-19 00:00:00-08:00,27187.58333333333,61.89,Friday,Winter
2018-01-20 00:00:00-08:00,25943.75,61.39,Saturday,Winter
2018-01-21 00:00:00-08:00,26366.25,63.17,Sunday,Winter
2018-01-22 00:00:00-08:00,28382.25,68.11,Monday,Winter
2018-01-23 00:00:00-08:00,28176.166666666668,74.51,Tuesday,Winter
2018-01-24 00:00:00-08:00,28772.666666666668,74.84,Wednesday,Winter
2018-01-25 00:00:00-08:00,28606.0,61.4,Thursday,Winter
2018-01-26 00:00:00-08:00,27569.416666666668,66.31,Friday,Winter
2018-01-27 00:00:00-08:00,25695.5,73.8,Saturday,Winter
2018-01-28 00:00:00-08:00,25883.25,83.67,Sunday,Winter
2018-01-29 00:00:00-08:00,29034.83333333333,85.61,Monday,Winter
2018-01-30 00:00:00-08:00,28240.33333333333,81.4,Tuesday,Winter
2018-01-31 00:00:00-08:00,,,,
2018-02-01 00:00:00-08:00,,,,
2018-02-02 00:00:00-08:00,27601.08333333333,83.39,Friday,Winter
