timestamp,load_MW,temperature,weekday,season
2019-03-01 00:00:00-05:00,15811.34575,31.96,Friday,Spring
2019-03-02 00:00:00-05:00,15656.0325,33.12,Saturday,Spring
2019-03-03 00:00:00-05:00,15481.466,38.94,Sunday,Spring
2019-03-04 00:00:00-05:00,16826.314166666667,38.44,Monday,Spring
2019-03-05 00:00:00-05:00,17150.004416666667,29.98,Tuesday,Spring
2019-03-06 00:00:00-05:00,17751.9365,26.36,Wednesday,Spring
2019-03-07 00:00:00-05:00,17561.568083333335,28.02,Thursday,Spring
2019-03-08 00:00:00-05:00,16394.597583333332,37.22,Friday,Spring
2019-03-09 00:00:00-05:00,14769.6075,45.34,Saturday,Spring
2019-03-10 00:00:00-05:00,15650.726666666667,39.05,Sunday,Spring
2019-03-11 00:00:00-04:00,15389.07566666667,50.1,Monday,Spring
2019-03-12 00:00:00-04:00,15672.561083333336,44.63,Tuesday,Spring
2019-03-13 00:00:00-04:00,15591.660416666666,39.28,Wednesday,Spring
2019-03-14 00:00:00-04:00,14932.085333333336,49.92,Thursday,Spring
2019-03-15 00:00:00-04:00,13961.453416666664,61.84,Friday,Spring
2019-03-16 00:00:00-04:00,13669.349666666663,52.34,Saturday,Spring
2019-03-17 00:00:00-04:00,14530.761666666664,40.37,Sunday,Spring
2019-03-18 00:00:00-04:00,15515.821416666666,42.39,Monday,Spring
2019-03-19 00:00:00-04:00,15325.356916666666,44.36,Tuesday,Spring
2019-03-20 00:00:00-04:00,15299.717166666667,48.63,Wednesday,Spring
2019-03-21 00:00:00-04:00,15014.416333333334,50.13,Thursday,Spring
2019-03-22 00:00:00-04:00,14930.173666666667,42.04,Friday,Spring
2019-03-23 00:00:00-04:00,13875.833916666665,46.08,Saturday,Spring
2019-03-24 00:00:00-04:00,13747.401750000005,58.08,Sunday,Spring
2019-03-25 00:00:00-04:00,14785.854666666666,49.52,Monday,Spring
2019-03-26 00:00:00-04:00,14994.284333333337,41.55,Tuesday,Spring
2019-03-27 00:00:00-04:00,14933.97125,40.32,Wednesday,Spring
2019-03-28 00:00:00-04:00,14596.876749999998,50.87,Thursday,Spring
2019-03-29 00:00:00-04:00,13883.186666666666,56.11,Friday,Spring
2019-03-30 00:00:00-04:00,12581.982166666668,64.47,Saturday,Spring
2019-03-31 00:00:00-04:00,13581.746749999998,65.66,Sunday,Spring
2019-04-01 00:00:00-04:00,14687.91925,44.42,Monday,Spring
2019-04-02 00:00:00-04:00,14602.655833333332,49.93,Tuesday,Spring
2019-04-03 00:00:00-04:00,14065.610416666668,62.45,Wednesday,Spring
2019-04-04 00:00:00-04:00,14325.77425,50.34,Thursday,Spring
2019-04-05 00:00:00-04:00,14304.301666666666,43.85,Friday,Spring
2019-04-06 00:00:00-04:00,12392.4485,64.39,Saturday,Spring
2019-04-07 00:00:00-04:00,12885.286416666664,66.91,Sunday,Spring
2019-04-08 00:00:00-04:00,14633.014416666669,50.09,Monday,Spring
2019-04-09 00:00:00-04:00,14834.052833333337,40.35,Tuesday,Spring
2019-04-10 00:00:00-04:00,14360.4945,43.71,Wednesday,Spring
2019-04-11 00:00:00-04:00,14002.829166666665,51.76,Thursday,Spring
2019-04-12 00:00:00-04:00,14025.775583333336,56.99,Friday,Spring
2019-04-13 00:00:00-04:00,12320.55975,72.31,Saturday,Spring
2019-04-14 00:00:00-04:00,12617.039916666668,64.11,Sunday,Spring
2019-04-15 00:00:00-04:00,13480.965666666663,66.38,Monday,Spring
2019-04-16 00:00:00-04:00,13539.389333333334,58.52,Tuesday,Spring
2019-04-17 00:00:00-04:00,13236.551083333334,56.93,Wednesday,Spring
2019-04-18 00:00:00-04:00,13929.4085,62.93,Thursday,Spring
