Author,n (strains),publication title,journal,publication URL,strains
Capobianchi et al,1,?,,unknown,Goderich1
Arias et al,404,?,,unknown,PL5249 77588_EMLK 77577_EMLK PL4226 PL4483 PL4864 PL4866 PL4865 PL4736 PL5025 PL5157 PL6049 PL7626 15470_EMLK 15661_EMLK 15323_EMLK 15274_EMLK 15314_EMLK 15686_EMLK 15338_EMLK 15349_EMLK 15438R_EMLK 15207R_EMLK KT7095 19521_EMLK 15421_EMLK 19560R_EMLK 15543_EMLK 20525_EMLK 020380_EMLK 020484_EMLK 20547_EMLK 20524_EMLK 14743_EML 15674_EMLK PL8172 PL7375 PL7429 PL7451 PL7401 PL7709 PL7834 PL7774 PL7947 PL8429 PL6656 PL7055 PL7605 PL7604 PL7376 15373_EMLK PL7689 15000_EMLK PL7136b PL7685 PL7775 15360_EMLK PL7053 PL7773 PL7511 PL7551 PL7801 PL7577 PL7678 14846_EMLK PL7792 PL7496 PL7820 PL7946 PL8310 PL9192 PL9199 PL9150 15327_EMLK PL8128 PL8630 PL8780 PL8896 14748_EML PL5260 PL6070 PL4094 14795_EMLK PL4872 14729_EML PL5803 14859_EMLK 14723_EML 14750_EML PL6158 PL5801 KT2316 KT2315 77582_EMLK 77724_EMLK 77594_EMLK 375_EMLH KT5243 362_EMLH 75688_EMLH PL4784 PL4126 PL5201 PL4127 PL4256 PL4330 PL4123 PL4125 PL4121 PL4028 PL4561 KT2669 MK1000 MK0709 MK0375 KT4054 MK0766 MK0425 MK0085 KT2810 KT4801 KT2641 PL2921 MK4165 MK1197 MK0531 MK0869 MK0045 MK0367 MK0024 MK0368 MK0664 MK0575 MK0551 MK1036 MK0868 MK0363 MK1202 MK1014 MK0549 MK0393 MK0379 MK0366 MK0369 MK0392 MK0723 MK0533 MK0388 MK0584 MK0857 MK0491 MK1782 MK0365 MK0433 MK0364 MK0431 MK0607 MK0390 MK0434 KT4715 491_EMLH 77524_EMLK 592_EMLH MK0889 MK0888 MK0885 MK1079 361_EMLH PL1387 MK0464 MK0867 PL4203 PL5133 77551_EMLK MK0865 MK0866 704_EMLH PL4119 PL4804 PL4844 PL4813 PL4932 PL5674 PL4197 PL4785 PL5275 PL4443 PL5534 PL5950 PL4284 PL4886 PL4283 MK0384 KT2449 77601_EMLK PL4249 PL4248 539_EMLH MK1040 75731_EMLH KT4663 MK2918 MK2656 MK3050 MK0592 MK0574 MK0704 MK0020 MK13013 MK0725 MK0864 75711_EMLH MK0879 KT5226 KT5738 KT5388 KT5734 75722_EMLH 77580_EMLK 77673_EMLK 77710_EMLK 77716_EMLK 77676_EMLK 77679_EMLK 77563_EMLK 77711_EMLK 77630_EMLK 12161_EMLH 77648_EMLK 77667_EMLK PL5868 PL6086 14830_EMLK 14888_EMLK 14782_EMLK 611_EMLH 389_EMLH 480_EMLH 554_EMLH 402_EMLH 489_EMLH 762_EMLH KT4677 PL3984 651_EMLH 614_EMLH KT4609 470_EMLH 468_EMLH 77574_EMLK 448_EMLH 511_EMLH 442_EMLH KT4631 518_EMLH KT4935 75779_EMLH 77612_EMLK 77525_EMLK 356_EMLH 77632_EMLK KT2321 KT2317 12193_EMLH KT5249 12189_EMLH 75708_EMLH PL2101 KT5034 PL4105 PL5001 12229_EMLH 12257_EMLH PL2668 PL4190 PL5099 KT5974 PL4679 PL4187 PL4671 KT5832 77613_EMLK 77526_EMLK 14687_EMLK 12851_EMLH 12872_EMLH 12936_EMLH 12934_EMLH 12916_EMLH 12855_EMLH 12854_EMLH 13031_EMLH MK9396 13204_EMLH 18660_EMLH 18648_EMLH 18538_EMLH 18642R_EMLH 18687R_EMLH 18636_EMLH 18596_EMLH MK10128 MK8878 MK10173 PL8486 13268_EMLH 13275_EMLH 18649_EMLH 18659R_EMLH 18650_EMLH 13247_EMLH 18647_EMLH 18706_EMLH 77558_EMLK 77643_EMLK 12757_EMLH 632_EMLH 634_EMLH KT4730 77681_EMLK 77669_EMLK 77573_EMLK 10415_EMLK KT5859 MK2369 12181_EMLH 732_EMLH PL4292 MK2283 MK3043 MK2850 MK2365 MK2334 PL4059 731_EMLH PL5179 PL5228 PL5202 PL5019 PL4680 PL4570 PL4651 KT5382 MK2008 MK2282 MK2370 PL7483 12634_EMLH MK2449 MK2436 MK2938 MK2506 PL4194 MK2397 MK2383 KT5245 12242_EMLH KT5858 MK2710 MK2437 KT5789 MK2382 MK2724 MK2825 MK3462 MK2983 MK3479 MK2255 12628_EMLH 12600_EMLH 12178_EMLH KT5786 MK2900 KT5224 MK2447 MK2405 MK2398 MK2448 KT4828 MK2395 MK2717 MK2371 12580_EMLH KT5214 12192_EMLH MK2826 MK3183 KT5787 MK2307 MK2362 14521_EMLK MK2431 12180_EMLH 10454_EMLK KT5233 PL4569 KT5542 MK2673 10402_EMLK 741_EMLH 12781_EMLH KT5225 KT5788 12767_EMLH
Simon-Loriere et al,49,?,,unknown,V517 V531 V1690 V1277 V1333 V1213 V1193 V1686 V1689 V1327 V1374 V1331 V1320 V1249 V1652 V1371 V1205 Conakry_633 V789 V691 V1321 V1340 V1210 V1274 V1355 V1445 V1342 V1339 V768 V1491 V653 V1211 V507 V684 V1039 V989 V1027 V1250 V1651 V701 V657 V505 V509 V786 V787 V740 V678 V1215 V1365
Gire et al,76,?,,unknown,G3680 G3687 G3683 G3686 EM095 G3676 G3788 G3670 G3769 G3810 EM121 EM120 EM096 G3679 G3831 G3787 EM098 G3682 G3677 G3799 G3823 G3734 G3758 G3808 G3795 G3782 G3841 G3786 G3838 G3820 G3800 G3796 G3807 G3846 G3713 G3819 G3817 EM104 G3750 G3818 G3770 EM119 G3826 G3827 G3822 G3821 G3809 G3816 G3856 EM106 EM111 EM110 EM113 EM124 G3735 G3798 G3805 G3771 G3764 G3707 EM112 EM115 NM042 G3789 G3814 G3765 G3840 G3845 G3850 G3752 G3829 G3825 G3834 G3848 G3857 G3851
Carroll et al,147,?,,unknown,EM_079542 EM_079517 EM_079549 EM_079434 EM_079429 EM_079424 EM_079423 EM_079421 EM_079422 EM_079497 EM_079414 EM_079413 EM_079750 EM_079815 EM_079859 EM_079775 EM_079914 EM_074354 EM_079913 EM_079910 EM_079912 EM_079911 EM_080063 EM_080141 EM_079404 EM_079412 EM_079578 EM_079514 EM_079587 EM_079464 EM_079408 EM_079450 EM_079405 EM_079444 EM_079630 EM_079622 EM_080076 EM_079657 EM_079659 EM_079677 EM_079915 EM_079731 EM_079685 EM_079702 EM_079772 EM_079681 EM_079749 EM_079753 EM_079442 EM_079410 EM_080193 EM_079880 EM_080213 EM_074531 EM_000934 EM_074461 EM_080132 EM_079983 EM_079876 EM_080064 EM_080066 EM_080253 EM_080011 EM_080165 EM_075368 EM_079388 EM_000321 EM_076138 EM_000028 EM_074785 EM_000027 EM_001101 EM_076322 EM_000015 EM_000925 EM_076610 EM_076533 EM_076534 EM_078654 EM_078608 EM_074350 EM_080261 EM_074349 EM_074353 EM_074352 EM_074351 EM_074392 EM_074391 EM_000921 EM_004192 EM_078555 EM_004580 EM_004563 EM_004555 EM_076770 EM_074684 EM_078709 EM_078697 EM_076948 EM_076769 EM_076949 EM_080065 EM_080067 EM_074438 EM_074436 EM_074439 EM_074437 EM_080003 EM_080269 EM_004589 EM_000457 EM_075435 EM_075928 EM_075929 EM_075930 EM_075373 EM_076335 EM_076334 EM_078556 EM_078656 EM_078639 EM_078670 EM_078638 EM_078415 EM_004494 EM_078416 EM_076615 EM_075076 EM_076217 EM_075932 EM_078683 EM_076472 EM_004201 EM_004259 EM_078763 EM_004059 EM_078706 EM_004422 EM_004438 EM_004437 EM_004414 EM_078722 EM_078779 EM_078694 EM_004085 EM_004290 EM_080265
Albarino et al,1,?,,unknown,V201403007
Tong et al,98,?,,unknown,J0156 J0051 J0053 J0054 J0038 J0088 J0003 J0168 J0141 J0032 J0165 J0142 J0164 J0029 J0011 J0030 J0140 J0012 J0014 J0013 J0163 J0021 J0123 J0160 J0152 J0020 J0017 J0015 J0022 J0019 J0016 J0028 J0024 J0157 J0150 J0039 J0154 J0159 J0149 J0144 J0171 J0174 J0002 J0007 J0001 J0042 J0050 J0008 J0005 J0147 J0146 J0121 J0173 J0055 J0034 J0023 J0175 J0166 J0009 J0027 J0010 J0031 J0155 J0119 J0036 J0035 J0033 J0058 J0158 J0120 J0111 J0037 J0128 J0127 J0056 J0057 J0161 J0025 J0126 J0125 J0145 J0122 J0093 J0026 J0006 J0148 J0170 J0004 J0162 J0167 J0059 J0124 J0052 J0153 J0172 J0151 J0169 J0129
Quick et al,124,?,,unknown,EM_COY_2015_013857 EM_COY_2015_017021 EM_COY_2015_013576 EM_COY_2015_016449 EM_COY_2015_017018 IPDPFHguineaSP_GUI_2015_6505 EM_COY_2015_016263 EM_COY_2015_016293 EM_COY_2015_016236 EM_COY_2015_015982 IPDPFHguineaSP_GUI_2015_7070 EM_COY_2015_016642 EM_FORE_2015_875 EM_FORE_2015_816 CON12930 EM_COY_2015_014102 IPDPFHguineaSP_GUI_2015_4909 EM_COY_2015_014098 EM_COY_2015_014100 IPDPFHguineaSP_GUI_2015_5117 EM_COY_2015_015802 EM_COY_2015_014261 EM_COY_2015_013731 IPDPFHguineaSP_GUI_2015_5339 KG12 EM_COY_2015_017091 EM_COY_2015_016743 EM_COY_2015_016483 KG90 IPDPFHguineaSP_GUI_2015_6899 KG87 KG45 EM_COY_2015_017574 KG35 KG80 KG167 KG88 GUI_CTS_2015_0051 KG168 GUI_CTS_2015_0052 KG91 GUI_CTS_2015_0050 EM_COY_2015_015980 CON-8559 EM_GUI_2015_004674 EM_COY_2015_013962 EM_COY_2015_016267 EM_COY_2015_015815 EM_COY_2015_015986 EM_COY_2015_023888 EM_COY_2015_017240 IPDPFHguineaSP_GUI_2015_5038 EM_COY_2015_016456 EM_COY_2015_016531 EM_COY_2015_016617 EM_COY_2015_017865 REDC_GUI_2015_01285 EM_COY_2015_023747 REDC-GUI-2015-00502 EM_COY_2015_017057 EM_COY_2015_017788 EM_COY_2015_017787 EM_COY_2015_017666 REDC_GUI_2015_00494B REDC_GUI_2015_00589 EM_COY_2015_016414 EM_COY_2015_016800 EM_COY_2015_016515 EM_COY_2015_017135 EM_COY_2015_017238 REDC_GUI_2015_00545 REDC_GUI_2015_00483 EM_COY_2015_017664 REDC-GUI-2015-00402 REDC_GUI_2015_00576 REDC_GUI_2015_01165 CON-11010 CON-10512 CON-10193 CON-10590 REDC_GUI_2015_01323 REDC_GUI_2015_01408 EM_FORE_2015-2547 EM_FORE_2015-2417 EM_FORE_2015-2531 EM_FORE_2015-2533 EM_FORE_2015_2878 REDC_GUI_2015_02242 EM_FORE_2015_2781 EM_COY_2015_015972 EM_COY_2015_013795 EM_COY_2015_014060 EM_COY_2015_014370 EM_COY_2015_016238 EM_FORE_2015_1415 EM-FORE_2015_1160 EM_COY_2015_016278 EM_FORE_2015_934 EM-FORE-2015-669 EM_FORE_2015_697 EM_FORE_2015_1024 EM-FORE-2015-631 EM_FORE_2015_896 EM_FORE_2015_696 EM-FORE-2015-548 EM_COY_2015_017174 EM_FORE_2015_781 EM-FORE-2015-664 EM_FORE_2015_695 EM_FORE_2015-1971 EM_FORE_2015_1313 EM_FORE_2015_1118 EM_FORE_2015_1437 EM_FORE_2015_1140 CON-10786 EM-FORE-2015-838 EM_FORE_2015_1047 EM_COY_2015_022059 EM_FORE_2015_1076 EM_FORE_2015_1079 EM_FORE_2015_1023 CON-8811 REDC-GUI-2015-00497 EM-FORE-2015-1414
Castilletti et al,1,?,,unknown,Makona-Italy-INMI1
Ladner et al,92,?,,unknown,LIBR10240 LIBR0229 LIBR10077 LIBR10212 LIBR10253 LIBR10254 LIBR0157 LIBR10201 LIBR0279 LIBR10187 LIBR10074 LIBR10071 LIBR10195 LIBR10209 LIBR10307 LIBR10208 LIBR10052 LIBR10082 LIBR10270 LIBR10239 LIBR10306 LIBR10238 LIBR10249 LIBR10048 LIBR10262 LIBR10014 LIBR11079 LIBR10047 LIBR0159 LIBR10217 LIBR10218 LIBR0114 LIBR0350 LIBR0115 LIBR10245 LIBR10156 LIBR10248 LIBR0071 LIBR10279 LIBR10128 LIBR10196 LIBR0112 LIBR0160 LIBR0622 LIBR10250 LIBR10127 LIBR10205 LIBR10078 LIBR10079 LIBR10088 LIBR10086 LIBR10087 LIBR10271 LIBR10237 LIBR10265 LIBR0380 LIBR10089 LIBR0079 LIBR10065 LIBR1221 LIBR10202 LIBR10241 LIBR10017 LIBR10081 LIBR10098 LIBR10092 LIBR10093 LIBR10066 LIBR10072 LIBR10060 LIBR0707 LIBR10170 LIBR10180 LIBR10051 LIBR10056 LIBR10040 LIBR10042 LIBR10151 LIBR10267 LIBR0177 LIBR0118 LIBR10169 LIBR10076 LIBR10251 LIBR10261 LIBR10252 LIBR0284 LIBR10062 LIBR10204 LIBR10050 LIBR10061 LIBR10055
