Time,Main Status,Sub Status,Full Status,Status Text,T,Service,FaultMsg,Value0
24/04/2014 12:37:38,0,0,0 : 0,Turbine in operation,1,FALSE,FALSE,7.4
25/04/2014 19:27:24,71,104,71 : 104,Insulation monitoring : Insulation fault Phase U2,6,FALSE,TRUE,20.5
26/04/2014 09:30:13,8,0,8 : 0,Maintenance,6,TRUE,FALSE,17.1
26/04/2014 10:05:19,8,0,8 : 0,Maintenance,6,FALSE,FALSE,8.7
26/04/2014 10:05:25,8,0,8 : 0,Maintenance,6,TRUE,FALSE,10.6
01/05/2014 08:57:11,240,1,240 : 1,Remote control PC : switched off,5,FALSE,FALSE,0
01/05/2014 11:28:32,240,0,240 : 0,Remote control PC : switched on,5,FALSE,FALSE,0
01/05/2014 11:28:33,8,0,8 : 0,Maintenance,6,TRUE,FALSE,4
14/05/2014 14:41:31,9,3,9 : 3,Generator heating : Hygrostat inverter,1,FALSE,FALSE,5.7
14/05/2014 14:41:57,0,5,0 : 5,Calibration of  load control,1,FALSE,FALSE,6.5
14/05/2014 14:47:39,0,1,0 : 1,Turbine starting,1,FALSE,FALSE,7.7
14/05/2014 14:48:19,9,3,9 : 3,Generator heating : Hygrostat inverter,1,FALSE,FALSE,6.6
14/05/2014 15:25:54,8,0,8 : 0,Maintenance,6,TRUE,FALSE,5.5
14/05/2014 15:30:32,0,8,0 : 8,Turbine in operation during maintenance,1,FALSE,FALSE,6.3
14/05/2014 15:44:42,8,0,8 : 0,Maintenance,6,TRUE,FALSE,3.4
14/05/2014 15:58:27,0,8,0 : 8,Turbine in operation during maintenance,1,FALSE,FALSE,5
14/05/2014 17:25:44,0,0,0 : 0,Turbine in operation,1,FALSE,FALSE,3.9
14/05/2014 17:30:43,0,8,0 : 8,Turbine in operation during maintenance,1,FALSE,FALSE,4.7
14/05/2014 18:43:13,0,0,0 : 0,Turbine in operation,1,FALSE,FALSE,2.4
