timestamp,load_MW,temperature,predicted_load
2021-02-02 00:00:00-08:00,19792.45333333333,60.38,19774.229
2021-02-02 01:00:00-08:00,19050.06,59.75,19053.81
2021-02-02 02:00:00-08:00,18677.193333333333,59.81,18790.967
2021-02-02 03:00:00-08:00,18632.24583333333,59.98,18694.645
2021-02-02 04:00:00-08:00,19081.9325,59.42,19060.48
2021-02-02 05:00:00-08:00,20405.999166666665,59.36,20436.092
2021-02-02 06:00:00-08:00,22384.416666666668,58.45,22402.355
2021-02-02 07:00:00-08:00,23432.936666666665,57.32,23436.432
2021-02-02 08:00:00-08:00,23512.334166666667,59.16,23549.377
2021-02-02 09:00:00-08:00,22715.009166666667,64.27,22741.26
2021-02-02 10:00:00-08:00,22066.631666666664,68.23,22743.371
2021-02-02 11:00:00-08:00,21429.966666666664,71.75,21453.777
2021-02-02 12:00:00-08:00,21118.006666666664,74.06,21066.896
2021-02-02 13:00:00-08:00,20907.234166666676,74.06,20920.285
2021-02-02 14:00:00-08:00,21111.085000000003,73.77,21116.75
2021-02-02 15:00:00-08:00,21771.353333333333,72.75,21758.139
2021-02-02 16:00:00-08:00,23071.6,70.85,23059.424
2021-02-02 17:00:00-08:00,25192.573333333334,67.41,25194.518
2021-02-02 18:00:00-08:00,26547.141666666663,63.45,26551.357
2021-02-02 19:00:00-08:00,25841.271666666667,61.14,25844.986
2021-02-02 20:00:00-08:00,24914.159166666665,59.78,24972.209
2021-02-02 21:00:00-08:00,23806.101666666666,58.2,23804.441
2021-02-02 22:00:00-08:00,22363.906666666662,57.99,22421.057
2021-02-02 23:00:00-08:00,20946.154166666664,56.95,21005.078
2021-02-03 00:00:00-08:00,20021.48083333333,56.48,20442.803
2021-02-03 01:00:00-08:00,19439.405833333327,55.4,19482.258
2021-02-03 02:00:00-08:00,19130.705,54.47,19136.23
2021-02-03 03:00:00-08:00,19109.35916666667,52.75,19076.562
2021-02-03 04:00:00-08:00,19657.494166666664,53.28,19669.92
2021-02-03 05:00:00-08:00,21063.661666666667,52.28,21560.883
2021-02-03 06:00:00-08:00,23150.365,52.27,22900.848
2021-02-03 07:00:00-08:00,24035.0125,51.35,23949.926
2021-02-03 08:00:00-08:00,23834.4375,54.63,23713.951
2021-02-03 09:00:00-08:00,23001.98083333333,59.44,22929.023
2021-02-03 10:00:00-08:00,22277.76166666666,63.37,22116.682
2021-02-03 11:00:00-08:00,21489.44,67.26,21448.596
2021-02-03 12:00:00-08:00,20983.9675,69.0,20898.4
2021-02-03 13:00:00-08:00,20627.81666666667,70.32,20612.547
2021-02-03 14:00:00-08:00,20892.43416666667,69.64,20807.307
2021-02-03 15:00:00-08:00,21985.83916666667,67.23,21117.215
2021-02-03 16:00:00-08:00,23391.450833333336,65.78,23355.518
2021-02-03 17:00:00-08:00,25659.465,63.11,25634.258
2021-02-03 18:00:00-08:00,26929.40833333333,60.53,26912.252
2021-02-03 19:00:00-08:00,26363.223333333328,58.61,26364.79
2021-02-03 20:00:00-08:00,25472.894166666665,56.81,25377.867
2021-02-03 21:00:00-08:00,24377.880833333333,55.77,24290.424
2021-02-03 22:00:00-08:00,22862.719166666662,54.98,22864.125
2021-02-03 23:00:00-08:00,21485.054,53.63,21440.852
2021-02-04 00:00:00-08:00,20330.33833333333,53.21,20455.596
