name,pop,lat,lon
American Samoa,1,-14.30063095,-170.695974791655
Australia,3,-24.7761086,134.755
Brazil,47,-10.3333333,-53.2
Cambodia,9,13.5066394,104.869423
China,19,25.4915799,-98.9811115045569
Colombia,11,2.8894434,-73.783892
Cook Islands,1,-16.0492781,-160.3554851
Costa Rica,1,10.2735633,-84.0739102
Dominica,2,15.4113138,-61.3653618
Dominican Republic,2,19.0974031,-70.3028026
Ecuador,2,-1.3397668,-79.3666965
Fiji,1,-18.1239696,179.0122737
French Guiana,8,4.0039882,-52.999998
French Polynesia,41,-18.6243749,-144.6434898
Guadeloupe,1,16.2490067,-61.5650444
Haiti,2,19.1399952,-72.3570972
Honduras,1,15.0610686,-84.5978534
India,20,22.3511148,78.6677428
Indonesia,21,-4.7993356,114.5632032
Italy,1,42.6384261,12.674297
Japan,1,36.5748441,139.2394179
Malaysia,9,2.3923759,112.8471939
Marshall Islands,1,6.9518742,170.9985095
Martinique,2,14.6113732,-60.9620777
Mexico,3,19.4326009,-99.1333416
Micronesia,2,5.5600565,150.1982846
Myanmar,6,17.1750495,95.9999652
New Caledonia,16,-21.3019905,165.4880773
Nicaragua,1,12.3724928,-84.8700308
Pakistan,5,30.3308401,71.247499
Peru,4,41.3272919,-89.1287636
Philippines,4,12.7503486,122.7312101
Portugal,1,40.033265,-7.8896263
Puerto Rico,24,18.22141715,-66.4132818505648
Singapore,15,1.2904753,103.8520359
Solomon Islands,1,-9.7354344,162.8288542
Spain,8,40.0028028,-4.003104
Sri Lanka,1,7.878,80.7038245875
Taiwan,1,23.59829785,120.835363138175
Thailand,15,14.8971921,100.83273
Trinidad And Tobago,1,10.8677845,-60.9821067
USA,4,39.7837304,-100.4458825
Venezuela,19,8.0018709,-66.1109318
Vietnam,11,13.2904027,108.4265113
