"MSFT","IBM","SBUX","AAPL","GSPC","Date"
23.950705,80.517962,16.149666,11.086612,1416.599976,"2007-01-03"
23.910599,81.378851,16.167992,11.332687,1418.339966,"2007-01-04"
23.774242,80.642129,16.099269,11.251984,1409.709961,"2007-01-05"
24.006852,81.867244,16.03971,11.30755,1412.839966,"2007-01-08"
24.030914,82.835742,15.970989,12.24687,1412.109985,"2007-01-09"
23.790284,81.858964,15.920592,12.832951,1414.849976,"2007-01-10"
24.624469,81.660299,16.406228,12.674194,1423.819946,"2007-01-11"
25.033538,82.231462,16.447462,12.518082,1430.72998,"2007-01-12"
24.993434,83.456576,16.594068,12.846181,1431.900024,"2007-01-16"
24.945309,82.794351,16.626138,12.561739,1430.619995,"2007-01-17"
24.865098,82.322518,16.387902,11.783825,1426.369995,"2007-01-18"
24.95333,79.607407,16.282529,11.708415,1430.5,"2007-01-19"
24.64051,80.38552,16.167992,11.482184,1422.949951,"2007-01-22"
24.656552,80.360688,16.012222,11.337979,1427.98999,"2007-01-23"
24.937287,80.625577,15.938919,11.470278,1440.130005,"2007-01-24"
24.423944,80.716633,15.563239,11.410743,1423.900024,"2007-01-25"
24.544259,80.666962,15.522005,11.295643,1422.180054,"2007-01-26"
24.488112,81.569243,15.833545,11.36973,1420.619995,"2007-01-29"
24.448006,82.2563,15.833545,11.318134,1428.819946,"2007-01-30"
24.752805,82.074188,16.00764,11.341948,1438.23999,"2007-01-31"
24.512174,81.95002,15.764822,11.210972,1445.939941,"2007-02-01"
24.215398,82.090741,15.700682,11.212295,1448.390015,"2007-02-02"
23.75018,83.092352,15.586146,11.105133,1446.98999,"2007-02-05"
23.66997,82.65363,15.425793,11.132916,1448,"2007-02-06"
23.557676,82.645331,15.425793,11.397513,1450.02002,"2007-02-07"
23.469445,82.711754,15.311257,11.401483,1448.310059,"2007-02-08"
23.244856,81.823363,15.10051,11.016494,1438.060059,"2007-02-09"
23.212773,81.84827,14.967647,11.229494,1433.369995,"2007-02-12"
23.349603,81.60749,14.963066,11.205681,1444.26001,"2007-02-13"
23.663506,82.363035,15.274606,11.28506,1455.300049,"2007-02-14"
23.711798,82.13056,15.219629,11.273153,1456.810059,"2007-02-15"
23.132284,82.188678,15.123417,11.222879,1455.540039,"2007-02-16"
23.204724,82.487577,15.036369,11.364438,1459.680054,"2007-02-20"
23.623262,82.271704,14.843949,11.801023,1457.630005,"2007-02-21"
23.655457,81.781847,15.123417,11.842036,1456.380005,"2007-02-22"
23.261065,81.14254,15.004299,11.783825,1451.189941,"2007-02-23"
23.397895,80.461716,14.66527,11.709738,1449.369995,"2007-02-26"
22.432038,78.012409,14.088006,11.10381,1399.040039,"2007-02-27"
22.673502,77.165533,14.156728,11.193774,1406.819946,"2007-02-28"
22.609112,76.609246,13.923073,11.517905,1403.170044,"2007-03-01"
22.343501,75.471777,13.689418,11.299612,1387.170044,"2007-03-02"
22.174475,76.227321,13.47409,11.420004,1374.119995,"2007-03-05"
22.399842,77.879568,13.744396,11.667402,1395.410034,"2007-03-06"
22.222769,77.995806,13.959725,11.605222,1391.969971,"2007-03-07"
21.989353,77.215348,14.065099,11.642265,1401.890015,"2007-03-08"
21.965207,77.447823,13.886421,11.638296,1402.839966,"2007-03-09"
22.085939,78.136951,13.776466,11.889664,1406.599976,"2007-03-12"
21.506424,76.974568,13.451183,11.695185,1377.949951,"2007-03-13"
22.053743,77.846357,13.432856,11.906862,1387.170044,"2007-03-14"
21.957158,77.588968,13.556556,11.849974,1392.280029,"2007-03-15"
21.997402,77.422916,14.010121,11.85262,1386.949951,"2007-03-16"
22.399842,78.037316,14.220869,12.05636,1402.060059,"2007-03-19"
22.407891,78.460756,14.376638,12.102664,1410.939941,"2007-03-20"
22.955211,79.174791,14.784389,12.418857,1435.040039,"2007-03-21"
22.753991,79.033647,14.495756,12.430764,1434.540039,"2007-03-22"
22.55277,78.9008,14.394964,12.372553,1436.109985,"2007-03-23"
22.713746,78.875893,14.637782,12.680808,1437.5,"2007-03-26"
22.311305,78.651722,14.532408,12.629212,1428.609985,"2007-03-27"
22.246915,78.261493,14.330824,12.335509,1417.22998,"2007-03-28"
22.335452,78.518875,14.353731,12.402982,1422.530029,"2007-03-29"
22.432038,78.261493,14.367476,12.29185,1420.859985,"2007-03-30"
22.327403,79.050249,14.317079,12.389752,1424.550049,"2007-04-02"
22.432038,79.789191,14.427035,12.502205,1437.77002,"2007-04-03"
22.939113,79.880522,14.358313,12.471777,1439.369995,"2007-04-04"
22.979356,80.137904,14.385801,12.526019,1443.76001,"2007-04-05"
22.995454,80.220937,14.266683,12.389752,1444.609985,"2007-04-09"
22.858625,80.08809,14.275846,12.469131,1448.390015,"2007-04-10"
22.62521,79.008739,14.078843,12.249516,1438.869995,"2007-04-11"
22.971309,79.432174,14.051354,12.196596,1447.800049,"2007-04-12"
23.02765,78.817774,14.092588,11.938614,1452.849976,"2007-04-13"
23.124235,79.855615,14.22545,12.096049,1468.329956,"2007-04-16"
23.220822,80.636073,14.220869,11.953167,1471.47998,"2007-04-17"
