"","LAT","LON","SPEED","LENGTH","SHIPNAME","SHIP_ID","SHIPTYPE","GT_SHIPTYPE","WIDTH","DWT","DATETIME","PORT","port","date","ship_type","is_parked"
"1",54.40176,18.68195,1,22,"KONTROLER 20",316546,0,NA,6,NA,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Unspecified",1
"2",54.40633,18.66354,76,22,"KONTROLER 20",316546,0,NA,6,NA,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Unspecified",0
"3",54.69004,20.372,64,62,"KRYSTYNA",316798,0,NA,8,NA,2016-12-17 17:41:03,"kalingrad","Kalingrad",2016-12-17,"Unspecified",0
"4",55.72771,21.09569,0,0,"VTS 2770110",24473,0,NA,0,NA,2016-12-20 10:11:06,"klaipeda","Klaipeda",2016-12-20,"Unspecified",1
"5",59.93667,30.22583,0,0,"VTS 2734492",24369,0,NA,0,NA,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Unspecified",1
"6",59.95636,30.26427,0,36,"SPK-25",347868,0,NA,18,NA,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Unspecified",1
"7",59.9409,30.25651,2,1000,"BLACKPEARL 7.3V",4666609,0,NA,100,NA,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Unspecified",1
"8",59.8778,30.21639,0,3,"ST.-PETERSBURG PT LE",851186,1,NA,3,NA,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Navigation",1
"9",54.37302,18.66233,0,120,"BORIS SYROMYATNIKOV",351078,2,37,19,3372,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Fishing",1
"10",54.37172,18.66294,0,120,"KURSHSKAYA KOSA",351087,2,37,19,3372,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Fishing",1
"11",54.36551,18.65534,0,25,"AGNESE",352224,2,37,7,31,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Fishing",1
"12",54.37094,18.66333,0,62,"BOOTES",3351142,2,37,13,452,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Fishing",1
"13",54.52232,18.55843,1,29,"WLA 108",315746,2,43,8,89,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Fishing",1
"14",54.52086,18.55324,0,40,"BALTICA",316599,2,145,9,242,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Fishing",1
