"","port","ship_type","SHIP_ID","label_stop","min_time","max_time","center_lat","center_lon","len_stop"
"1","Gdańsk","Cargo",3338,1,2016-12-15 19:11:02,2016-12-17 04:05:02,54.3845106404959,18.6609221797521,1974
"2","Gdańsk","Cargo",5628,1,2016-12-19 08:19:02,2016-12-20 10:11:02,54.3800535771277,18.6550740558511,1552
"3","Gdańsk","Cargo",6223,1,2016-12-13 10:21:01,2016-12-16 11:15:02,54.4013107720021,18.6792604529079,4374
"4","Gdańsk","Cargo",122562,1,2016-12-15 06:33:02,2016-12-16 10:13:02,54.3745988711656,18.6634942822086,1660
"5","Gdańsk","Cargo",123147,1,2016-12-16 13:27:02,2016-12-20 10:11:02,54.3921976387378,18.7116134240116,5564
"6","Gdańsk","Cargo",130867,1,2016-12-14 11:07:02,2016-12-15 02:05:01,54.3626554342984,18.6661720267261,898
"7","Gdańsk","Cargo",132427,1,2016-12-14 09:59:02,2016-12-19 16:21:02,54.3856706055901,18.716212810559,7582
"8","Gdańsk","Cargo",145203,1,2016-12-13 10:21:01,2016-12-20 10:11:02,54.3877390404345,18.7173824924562,10070
"9","Gdańsk","Cargo",155711,1,2016-12-16 04:45:02,2016-12-19 07:27:01,54.3881241410085,18.7109155600178,4482
"10","Gdańsk","Cargo",156758,1,2016-12-20 05:33:01,2016-12-20 10:11:02,54.3730366386555,18.6573325210084,278
"11","Gdańsk","Cargo",204427,1,2016-12-18 16:57:02,2016-12-20 10:11:02,54.4042916749585,18.6673987230514,2474
"12","Gdańsk","Cargo",222305,1,2016-12-13 10:21:01,2016-12-14 01:51:02,54.4070132378855,18.6582148678414,930
"13","Gdańsk","Cargo",259202,1,2016-12-13 10:21:01,2016-12-13 13:31:02,54.3854604545455,18.6720729545455,190
"14","Gdańsk","Cargo",260071,1,2016-12-14 16:33:02,2016-12-20 10:11:02,54.3950097842079,18.6703066454144,8258
"15","Gdańsk","Cargo",264274,1,2016-12-13 10:21:01,2016-12-14 01:51:02,54.4030619555556,18.6765820888889,930
"16","Gdańsk","Cargo",265510,1,2016-12-19 03:51:02,2016-12-20 10:11:02,54.3866108725603,18.6714999425947,1820
"17","Gdańsk","Cargo",268459,1,2016-12-19 05:41:01,2016-12-20 10:11:02,54.3641481038647,18.6666200483092,1710
"18","Gdańsk","Cargo",283730,1,2016-12-13 10:21:01,2016-12-14 01:51:02,54.3847521806167,18.6614367400881,930
"19","Gdańsk","Cargo",287761,1,2016-12-14 21:57:02,2016-12-15 12:27:02,54.3728054060325,18.6642723665893,870
"20","Gdańsk","Cargo",300096,1,2016-12-15 14:39:02,2016-12-16 05:43:02,54.3858396467991,18.7165655629139,904
