year,league_id,team_id,franchise_id,div_id,rank,g,ghome,w,l,div_win,wc_win,lg_win,ws_win,r,ab,h,double,triple,hr,bb,so,sb,cs,hbp,sf,ra,er,era,cg,sho,sv,ipouts,ha,hra,bba,soa,e,dp,fp,name,park,attendance,bpf,ppf,team_id_br,team_id_lahman45,team_id_retro
1871,,BS1,BNA,,3,31,,20,10,,,N,,401,1372,426,70,37,3,60.0,19.0,73.0,16.0,,,303,109,3.55,22,1,3,828,367,2,42,23,243,24,0.834,Boston Red Stockings,South End Grounds I,,103,98,BOS,BS1,BS1
1871,,CH1,CNA,,2,28,,19,9,,,N,,302,1196,323,52,21,10,60.0,22.0,69.0,21.0,,,241,77,2.76,25,0,1,753,308,6,28,22,229,16,0.829,Chicago White Stockings,Union Base-Ball Grounds,,104,102,CHI,CH1,CH1
1871,,CL1,CFC,,8,29,,10,19,,,N,,249,1186,328,35,40,7,26.0,25.0,18.0,8.0,,,341,116,4.11,23,0,0,762,346,13,53,34,234,15,0.818,Cleveland Forest Citys,National Association Grounds,,96,100,CLE,CL1,CL1
1871,,FW1,KEK,,7,19,,7,12,,,N,,137,746,178,19,8,2,33.0,9.0,16.0,4.0,,,243,97,5.17,19,1,0,507,261,5,21,17,163,8,0.803,Fort Wayne Kekiongas,Hamilton Field,,101,107,KEK,FW1,FW1
1871,,NY2,NNA,,5,33,,16,17,,,N,,302,1404,403,43,21,1,33.0,15.0,46.0,15.0,,,313,121,3.72,32,1,0,879,373,7,42,22,235,14,0.84,New York Mutuals,Union Grounds (Brooklyn),,90,88,NYU,NY2,NY2
1871,,PH1,PNA,,1,28,,21,7,,,Y,,376,1281,410,66,27,9,46.0,23.0,56.0,12.0,,,266,137,4.95,27,0,0,747,329,3,53,16,194,13,0.845,Philadelphia Athletics,Jefferson Street Grounds,,102,98,ATH,PH1,PH1
1871,,RC1,ROK,,9,25,,4,21,,,N,,231,1036,274,44,25,3,38.0,30.0,53.0,10.0,,,287,108,4.3,23,1,0,678,315,3,34,16,220,14,0.821,Rockford Forest Citys,Agricultural Society Fair Grounds,,97,99,ROK,RC1,RC1
1871,,TRO,TRO,,6,29,,13,15,,,N,,351,1248,384,51,34,6,49.0,19.0,62.0,24.0,,,362,153,5.51,28,0,0,750,431,4,75,12,198,22,0.845,Troy Haymakers,Haymakers' Grounds,,101,100,TRO,TRO,TRO
1871,,WS3,OLY,,4,32,,15,15,,,N,,310,1353,375,54,26,6,48.0,13.0,48.0,13.0,,,303,137,4.37,32,0,0,846,371,4,45,13,218,20,0.85,Washington Olympics,Olympics Grounds,,94,98,OLY,WS3,WS3
1872,,BL1,BLC,,2,58,,35,19,,,N,,617,2571,753,106,31,14,29.0,28.0,53.0,18.0,,,434,166,2.9,48,1,1,1548,573,3,63,77,432,22,0.83,Baltimore Canaries,Newington Park,,106,102,BAL,BL1,BL1
1872,,BR1,ECK,,9,29,,3,26,,,N,,152,1072,248,29,9,0,18.0,40.0,8.0,13.0,,,413,160,5.55,28,0,0,778,484,7,36,13,274,9,0.803,Brooklyn Eckfords,Union Grounds,,87,96,ECK,BR1,BR1
1872,,BR2,BRA,,6,37,,9,28,,,N,,237,1457,377,35,10,1,19.0,25.0,19.0,16.0,,,473,169,4.53,37,0,0,1008,568,6,21,13,357,15,0.81,Brooklyn Atlantics,Capitoline Grounds,,115,122,BRA,BR2,BR2
1872,,BS1,BNA,,1,48,,39,8,,,Y,,521,2126,673,107,30,7,29.0,26.0,48.0,14.0,,,236,89,1.86,41,4,4,1291,443,0,27,29,280,44,0.875,Boston Red Stockings,South End Grounds I,,105,100,BOS,BS1,BS1
1872,,CL1,CFC,,7,22,,6,16,,,N,,174,943,272,28,5,0,17.0,13.0,12.0,3.0,,,254,126,5.7,15,0,0,597,285,6,24,11,184,17,0.816,Cleveland Forest Citys,National Association Grounds,,96,100,CLE,CL1,CL1
1872,,MID,MAN,,8,24,,5,19,,,N,,220,1013,275,36,9,2,10.0,13.0,6.0,7.0,,,348,130,5.55,20,0,0,633,366,6,15,10,231,11,0.804,Middletown Mansfields,Mansfield Club Grounds,,98,103,MAN,MID,MID
1872,,NY2,NNA,,3,56,,34,20,,,N,,523,2426,670,87,14,4,58.0,52.0,59.0,22.0,,,362,172,3.02,54,3,1,1536,622,2,33,46,323,33,0.868,New York Mutuals,Union Grounds (Brooklyn),,93,92,NYU,NY2,NY2
1872,,PH1,PNA,,4,47,,30,14,,,N,,539,2142,679,79,25,4,69.0,47.0,58.0,31.0,,,349,133,2.85,47,1,0,1258,508,3,26,44,298,20,0.858,Philadelphia Athletics,Jefferson Street Grounds,,102,100,ATH,PH1,PH1
1872,,TRO,TRO,,5,25,,15,10,,,N,,273,1099,330,58,8,5,9.0,14.0,6.0,7.0,,,191,65,2.6,17,2,1,675,277,2,10,19,151,9,0.861,Troy Haymakers,Haymakers' Grounds,,101,100,TRO,TRO,TRO
1872,,WS3,OLY,,10,9,,2,7,,,N,,54,365,91,10,3,0,4.0,4.0,,3.0,,,140,56,6.38,9,0,0,237,148,0,5,1,96,7,0.786,Washington Olympics,Olympics Grounds,,94,98,OLY,WS3,WS3
1872,,WS4,NAT,,11,11,,0,11,,,N,,80,451,99,6,1,0,1.0,3.0,,,,,190,68,6.18,11,0,0,297,193,2,3,2,120,2,0.774,Washington Nationals,Nationals Grounds,,129,141,NAT,WS4,WS4
1873,,BL1,BLC,,3,57,,34,22,,,N,,644,2560,810,109,40,9,43.0,30.0,28.0,13.0,,,451,174,3.08,55,1,0,1526,680,4,43,37,345,32,0.862,Baltimore Canaries,Newington Park,,101,102,BAL,BL1,BL1
1873,,BL4,MAR,,9,6,,0,6,,,N,,26,211,33,1,0,0,,3.0,,,,,152,48,8.0,6,0,0,162,144,1,1,0,74,0,0.761,Baltimore Marylands,Newington Park,,77,99,MAR,BL4,BL4
1873,,BR2,BRA,,6,55,,17,37,,,N,,366,2207,588,46,23,6,55.0,47.0,20.0,13.0,,,549,230,4.14,52,1,0,1500,737,8,43,16,515,34,0.817,Brooklyn Atlantics,Union Grounds,,90,94,BRA,BR2,BR2
1873,,BS1,BNA,,1,60,,43,16,,,Y,,739,2748,933,144,44,13,68.0,36.0,145.0,48.0,,,460,183,3.07,46,1,7,1608,708,5,42,55,472,54,0.836,Boston Red Stockings,South End Grounds I,,106,100,BOS,BS1,BS1
1873,,ELI,RES,,8,23,,2,21,,,N,,98,869,204,25,8,0,9.0,30.0,4.0,4.0,,,299,75,3.26,22,0,0,621,343,6,10,10,244,14,0.789,Elizabeth Resolutes,Waverly Fairgrounds,,92,103,RES,ELI,ELI
1873,,NY2,NNA,,4,53,,29,24,,,N,,424,2211,622,51,36,5,43.0,22.0,16.0,7.0,,,385,140,2.64,48,2,0,1431,539,5,68,80,425,29,0.819,New York Mutuals,Union Grounds (Brooklyn),,98,96,NYU,NY2,NY2
1873,,PH1,PNA,,5,52,,28,23,,,N,,474,2267,683,71,21,4,35.0,33.0,36.0,24.0,,,403,161,3.05,44,3,2,1425,553,4,58,41,390,30,0.84,Philadelphia Athletics,Jefferson Street Grounds,,108,105,ATH,PH1,PH1
1873,,PH2,PWS,,2,53,,36,17,,,N,,526,2326,645,83,20,8,62.0,41.0,54.0,14.0,,,396,156,2.92,50,0,0,1443,628,3,44,29,378,43,0.849,Philadelphia Whites,Jefferson Street Grounds,,103,101,PHI,PH2,PH2
1873,,WS5,WBL,,7,39,,8,31,,,N,,283,1560,408,40,19,2,20.0,36.0,11.0,8.0,,,485,186,4.84,39,0,0,1038,594,11,26,10,348,27,0.812,Washington Blue Legs,Olympics Grounds,,96,102,WAS,WS5,WS5
1874,,BL1,BLC,,8,47,,9,38,,,N,,227,1776,435,45,7,1,22.0,37.0,12.0,5.0,,,505,146,3.13,42,0,0,1260,640,3,39,20,436,15,0.812,Baltimore Canaries,Newington Park,,102,104,BAL,BL1,BL1
1874,,BR2,BRA,,6,56,,22,33,,,N,,301,2169,498,45,8,1,31.0,51.0,12.0,4.0,,,450,116,2.06,56,1,0,1518,618,15,11,42,500,15,0.822,Brooklyn Atlantics,Union Grounds,,89,94,BRA,BR2,BR2
1874,,BS1,BNA,,1,71,,52,18,,,Y,,735,3129,977,121,61,17,34.0,28.0,45.0,19.0,,,415,136,1.93,65,4,3,1902,779,1,23,31,489,53,0.85,Boston Red Stockings,South End Grounds I,,105,98,BOS,BS1,BS1
1874,,CH2,CNA,,5,59,,28,31,,,N,,418,2462,685,87,4,4,32.0,54.0,32.0,12.0,,,480,157,2.65,58,3,0,1601,684,7,45,26,477,27,0.829,Chicago White Stockings,23rd Street Grounds,,101,102,CHI,CH2,CH2
1874,,HR1,HNA,,7,53,,16,37,,,N,,371,2144,591,86,18,2,31.0,63.0,42.0,21.0,,,471,135,2.53,45,0,0,1443,653,1,28,39,521,17,0.797,Hartford Dark Blues,Hartford Ball Club Grounds,,106,106,HAR,HR1,HR1
1874,,NY2,NNA,,2,65,,42,23,,,N,,501,2730,714,89,28,7,36.0,40.0,36.0,4.0,,,377,124,1.9,62,4,0,1758,663,3,41,101,438,22,0.847,New York Mutuals,Union Grounds (Brooklyn),,103,102,NYU,NY2,NY2
1874,,PH1,PNA,,3,55,,33,22,,,N,,441,2259,647,83,18,6,24.0,51.0,36.0,14.0,,,344,89,1.64,55,0,0,1461,514,6,32,37,396,34,0.839,Philadelphia Athletics,Jefferson Street Grounds,,108,105,ATH,PH1,PH1
1874,,PH2,PWS,,4,58,,29,29,,,N,,476,2435,677,78,50,2,28.0,33.0,27.0,18.0,,,428,112,1.93,56,3,0,1566,673,4,19,61,518,38,0.809,Philadelphia Whites,Jefferson Street Grounds,,103,101,PHI,PH2,PH2
1875,,BR2,BRA,,11,44,,2,42,,,N,,132,1562,304,33,6,2,8.0,36.0,1.0,5.0,,,438,139,3.16,31,0,0,1188,535,6,17,16,432,20,0.801,Brooklyn Atlantics,Union Grounds,,88,94,BRA,BR2,BR2
1875,,BS1,BNA,,1,82,,71,8,,,Y,,831,3515,1128,167,51,15,33.0,52.0,93.0,37.0,,,343,152,1.87,60,10,17,2196,751,2,33,110,483,56,0.87,Boston Red Stockings,South End Grounds I,,103,96,BOS,BS1,BS1
1875,,CH2,CNA,,6,69,,30,37,,,N,,379,2685,699,83,16,0,21.0,65.0,69.0,50.0,,,416,113,1.63,65,7,0,1875,649,0,26,55,478,30,0.853,Chicago White Stockings,23rd Street Grounds,,101,102,CHI,CH2,CH2
1875,,HR1,HNA,,3,86,,54,28,,,N,,557,3356,871,92,35,2,34.0,64.0,65.0,33.0,,,343,134,1.57,83,13,0,2310,708,4,11,152,438,47,0.881,Hartford Dark Blues,Hartford Ball Club Grounds,,107,105,HAR,HR1,HR1
1875,,KEO,WES,,13,13,,1,12,,,N,,45,449,81,9,6,0,1.0,22.0,4.0,6.0,,,88,23,1.83,13,0,0,339,111,0,12,20,78,5,0.86,Keokuk Westerns,Perry Park,,105,109,WES,KEO,KEO
1875,,NH1,NHV,,8,47,,7,40,,,N,,170,1714,373,41,13,2,14.0,62.0,35.0,16.0,,,397,125,2.65,40,0,0,1275,501,5,21,54,447,24,0.814,New Haven Elm Citys,Hamilton Park,,87,93,NHV,NH1,NH1
1875,,NY2,NNA,,6,71,,30,38,,,N,,328,2685,633,82,21,7,19.0,47.0,20.0,24.0,,,425,174,2.46,70,3,0,1910,718,4,21,77,526,30,0.838,New York Mutuals,Union Grounds (Brooklyn),,99,100,NYU,NY2,NY2
1875,,PH1,PNA,,2,77,,53,20,,,N,,699,3250,941,124,57,7,38.0,55.0,75.0,46.0,,,402,183,2.4,75,6,0,2061,776,4,39,45,419,51,0.876,Philadelphia Athletics,Jefferson Street Grounds,,107,106,ATH,PH1,PH1
1875,,PH2,PWS,,5,70,,37,31,,,N,,470,2721,683,67,27,5,21.0,58.0,105.0,51.0,,,376,148,2.12,64,5,0,1884,652,6,30,42,477,32,0.848,Philadelphia Whites,Jefferson Street Grounds,,104,102,PHI,PH2,PH2
1875,,PH3,CEN,,11,14,,2,12,,,N,,70,530,125,22,3,0,10.0,25.0,4.0,,,,138,38,2.71,14,0,0,378,169,0,5,6,164,5,0.769,Philadelphia Centennials,Centennial Grounds,,92,98,CEN,PH3,PH3
1875,,SL1,SLR,,10,19,,4,15,,,N,,60,688,137,20,1,0,12.0,45.0,27.0,9.0,,,161,50,2.63,16,2,0,513,209,0,3,21,150,6,0.833,St. Louis Red Stockings,Red Stocking Baseball Park,,90,98,SLR,SL1,SL1
1875,,SL2,SNA,,4,70,,39,29,,,N,,386,2674,643,85,29,0,32.0,102.0,108.0,36.0,,,369,147,2.1,67,5,1,1890,636,3,21,71,425,36,0.869,St. Louis Brown Stockings,Grand Avenue Park,,89,86,STL,SL2,SL2
1875,,WS6,WNT,,9,28,,5,23,,,N,,107,1004,194,14,8,0,6.0,42.0,23.0,7.0,,,338,105,3.77,23,0,0,752,397,6,10,6,285,8,0.791,Washington Nationals,Olympics Grounds,,96,106,WAS,WS6,WS6
1876,NL,BSN,ATL,,4,70,,39,31,,,N,,471,2722,723,96,24,9,58.0,98.0,,,,,450,176,2.51,49,3,7,1896,732,7,104,77,442,42,0.86,Boston Red Caps,South End Grounds I,,102,98,BSN,BSN,BSN
1876,NL,CHN,CHC,,1,66,,52,14,,,Y,,624,2748,926,131,32,8,70.0,45.0,,,,,257,116,1.76,58,9,4,1777,608,6,29,51,282,33,0.899,Chicago White Stockings,23rd Street Grounds,,112,106,CHC,CHN,CHN
1876,NL,CN1,CNR,,8,65,,9,56,,,N,,238,2372,555,51,12,4,41.0,136.0,,,,,579,238,3.62,57,0,0,1773,850,9,34,60,469,45,0.841,Cincinnati Reds,Avenue Grounds,,86,95,CIN,CN1,CN1
1876,NL,HAR,HAR,,2,69,,47,21,,,N,,429,2664,711,96,22,2,39.0,78.0,,,,,261,116,1.67,69,11,0,1872,570,2,27,114,337,27,0.888,Hartford Dark Blues,Hartford Ball Club Grounds,,110,106,HAR,HAR,HAR
1876,NL,LS1,LGR,,5,69,,30,36,,,N,,280,2570,641,68,14,6,24.0,98.0,,,,,344,121,1.69,67,5,0,1929,605,3,38,125,397,44,0.875,Louisville Grays,Louisville Baseball Park,,117,117,LOU,LS1,LS1
1876,NL,NY3,NYU,,6,57,,21,35,,,N,,260,2180,494,39,15,2,18.0,35.0,,,,,412,173,2.94,56,2,0,1590,718,8,24,37,473,18,0.825,New York Mutuals,Union Grounds (Brooklyn),,96,100,NYU,NY3,NY3
