name,pop,lat,lon
Australia,11,-24.7761086,134.755
Bangladesh,9,24.4768783,90.2932426
Belize,1,16.8259793,-88.7600927
Brazil,54,-10.3333333,-53.2
Brunei,1,4.4137155,114.5653908
Burkina Faso,7,12.0753083,-1.6880314
Cambodia,6,13.5066394,104.869423
China,52,25.4915799,-98.9811115045569
Colombia,5,2.8894434,-73.783892
Costa Rica,1,10.2735633,-84.0739102
Cuba,4,23.0131338,-80.8328748
Dominican Republic,2,19.0974031,-70.3028026
El Salvador,1,13.8000382,-88.9140683
Fiji,3,-18.1239696,179.0122737
French Guiana,11,4.0039882,-52.999998
French Polynesia,12,-18.6243749,-144.6434898
Ghana,1,8.0300284,-1.0800271
Guadeloupe,2,16.2490067,-61.5650444
Guam,2,13.444138,144.733626445767
Guatemala,2,15.6356088,-89.8988087
Haiti,1,19.1399952,-72.3570972
India,38,22.3511148,78.6677428
Indonesia,48,-4.7993356,114.5632032
Ireland,3,52.865196,-7.9794599
Jamaica,3,18.1850507,-77.3947693
Japan,2,36.5748441,139.2394179
Malaysia,11,2.3923759,112.8471939
Martinique,6,14.6113732,-60.9620777
Mexico,13,19.4326009,-99.1333416
Micronesia,3,5.5600565,150.1982846
Myanmar,11,17.1750495,95.9999652
New Caledonia,13,-21.3019905,165.4880773
Nicaragua,23,12.3724928,-84.8700308
Pakistan,16,30.3308401,71.247499
Papua New Guinea,6,-5.6816069,144.2489081
Peru,24,41.3272919,-89.1287636
Philippines,7,12.7503486,122.7312101
Puerto Rico,61,18.22141715,-66.4132818505648
Saudi Arabia,7,14.4845383,121.0221299
Seychelles,1,25.2244645,55.1828800434721
Singapore,31,1.2904753,103.8520359
Somalia,4,-13.180556,15.266667
Spain,9,40.0028028,-4.003104
Sri Lanka,8,7.878,80.7038245875
Suriname,2,4.1413025,-56.0771187
Taiwan,14,23.59829785,120.835363138175
Tanzania,2,-6.5247123,35.7878438
Thailand,59,14.8971921,100.83273
Trinidad And Tobago,1,10.8677845,-60.9821067
USA,5,39.7837304,-100.4458825
Venezuela,18,8.0018709,-66.1109318
Vietnam,32,13.2904027,108.4265113
