lat,lon
45.000000,0.000000
45.075537,0.100000
45.150997,0.200000
45.226381,0.300000
45.301688,0.400000
45.376918,0.500000
45.452071,0.600000
45.527146,0.700000
45.602143,0.800000
45.677063,0.900000
45.751904,1.000000
45.826666,1.100000
45.901350,1.200000
45.975956,1.300000
46.050482,1.400000
46.124928,1.500000
46.199295,1.600000
46.273583,1.700000
46.347790,1.800000
46.421917,1.900000
46.495963,2.000000
46.569929,2.100000
46.643814,2.200000
46.717617,2.300000
46.791340,2.400000
46.864980,2.500000
46.938539,2.600000
47.012016,2.700000
47.085411,2.800000
47.158722,2.900000
47.231952,3.000000
47.305098,3.100000
47.378161,3.200000
47.451141,3.300000
47.524037,3.400000
47.596849,3.500000
47.669577,3.600000
47.742221,3.700000
47.814781,3.800000
47.887255,3.900000
47.959645,4.000000
48.031950,4.100000
48.104169,4.200000
48.176302,4.300000
48.248350,4.400000
48.320312,4.500000
48.392187,4.600000
48.463976,4.700000
48.535678,4.800000
48.607294,4.900000
48.678822,5.000000
48.750263,5.100000
48.821616,5.200000
48.892881,5.300000
48.964059,5.400000
49.035148,5.500000
49.106149,5.600000
49.177061,5.700000
49.247884,5.800000
49.318618,5.900000
49.389263,6.000000
49.459818,6.100000
49.530283,6.200000
49.600659,6.300000
49.670944,6.400000
49.741139,6.500000
49.811244,6.600000
49.881257,6.700000
49.951180,6.800000
50.021011,6.900000
50.090751,7.000000
50.160399,7.100000
50.229956,7.200000
50.299420,7.300000
50.368792,7.400000
50.438071,7.500000
50.507258,7.600000
50.576352,7.700000
50.645353,7.800000
50.714260,7.900000
50.783074,8.000000
50.851794,8.100000
50.920420,8.200000
50.988952,8.300000
51.057389,8.400000
51.125732,8.500000
51.193980,8.600000
51.262133,8.700000
51.330191,8.800000
51.398153,8.900000
51.466020,9.000000
51.533790,9.100000
51.601465,9.200000
51.669044,9.300000
51.736526,9.400000
51.803911,9.500000
51.871199,9.600000
51.938391,9.700000
52.005485,9.800000
52.072482,9.900000
52.139380,10.000000
52.206181,10.100000
52.272884,10.200000
52.339489,10.300000
52.405995,10.400000
52.472402,10.500000
52.538711,10.600000
52.604920,10.700000
52.671030,10.800000
52.737041,10.900000
52.802951,11.000000
52.868762,11.100000
52.934473,11.200000
53.000083,11.300000
53.065593,11.400000
53.131002,11.500000
53.196311,11.600000
