lat,lon
45.000000,0.000000
49.389263,6.000000
53.456530,12.000000
57.157241,18.000000
60.450850,24.000000
63.301270,30.000000
65.677273,36.000000
67.552826,42.000000
68.907380,48.000000
69.726095,54.000000
70.000000,60.000000
69.726095,66.000000
68.907380,72.000000
67.552826,78.000000
65.677273,84.000000
63.301270,90.000000
60.450850,96.000000
57.157241,102.000000
53.456530,108.000000
49.389263,114.000000
45.000000,120.000000
40.336832,126.000000
35.450850,132.000000
30.395585,138.000000
25.226423,144.000000
20.000000,150.000000
14.773577,156.000000
9.604415,162.000000
4.549150,168.000000
-0.336832,174.000000
-5.000000,180.000000
-9.389263,186.000000
-13.456530,192.000000
-17.157241,198.000000
-20.450850,204.000000
-23.301270,210.000000
-25.677273,216.000000
-27.552826,222.000000
-28.907380,228.000000
-29.726095,234.000000
-30.000000,240.000000
-29.726095,246.000000
-28.907380,252.000000
-27.552826,258.000000
-25.677273,264.000000
-23.301270,270.000000
-20.450850,276.000000
-17.157241,282.000000
-13.456530,288.000000
-9.389263,294.000000
-5.000000,300.000000
-0.336832,306.000000
4.549150,312.000000
9.604415,318.000000
14.773577,324.000000
20.000000,330.000000
25.226423,336.000000
30.395585,342.000000
35.450850,348.000000
40.336832,354.000000
