elevation,temperature,speed,fuel,battery
665,283,27.1,81,81
656,288,27.9,80,79
659,286,27.3,81,80
654,296,26.8,79,80
655,291,28.0,81,80
650,290,28.0,80,80
656,295,27.1,80,81
651,286,28.0,80,79
638,291,27.0,81,81
639,296,29.0,80,80
644,284,29.3,80,80
647,290,27.9,81,79
637,289,28.8,79,81
664,290,26.7,79,81
648,284,27.9,79,79
653,286,26.6,80,80
660,286,27.9,80,80
647,284,29.0,80,80
664,291,27.1,81,80
651,290,28.5,79,79
648,290,26.7,81,81
658,285,27.3,80,80
660,287,28.2,79,79
665,295,27.2,80,80
663,289,29.1,79,80
663,291,28.0,80,79
645,296,29.3,80,79
650,287,28.8,80,81
662,292,27.3,80,80
650,290,27.4,81,81
652,284,28.0,80,81
638,295,28.0,79,81
640,289,26.9,81,79
651,291,27.2,81,81
644,288,27.6,80,80
665,290,29.3,80,81
638,286,28.5,80,81
651,290,28.7,81,80
652,285,27.4,81,81
658,289,27.8,80,80
647,285,28.6,80,81
651,295,27.0,81,80
659,290,29.4,80,79
661,283,29.4,79,81
656,290,27.2,79,80
658,288,27.7,80,80
664,296,27.4,81,79
661,285,28.4,80,79
663,291,27.8,80,81
634,290,28.7,79,80
644,289,28.0,81,79
651,290,29.0,81,81
645,287,27.0,79,80
635,289,28.7,81,80
649,296,26.9,81,79
660,290,26.6,81,81
639,297,27.7,81,79
635,283,26.8,81,79
651,294,28.5,80,79
661,292,27.6,81,80
