elevation,temperature,speed,fuel,battery
645,407,30.4,82,82
600,402,27.0,84,83
657,282,25.3,80,83
853,346,29.1,79,79
793,331,25.5,79,78
731,286,24.7,79,82
887,360,30.7,84,84
735,341,31.6,83,79
840,308,22.9,80,77
756,327,27.8,84,84
853,312,25.3,80,80
612,337,31.4,83,77
658,285,24.0,78,81
900,396,26.1,84,78
731,418,25.1,81,81
692,388,25.7,79,80
847,393,31.2,76,77
866,391,27.8,82,76
743,418,28.8,80,78
676,327,26.7,80,80
689,291,33.4,81,80
676,356,26.9,82,84
711,415,23.9,84,80
610,409,24.1,82,80
644,416,30.8,84,80
614,322,23.6,78,80
608,347,26.5,81,82
865,333,24.2,79,76
829,415,25.5,84,84
603,410,29.2,77,84
712,376,27.4,80,77
782,408,26.1,77,76
775,299,29.7,78,82
686,311,32.0,79,78
824,393,32.6,81,82
650,369,25.3,77,78
790,371,29.2,80,78
629,291,30.1,80,80
791,357,30.3,80,78
898,336,27.1,80,79
770,317,27.6,78,78
847,379,24.5,81,81
857,330,32.5,82,80
602,410,23.3,76,80
893,404,23.6,84,84
723,295,30.2,82,83
772,307,33.2,76,81
696,335,22.5,82,77
606,392,25.5,77,80
608,332,25.7,82,82
628,294,26.3,77,84
632,326,23.3,80,76
764,280,22.6,77,76
705,412,28.0,80,84
684,376,29.6,84,83
654,290,26.6,79,78
606,367,24.0,82,81
700,402,26.3,84,78
685,332,33.2,84,81
880,350,33.4,79,84
