# Name: Iris Data Set
# Description: This is perhaps the best known database to be found in the pattern recognition literature. Fisher's paper is a classic in the field and is referenced frequently to this day. (See Duda & Hart, for example.) The data set contains 3 classes of 50 instances each, where each class refers to a type of iris plant. One class is linearly separable from the other 2; the latter are NOT linearly separable from each other. [from https://archive.ics.uci.edu/ml/datasets/iris]
# Source: https://archive.ics.uci.edu/ml/machine-learning-databases/iris/

Num	Class	Sepal length (cm)	Sepal width (cm)	Petal length (cm)	Petal width (cm)
1	Iris-setosa	5.1	3.5	1.4	0.2
2	Iris-setosa	4.9	3	1.4	0.2
3	Iris-setosa	4.7	3.2	1.3	0.2
4	Iris-setosa	4.6	3.1	1.5	0.2
5	Iris-setosa	5	3.6	1.4	0.2
6	Iris-setosa	5.4	3.9	1.7	0.4
7	Iris-setosa	4.6	3.4	1.4	0.3
8	Iris-setosa	5	3.4	1.5	0.2
9	Iris-setosa	4.4	2.9	1.4	0.2
10	Iris-setosa	4.9	3.1	1.5	0.1
11	Iris-setosa	5.4	3.7	1.5	0.2
12	Iris-setosa	4.8	3.4	1.6	0.2
13	Iris-setosa	4.8	3	1.4	0.1
14	Iris-setosa	4.3	3	1.1	0.1
15	Iris-setosa	5.8	4	1.2	0.2
16	Iris-setosa	5.7	4.4	1.5	0.4
17	Iris-setosa	5.4	3.9	1.3	0.4
18	Iris-setosa	5.1	3.5	1.4	0.3
19	Iris-setosa	5.7	3.8	1.7	0.3
20	Iris-setosa	5.1	3.8	1.5	0.3
21	Iris-setosa	5.4	3.4	1.7	0.2
22	Iris-setosa	5.1	3.7	1.5	0.4
23	Iris-setosa	4.6	3.6	1	0.2
24	Iris-setosa	5.1	3.3	1.7	0.5
25	Iris-setosa	4.8	3.4	1.9	0.2
26	Iris-setosa	5	3	1.6	0.2
27	Iris-setosa	5	3.4	1.6	0.4
28	Iris-setosa	5.2	3.5	1.5	0.2
29	Iris-setosa	5.2	3.4	1.4	0.2
30	Iris-setosa	4.7	3.2	1.6	0.2
31	Iris-setosa	4.8	3.1	1.6	0.2
32	Iris-setosa	5.4	3.4	1.5	0.4
33	Iris-setosa	5.2	4.1	1.5	0.1
34	Iris-setosa	5.5	4.2	1.4	0.2
35	Iris-setosa	4.9	3.1	1.5	0.1
36	Iris-setosa	5	3.2	1.2	0.2
37	Iris-setosa	5.5	3.5	1.3	0.2
38	Iris-setosa	4.9	3.1	1.5	0.1
39	Iris-setosa	4.4	3	1.3	0.2
40	Iris-setosa	5.1	3.4	1.5	0.2
41	Iris-setosa	5	3.5	1.3	0.3
42	Iris-setosa	4.5	2.3	1.3	0.3
43	Iris-setosa	4.4	3.2	1.3	0.2
44	Iris-setosa	5	3.5	1.6	0.6
45	Iris-setosa	5.1	3.8	1.9	0.4
46	Iris-setosa	4.8	3	1.4	0.3
47	Iris-setosa	5.1	3.8	1.6	0.2
48	Iris-setosa	4.6	3.2	1.4	0.2
49	Iris-setosa	5.3	3.7	1.5	0.2
50	Iris-setosa	5	3.3	1.4	0.2
51	Iris-versicolor	7	3.2	4.7	1.4
52	Iris-versicolor	6.4	3.2	4.5	1.5
53	Iris-versicolor	6.9	3.1	4.9	1.5
54	Iris-versicolor	5.5	2.3	4	1.3
55	Iris-versicolor	6.5	2.8	4.6	1.5
56	Iris-versicolor	5.7	2.8	4.5	1.3
57	Iris-versicolor	6.3	3.3	4.7	1.6
58	Iris-versicolor	4.9	2.4	3.3	1
59	Iris-versicolor	6.6	2.9	4.6	1.3
60	Iris-versicolor	5.2	2.7	3.9	1.4
61	Iris-versicolor	5	2	3.5	1
62	Iris-versicolor	5.9	3	4.2	1.5
63	Iris-versicolor	6	2.2	4	1
64	Iris-versicolor	6.1	2.9	4.7	1.4
65	Iris-versicolor	5.6	2.9	3.6	1.3
66	Iris-versicolor	6.7	3.1	4.4	1.4
67	Iris-versicolor	5.6	3	4.5	1.5
68	Iris-versicolor	5.8	2.7	4.1	1
69	Iris-versicolor	6.2	2.2	4.5	1.5
70	Iris-versicolor	5.6	2.5	3.9	1.1
71	Iris-versicolor	5.9	3.2	4.8	1.8
72	Iris-versicolor	6.1	2.8	4	1.3
73	Iris-versicolor	6.3	2.5	4.9	1.5
74	Iris-versicolor	6.1	2.8	4.7	1.2
75	Iris-versicolor	6.4	2.9	4.3	1.3
76	Iris-versicolor	6.6	3	4.4	1.4
77	Iris-versicolor	6.8	2.8	4.8	1.4
78	Iris-versicolor	6.7	3	5	1.7
79	Iris-versicolor	6	2.9	4.5	1.5
80	Iris-versicolor	5.7	2.6	3.5	1
81	Iris-versicolor	5.5	2.4	3.8	1.1
82	Iris-versicolor	5.5	2.4	3.7	1
83	Iris-versicolor	5.8	2.7	3.9	1.2
84	Iris-versicolor	6	2.7	5.1	1.6
85	Iris-versicolor	5.4	3	4.5	1.5
86	Iris-versicolor	6	3.4	4.5	1.6
87	Iris-versicolor	6.7	3.1	4.7	1.5
88	Iris-versicolor	6.3	2.3	4.4	1.3
89	Iris-versicolor	5.6	3	4.1	1.3
90	Iris-versicolor	5.5	2.5	4	1.3
91	Iris-versicolor	5.5	2.6	4.4	1.2
92	Iris-versicolor	6.1	3	4.6	1.4
93	Iris-versicolor	5.8	2.6	4	1.2
94	Iris-versicolor	5	2.3	3.3	1
95	Iris-versicolor	5.6	2.7	4.2	1.3
96	Iris-versicolor	5.7	3	4.2	1.2
97	Iris-versicolor	5.7	2.9	4.2	1.3
98	Iris-versicolor	6.2	2.9	4.3	1.3
99	Iris-versicolor	5.1	2.5	3	1.1
100	Iris-versicolor	5.7	2.8	4.1	1.3
101	Iris-virginica	6.3	3.3	6	2.5
102	Iris-virginica	5.8	2.7	5.1	1.9
103	Iris-virginica	7.1	3	5.9	2.1
104	Iris-virginica	6.3	2.9	5.6	1.8
105	Iris-virginica	6.5	3	5.8	2.2
106	Iris-virginica	7.6	3	6.6	2.1
107	Iris-virginica	4.9	2.5	4.5	1.7
108	Iris-virginica	7.3	2.9	6.3	1.8
109	Iris-virginica	6.7	2.5	5.8	1.8
110	Iris-virginica	7.2	3.6	6.1	2.5
111	Iris-virginica	6.5	3.2	5.1	2
112	Iris-virginica	6.4	2.7	5.3	1.9
113	Iris-virginica	6.8	3	5.5	2.1
114	Iris-virginica	5.7	2.5	5	2
115	Iris-virginica	5.8	2.8	5.1	2.4
116	Iris-virginica	6.4	3.2	5.3	2.3
117	Iris-virginica	6.5	3	5.5	1.8
118	Iris-virginica	7.7	3.8	6.7	2.2
119	Iris-virginica	7.7	2.6	6.9	2.3
120	Iris-virginica	6	2.2	5	1.5
121	Iris-virginica	6.9	3.2	5.7	2.3
122	Iris-virginica	5.6	2.8	4.9	2
123	Iris-virginica	7.7	2.8	6.7	2
124	Iris-virginica	6.3	2.7	4.9	1.8
125	Iris-virginica	6.7	3.3	5.7	2.1
126	Iris-virginica	7.2	3.2	6	1.8
127	Iris-virginica	6.2	2.8	4.8	1.8
128	Iris-virginica	6.1	3	4.9	1.8
129	Iris-virginica	6.4	2.8	5.6	2.1
130	Iris-virginica	7.2	3	5.8	1.6
131	Iris-virginica	7.4	2.8	6.1	1.9
132	Iris-virginica	7.9	3.8	6.4	2
133	Iris-virginica	6.4	2.8	5.6	2.2
134	Iris-virginica	6.3	2.8	5.1	1.5
135	Iris-virginica	6.1	2.6	5.6	1.4
136	Iris-virginica	7.7	3	6.1	2.3
137	Iris-virginica	6.3	3.4	5.6	2.4
138	Iris-virginica	6.4	3.1	5.5	1.8
139	Iris-virginica	6	3	4.8	1.8
140	Iris-virginica	6.9	3.1	5.4	2.1
141	Iris-virginica	6.7	3.1	5.6	2.4
142	Iris-virginica	6.9	3.1	5.1	2.3
143	Iris-virginica	5.8	2.7	5.1	1.9
144	Iris-virginica	6.8	3.2	5.9	2.3
145	Iris-virginica	6.7	3.3	5.7	2.5
146	Iris-virginica	6.7	3	5.2	2.3
147	Iris-virginica	6.3	2.5	5	1.9
148	Iris-virginica	6.5	3	5.2	2
149	Iris-virginica	6.2	3.4	5.4	2.3
150	Iris-virginica	5.9	3	5.1	1.8
