Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Fauna Date,Raw Date,Host
A/chicken/Guangdong/SC092/2013,Epi1090269,2013-08-12,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.61,2018.22,2013-08-12,Chicken
A/chicken/Guangdong/SC086/2013,Epi1090261,2013-08-12,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.61,2018.22,2013-08-12,Chicken
A/Guangdong/1/2013,Epi476697,2013-08-10,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.61,2018.22,2013-08-10,Human
A/HuZhou/1/2013,Epi503499,2013-04-03,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.25,2018.22,2013-04-03,Human
A/Guangdong/DG-02/2013,Epi515861,2013-11-01,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2013.84,2018.22,2013-11-xx,Human
A/Guangdong/2/2013,Epi499628,2013-11-04,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.84,2018.22,2013-11-04,Human
A/Chicken/Dongguan/3438,Epi581703,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken
A/Guangdong/YJ-05/2013,Epi515885,2013-12-01,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2013.96,2018.22,2013-12-xx,Human
A/Guangdong/5/2013,Epi506233,2013-12-17,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-17,Human
A/Chicken/Dongguan/3418,Epi581692,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken
A/Silkiechicken/Dongguan/3525,Epi581750,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken
A/Chicken/Dongguan/3487,Epi581717,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken
A/Silkiechicken/Dongguan/3528,Epi581762,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken
A/Environmental/Guangdong/30,Epi627960,2013-12-16,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2013.96,2018.22,2013-12-16,Environment
A/Guangdong/YJ-04/2013,Epi515877,2013-12-01,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2013.95,2018.22,2013-12-xx,Human
A/Guangdong/24999/2013,Epi628512,2013-12-16,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2013.96,2018.22,2013-12-16,Human
A/Guangdong/4/2013,Epi506225,2013-12-16,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-16,Human
A/Guangdong/36/2014,Epi628464,2014-01-13,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.03,2018.22,2014-01-13,Human
A/GD-19/2014/H7N9/2014-01-07,Epi655902,2014-01-07,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.02,2018.22,2014-01-07,Human
A/Guangdong/19/2014,Epi628104,2014-01-08,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.02,2018.22,2014-01-08,Human
A/Guangdong/2620/2014,Epi628504,2014-01-08,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.02,2018.22,2014-01-08,Human
A/GD-36/2014/H7N9/2014-01-12,Epi655958,2014-01-12,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.03,2018.22,2014-01-12,Human
A/GD-34/2014/H7N9/2014-01-12,Epi655950,2014-01-12,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.03,2018.22,2014-01-12,Human
A/GD-33/2014/H7N9/2014-01-12,Epi655942,2014-01-12,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.03,2018.22,2014-01-12,Human
A/Guangdong/34/2014,Epi628456,2014-01-13,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.03,2018.22,2014-01-13,Human
A/Guangdong/33/2014,Epi628480,2014-01-13,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.03,2018.22,2014-01-13,Human
A/environment/Shenzhen/1/2013,Epi499644,2013-10-01,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.75,2018.22,2013-10-xx,Environment
A/Shenzhen/SP44/2014,Epi583270,2014-01-23,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.06,2018.22,2014-01-23,Human
A/HongKong/470129/2013,Epi509507,2013-11-30,unknown,Hong Kong,Hong Kong,Other Database Import,unknown,unknown,unknown,2013.91,2018.22,2013-11-30,Human
A/HongKong/5942/2013,Epi490882,2013-11-30,unknown,Hong Kong,Hong Kong,Hong Kong Department Of Health,unknown,unknown,unknown,2013.91,2018.22,2013-11-30,Human
A/Silkiechicken/Shenzhen/2139,Epi581582,2013-12-13,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.95,2018.22,2013-12-13,Chicken
A/Silkiechicken/Shenzhen/2134,Epi581576,2013-12-13,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.95,2018.22,2013-12-13,Chicken
A/Guangdong/3/2013,Epi506218,2013-12-15,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.95,2018.22,2013-12-15,Human
A/Guangdong/DG-03/2013,Epi515869,2013-12-01,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2013.95,2018.22,2013-12-xx,Human
A/Chicken/Shenzhen/2110,Epi577959,2013-12-13,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.95,2018.22,2013-12-13,Chicken
A/Chicken/Shenzhen/3780,Epi581858,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken
A/chicken/Shenzhen/742/2013,Epi577904,2013-12-10,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.94,2018.22,2013-12-10,Chicken
A/chicken/Shenzhen/749/2013,Epi577918,2013-12-10,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.94,2018.22,2013-12-10,Chicken
A/GD-46/2014/H7N9/2014-01-16,Epi655982,2014-01-16,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.04,2018.22,2014-01-16,Human
A/Guangdong/46/2014,Epi627936,2014-01-17,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.04,2018.22,2014-01-17,Human
A/GD-110/2014/H7N9/2014-02-13,Epi656116,2014-02-13,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.12,2018.22,2014-02-13,Human
A/Shenzhen/SP16/2014,Epi583256,2014-01-18,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.05,2018.22,2014-01-18,Human
A/Shenzhen/SP38/2014,Epi583263,2014-01-22,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.06,2018.22,2014-01-22,Human
A/Shenzhen/SP58/2014,Epi578158,2014-01-25,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.07,2018.22,2014-01-25,Human
A/Guangdong/24997/2013,Epi628520,2013-11-30,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2013.91,2018.22,2013-11-30,Human
A/Shenzhen/SP60/2014,Epi577994,2014-01-30,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.08,2018.22,2014-01-30,Human
A/silkiechicken/Shenzhen/919/2013,Epi577938,2013-12-09,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.94,2018.22,2013-12-09,Chicken
A/silkiechicken/Shenzhen/918/2013,Epi577932,2013-12-09,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.94,2018.22,2013-12-09,Chicken
A/Silkiechicken/Shenzhen/3782,Epi581873,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken
A/Chicken/Shenzhen/3734,Epi581851,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken
A/GD-48/2014/H7N9/2014-01-19,Epi655990,2014-01-19,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.05,2018.22,2014-01-19,Human
A/Guangdong/48/2014,Epi628008,2014-01-20,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.05,2018.22,2014-01-20,Human
A/Shenzhen/SP17/2014,Epi583235,2014-01-20,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.05,2018.22,2014-01-20,Human
A/Shenzhen/SP4/2014,Epi583228,2014-01-16,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.04,2018.22,2014-01-16,Human
