x,y1,y2
2006-06-06,100,100
2006-07-07,99.5559176,
2006-08-27,97.62729523,
2006-11-13,98.8185772,
2006-12-30,100.3056344,
2007-03-07,99.41725985,
2007-05-09,102.2415987,
2007-06-04,104.6189184,106
2007-07-10,104.4718699,
2007-08-05,104.1758849,
2007-09-05,105.3652789,
2007-11-01,105.8131372,
2008-01-04,109.6770946,
2008-02-04,110.4209378,
2008-03-09,105.8183814,
2008-04-20,106.4141273,
2008-07-05,102.5558337,110
2008-08-05,102.5570923,
2008-09-04,100.9246647,
2008-10-04,97.36151705,
2008-11-03,94.98650482,
2008-12-05,97.66106815,
2009-01-05,99.14749605,
2009-02-05,98.10913617,
2009-04-03,99.44809599,
2009-04-30,103.162068,
2009-07-03,107.4715762,113
2009-08-13,107.1762205,
2009-10-04,109.5545891,
2009-11-09,108.6649559,
2009-12-11,110.7454515,
2010-02-27,112.827835,
2010-04-10,114.7602333,
2010-05-10,111.9396702,
2010-07-06,112.5360454,113
2010-09-01,112.389836,
2010-10-17,112.09469,
2010-11-07,114.1747661,
2010-12-18,114.0279273,
2011-01-08,112.9891479,
2011-02-03,114.623883,
2011-03-05,112.2488707,
2011-04-16,112.8446166,
2011-06-11,111.6587887,114
2011-07-02,111.9566616,
2011-09-06,109.5831177,
2011-10-12,109.7331031,
2011-11-22,108.5466458,
2012-03-06,113.006349,
2012-06-06,112.2675402,114.5
2012-07-13,114.7937964,
2012-09-09,117.7664424,
2012-11-10,118.2145105,
2013-01-12,120.8903324,
2013-02-12,121.7826926,
2013-03-10,121.7837415,
2013-04-06,123.7155104,
2013-05-12,123.7169788,
2013-06-11,122.5301019,114.75
2013-08-07,122.9779602,
2013-09-28,124.1681933,
2013-11-09,124.7639392,
2013-12-10,126.6959179,
2014-01-31,126.4009817,
2014-03-14,127.5907953,
2014-06-09,126.5547429,114.75
2014-07-10,127.7441369,
2014-08-09,125.6661586,
2014-09-10,127.7466542,
2014-10-05,124.0347798,
2014-11-09,122.9966297,
2014-12-10,122.8493714,
2015-01-09,119.5832576,
2015-02-05,121.3665096,
2015-03-12,119.8828087,
2015-05-08,121.3702854,
2015-06-19,121.3719636,115
2015-07-15,122.4126309,
2015-08-15,122.4138895,
2015-09-09,121.3753199,
2015-11-11,122.7144895,
2016-01-11,120.9348036,
2016-02-05,118.5595816,
2016-03-13,120.0462193,
2016-05-09,121.0881452,
2016-06-08,119.0101668,115.25
2016-08-05,121.9828129,
2016-10-06,122.7279147,
2016-11-11,122.5808662,
2016-12-18,123.918987,
2017-03-10,124.516411,115.5
