City,Month,AvgTemperature
Amsterdam,1,1.913978494623656
Amsterdam,2,4.930555555555555
Amsterdam,3,8.679211469534055
Amsterdam,4,8.809259259259257
Amsterdam,5,14.860215053763437
Amsterdam,6,18.014814814814805
Amsterdam,7,17.996415770609318
Amsterdam,8,17.562724014336915
Amsterdam,9,14.311111111111106
Amsterdam,10,13.600358422939061
Amsterdam,11,7.764814814814814
Amsterdam,12,5.157706093189967
Auckland,1,18.7921146953405
Auckland,2,20.117063492063487
Auckland,3,19.256272401433687
Auckland,4,17.34074074074074
Auckland,5,13.679211469534055
Auckland,6,12.190740740740733
Auckland,7,11.073476702508962
Auckland,8,12.508960573476703
Auckland,9,13.490740740740744
Auckland,10,15.050179211469532
Auckland,11,16.729629629629628
Auckland,12,20.21505376344086
Austin,1,13.082437275985662
Austin,2,17.345238095238102
Austin,3,19.19713261648746
Austin,4,21.472222222222218
Austin,5,24.075268817204297
Austin,6,27.987037037037027
Austin,7,30.157706093189955
Austin,8,28.765232974910386
Austin,9,25.40185185185185
Austin,10,20.103942652329742
Austin,11,17.183333333333344
Austin,12,10.367383512544809
Barcelona,1,8.17562724014337
Barcelona,2,11.942460317460318
Barcelona,3,13.161290322580644
Barcelona,4,14.36851851851852
Barcelona,5,18.8978494623656
Barcelona,6,24.035185185185185
Barcelona,7,25.232974910394272
Barcelona,8,25.603942652329735
Barcelona,9,21.164814814814815
Barcelona,10,19.3010752688172
Barcelona,11,12.109259259259263
Barcelona,12,9.078853046594979
Beijing,1,-2.148745519713261
Beijing,2,2.0099206349206336
Beijing,3,8.553763440860212
Beijing,4,17.170370370370367
Beijing,5,23.17921146953404
Beijing,6,25.444444444444443
Beijing,7,27.17741935483871
Beijing,8,25.70609318996416
Beijing,9,21.75555555555556
Beijing,10,12.317204301075273
Beijing,11,3.1611111111111136
Beijing,12,-1.279569892473117
Boston,1,1.9068100358422966
Boston,2,2.361111111111107
Boston,3,1.2598566308243757
Boston,4,10.611111111111107
Boston,5,13.25089605734767
Boston,6,20.52037037037037
Boston,7,22.195340501792124
Boston,8,21.881720430107535
Boston,9,19.227777777777778
Boston,10,16.114695340501793
Boston,11,6.618518518518522
Boston,12,-0.7275985663082432
Brisbane,1,26.089605734767026
Brisbane,2,26.277777777777768
Brisbane,3,25.03763440860215
Brisbane,4,20.361111111111114
Brisbane,5,18.869175627240136
Brisbane,6,16.757407407407403
Brisbane,7,15.424731182795695
Brisbane,8,16.865591397849446
Brisbane,9,19.88888888888888
Brisbane,10,21.722222222222218
Brisbane,11,21.777777777777786
Brisbane,12,24.808243727598565
Brussels,1,1.2724014336917555
Brussels,2,6.043650793650796
Brussels,3,9.31720430107527
Brussels,4,8.524074074074077
Brussels,5,14.908602150537634
Brussels,6,18.8037037037037
Brussels,7,18.469534050179206
Brussels,8,17.98207885304659
Brussels,9,13.870370370370363
Brussels,10,13.184587813620073
Brussels,11,6.738888888888894
Brussels,12,4.7060931899641565
Bucharest,1,-5.376344086021504
Bucharest,2,0.7440476190476196
Bucharest,3,9.012544802867382
Bucharest,4,10.714814814814815
Bucharest,5,16.614695340501797
Bucharest,6,22.281481481481475
Bucharest,7,23.161290322580637
Bucharest,8,24.258064516129036
Bucharest,9,19.053703703703704
Bucharest,10,11.612903225806454
Bucharest,11,6.733333333333332
Bucharest,12,3.1379928315412187
Budapest,1,-5.772401433691758
Budapest,2,2.378968253968251
Budapest,3,9.032258064516128
Budapest,4,10.52962962962964
Budapest,5,16.781362007168454
Budapest,6,21.851851851851848
Budapest,7,22.09498207885306
Budapest,8,22.88709677419355
Budapest,9,15.675925925925922
Budapest,10,10.91935483870967
Budapest,11,5.724074074074067
Budapest,12,2.1362007168458734
Buenos Aires,1,24.698924731182792
Buenos Aires,2,24.059523809523803
Buenos Aires,3,20.901433691756264
Buenos Aires,4,17.290740740740745
Buenos Aires,5,14.64336917562724
Buenos Aires,6,12.614814814814808
Buenos Aires,7,12.623655913978496
Buenos Aires,8,13.989247311827956
Buenos Aires,9,14.55740740740741
Buenos Aires,10,16.74014336917563
Buenos Aires,11,19.15925925925925
Buenos Aires,12,23.3225806451613
Chicago,1,-1.8028673835125453
Chicago,2,3.4861111111111103
Chicago,3,4.086021505376342
Chicago,4,12.000000000000004
Chicago,5,14.349462365591402
Chicago,6,22.474074074074075
Chicago,7,23.698924731182803
Chicago,8,21.799283154121863
Chicago,9,20.814814814814817
Chicago,10,14.21505376344086
