Date,Calibre Index Fund,"""Nasdaq Composite, x""","""Nasdaq Composite, y""","""MSCI EAFE Index Fund (ETF), x""",MSCI EAFE Index Fund (ETF),"""Dow Jones Industrial Average, y""","""S&amp;P 500 Index, y"""
2007-12-31,135.149994,2018-02-07,7051.97998,2008-01-02,78.22,13264.820313,1468.359985
2008-01-02,133.220001,2018-02-08,6777.160156,2008-01-03,78.35,13043.959961,1447.160034
2008-01-03,133.220001,2018-02-09,6874.490234000001,2008-01-04,76.57,13056.719727,1447.160034
2008-01-04,129.949997,2018-02-12,6981.959961,2008-01-07,76.65,12800.179688,1411.630005
2008-01-07,130.369995,2018-02-13,7013.509765999999,2008-01-08,76.22,12827.490234,1416.180054
2008-01-08,128.020004,2018-02-14,7143.620117,2008-01-09,76.77,12589.070313,1390.189941
2008-01-09,129.770004,2018-02-15,7256.430176000001,2008-01-10,76.69,12735.30957,1409.130005
2008-01-10,130.800003,2018-02-16,7239.470215,2008-01-11,75.16,12853.089844,1420.329956
2008-01-11,129.03999299999998,2018-02-20,7234.310059,2008-01-14,76.36,12606.299805,1401.02002
2008-01-14,130.440002,2018-02-21,7218.22998,2008-01-15,73.88,12778.150391,1416.25
2008-01-15,127.190002,2018-02-22,7210.089844,2008-01-16,72.39,12501.110352,1380.949951
2008-01-16,126.480003,2018-02-23,7337.390137,2008-01-17,71.3,12466.160156,1373.199951
2008-01-17,122.809998,2018-02-26,7421.459961,2008-01-18,71.71,12159.209961,1333.25
2008-01-18,122.07,2018-02-27,7330.350098000001,2008-01-22,69.71,12099.299805,1325.189941
2008-01-22,120.709999,2018-02-28,7273.009765999999,2008-01-23,69.3,11971.19043,1310.5
2008-01-23,123.300003,2018-03-01,7180.560059,2008-01-24,71.73,12270.169922,1338.599976
2008-01-24,124.540001,2018-03-02,7257.870117,2008-01-25,70.69,12378.610352,1352.069946
2008-01-25,122.57,2018-03-05,7330.709961,2008-01-28,71.48,12207.169922,1330.609985
2008-01-28,124.720001,2018-03-06,7372.009765999999,2008-01-29,71.91,12383.889648,1353.959961
2008-01-29,125.5,,,2008-01-30,71.58,12480.299805,1362.300049
2008-01-30,124.910004,,,2008-01-31,72.34,12442.830078,1355.810059
2008-01-31,127.019997,,,2008-02-01,73.55,12650.360352,1378.550049
2008-02-01,128.580002,,,2008-02-04,72.8,12743.19043,1395.420044
