Author,n (strains),publication title,journal,publication URL,strains
Nascimento et al.,1,?,,unknown,DENV4/BRAZIL/005AM/2011
Alvarado et al.,32,?,,unknown,DENV4/PHILIPPINES/BIDV3361/1956 DENV4/SPAIN/BIDV1600/1997 DENV4/PUERTO_RICO/BIDV860/1994 DENV4/PUERTO_RICO/BIDV2432/1995 DENV4/PUERTO_RICO/BIDV2434/1995 DENV4/PUERTO_RICO/BIDV2433/1995 DENV4/PUERTO_RICO/BIDV2448/1999 DENV4/PUERTO_RICO/BIDV2442/1998 DENV4/PUERTO_RICO/BIDV2440/1996 DENV4/PUERTO_RICO/BIDV1082/1998 DENV4/PUERTO_RICO/BIDV2444/1998 DENV4/PUERTO_RICO/BIDV1083/1986 DENV4/PUERTO_RICO/BIDV2447/1999 DENV4/HONDURAS/F6/2007 DENV4/VENEZUELA/BIDV2164/1998 DENV4/SPAIN/BIDV3406/2001 DENV4/SPAIN/BIDV3407/2001 DENV4/SPAIN/BIDV3409/2001 DENV4/VENEZUELA/BIDV2163/1998 DENV4/VENEZUELA/BIDV2172/1999 DENV4/VENEZUELA/BIDV2166/1998 DENV4/VENEZUELA/BIDV2177/2000 DENV4/VENEZUELA/BIDV2173/1999 DENV4/VENEZUELA/BIDV2170/1999 DENV4/VENEZUELA/BIDV2194/2001 DENV4/VENEZUELA/BIDV2176/2000 DENV4/VENEZUELA/BIDV2206/2001 DENV4/SPAIN/BIDV3411/2004 DENV4/SPAIN/BIDV3410/2004 DENV4/VENEZUELA/BIDV2501/2008 DENV4/MEXICO/BIDV2607/2006 DENV4/COLOMBIA/BIDV3412/2005
Pyke et al.,1,?,,unknown,DENV4/MICRONESIA/CHUUKISLAND/2012
Holmes et al.,6,?,,unknown,DENV4/THAILAND/0017/1997 DENV4/THAILAND/0476/1997 DENV4/THAILAND/0087/1977 DENV4/THAILAND/0348/1991 DENV4/THAILAND/0485/2001 DENV4/THAILAND/0734/2000
Di et al.,1,?,,unknown,DENV4/CHINA/GUANGZHOU660/2010
Austin et al.,2,?,,unknown,DENV4/COLOMBIA/TVP376/1982 DENV4/BRAZIL/TVP986/1982
Hayati et al.,1,?,,unknown,DENV4/INDONESIA/JKTK327/2009
Chanock et al.,3,?,,unknown,DENV4/DOMINICA/814669DELTA30/1981 DENV4/USA/2ADEL30/2000 DENV4/USA/RDEL30/2000
Chouin-Carneiro et al.,2,?,,unknown,DENV4/BRAZIL/3178RJ/2012 DENV4/BRAZIL/3603RJ/2012
Ke et al.,1,?,,unknown,DENV4/CHINA/GD0166GUANDONG/2010
Girerd et al.,1,?,,unknown,DENV4/INDONESIA/S1228/1978
Anwar et al.,1,?,,unknown,DENV4/SINGAPORE/8976/1995
Abecasis et al.,13,?,,unknown,DENV4/BRAZIL/BHI3581/2011 DENV4/BRAZIL/ROR/1982 DENV4/BRAZIL/STN31/2010 DENV4/BRAZIL/BEL83791/2011 DENV4/BRAZIL/ROR7591/2010 DENV4/BRAZIL/ROR7542/2010 DENV4/BRAZIL/ROR7620/2010 DENV4/BRAZIL/ROR7357/2010 DENV4/BRAZIL/ROR7363/2010 DENV4/BRAZIL/ROR7465/2010 DENV4/BRAZIL/AM5097/2011 DENV4/BRAZIL/AM5079/2011 DENV4/BRAZIL/ROR7365/2010
Afzal et al.,3,?,,unknown,DENV4/PAKISTAN/I5/2014 DENV4/PAKISTAN/I4/2014 DENV4/PAKISTAN/I1/2014
Fahri et al.,1,?,,unknown,DENV4/INDONESIA/JMB006/2014
Hasebe et al.,1,?,,unknown,DENV4/SRI_LANKA/NO17SRILANKA/1978
Alava et al.,8,?,,unknown,DENV4/ECUADOR/OBS8854/2000 DENV4/VENEZUELA/1468/1997 DENV4/ECUADOR/FSE2098/2006 DENV4/PERU/FST0748/2006 DENV4/PERU/IQE7878/2008 DENV4/PERU/IQE71/2008 DENV4/VENEZUELA/24285/2004 DENV4/VENEZUELA/24082/2004
Blaney et al.,2,?,,unknown,DENV4/THAILAND/D85052/1985 DENV4/DOMINICA/AF375822/1981
Araujo et al.,5,?,,unknown,DENV4/BRAZIL/SJRP614/2013 DENV4/BRAZIL/SJRP556/2012 DENV4/BRAZIL/SJRP610/2013 DENV4/BRAZIL/SJRP850/2013 DENV4/BRAZIL/SJRP580/2012
Anders et al.,2,?,,unknown,DENV4/VIETNAM/13DX3779/2012 DENV4/VIETNAM/13DX3741/2012
Colon et al.,6,?,,unknown,DENV4/MICRONESIA/MCDB043/1995 DENV4/COLOMBIA/CIDB039/2006 DENV4/MEXICO/DB042/2006 DENV4/DOMINICAN_REPUBLIC/DRDB040/1997 DENV4/TRINIDAD_AND_TOBAGO/TRDB046/2000 DENV4/VENEZUELA/DB038/2001
