Feature,Description
annual_inc,The self-reported annual income provided by the borrower during registration.
application_type,Indicates whether the loan is an individual application or a joint application with two co-borrowers
delinq_2yrs,The number of 30+ days past-due incidences of delinquency in the borrower's credit file for the past 2 years
dti,A ratio calculated using the borrower’s total monthly debt payments on the total debt obligations  excluding mortgage and the requested LC loan  divided by the borrower’s self-reported monthly income.
emp_length,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years. 
funded_amnt,The total amount committed to that loan at that point in time.
funded_amnt_inv,The total amount committed by investors for that loan at that point in time.
grade,LC assigned loan grade
home_ownership,The home ownership status provided by the borrower during registration or obtained from the credit report. Our values are: RENT  OWN  MORTGAGE  OTHER
initial_list_status,The initial listing status of the loan. Possible values are – W  F
inq_last_6mths,The number of inquiries in past 6 months (excluding auto and mortgage inquiries)
installment,The monthly payment owed by the borrower if the loan originates.
int_rate,Interest Rate on the loan
loan_amnt,The listed amount of the loan applied for by the borrower. If at some point in time  the credit department reduces the loan amount  then it will be reflected in this value.
loan_status,Current status of the loan
open_acc,The number of open credit lines in the borrower's credit file.
out_prncp,Remaining outstanding principal for total amount funded
out_prncp_inv,Remaining outstanding principal for portion of total amount funded by investors
policy_code,publicly available policy_code=1 new products not publicly available policy_code=2
pub_rec,Number of derogatory public records
purpose,A category provided by the borrower for the loan request. 
pymnt_plan,Indicates if a payment plan has been put in place for the loan
revol_bal,Total credit revolving balance
revol_util,Revolving line utilization rate  or the amount of credit the borrower is using relative to all available revolving credit.
term,The number of payments on the loan. Values are in months and can be either 36 or 60.
total_acc,The total number of credit lines currently in the borrower's credit file
total_pymnt,Payments received to date for total amount funded
total_pymnt_inv,Payments received to date for portion of total amount funded by investors
verification_status,Indicates if income was verified by LC  not verified  or if the income source was verified
