DRG Definition,Provider State, Total Discharges ,Average Covered Charges,Average Total Payments,Average Medicare Payments
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,AL,14,"$962,498.36 ","$284,914.79 ","$148,511.00 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,CO,17,"$1,153,214.53 ","$263,056.94 ","$204,396.41 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,IA,17,"$758,456.82 ","$205,891.47 ","$201,847.06 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MD,20,"$335,844.25 ","$309,431.50 ","$306,840.80 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,OR,20,"$510,127.25 ","$252,960.50 ","$241,896.90 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,UT,22,"$558,364.50 ","$230,003.36 ","$198,987.77 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,WI,23,"$612,182.13 ","$231,920.48 ","$169,567.13 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,SC,24,"$815,351.00 ","$209,670.08 ","$197,363.38 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,DC,31,"$859,521.77 ","$220,607.68 ","$209,261.97 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,CT,32,"$772,939.25 ","$237,241.13 ","$227,239.88 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,AR,34,"$718,192.21 ","$180,593.47 ","$146,455.62 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,OK,34,"$736,870.47 ","$168,822.91 ","$160,168.44 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,AZ,38,"$576,716.66 ","$217,138.26 ","$180,847.18 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,KY,39,"$768,428.74 ","$217,295.85 ","$191,594.85 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,NJ,45,"$988,326.71 ","$241,057.18 ","$209,859.29 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,GA,48,"$683,211.73 ","$202,260.94 ","$186,297.21 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,IN,51,"$891,786.84 ","$209,215.22 ","$182,900.02 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,TN,53,"$842,555.40 ","$201,722.02 ","$193,664.55 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,NE,54,"$766,459.28 ","$236,613.15 ","$188,979.70 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,WA,58,"$851,506.12 ","$307,593.33 ","$251,296.95 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,OH,59,"$858,566.17 ","$236,306.97 ","$201,217.12 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MI,71,"$743,991.32 ","$274,400.90 ","$233,328.56 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,VA,76,"$905,113.25 ","$276,849.57 ","$211,077.39 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MO,80,"$702,176.30 ","$207,045.66 ","$203,939.59 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MA,86,"$745,459.56 ","$284,719.90 ","$272,276.34 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MN,99,"$736,938.90 ","$275,309.91 ","$209,268.96 "
