fm_code,sort_code,Era_Name,Coal Basin,fm_name,comments
0,0,Unknown or unassigned, ,Unknown or unassigned                                                                                                                                                                                                                                          ,
100CNZN,1000100,Cenozoic, ,Cenozoic Era                                                                                                                                                                                                                                                   ,
110QTRN,1100100,Holocene, ,Quaternary System                                                                                                                                                                                                                                              ,
111AMOT,1110000,Holocene, ,Alluvium along Miss. R. & Ohio R.                                                                                                                                                                                                                              ,
111ALVM,1110100,Holocene, ,Alluvium                                                                                                                                                                                                                                                       ,MODERN ALLUVIUM                                             
111ALVMG,1110100,Holocene, ,Quaternary gravels                                                                                                                                                                                                                                             ,EQUIVALENT TO IOLA GRAVELLY LOAM SOIL                       
111CLVM,1110100,Holocene, ,Colluvium                                                                                                                                                                                                                                                      ,LANDSLIDE DEPOSITS AND OTHERS (GRAVITY DRIVEN REGOLITH)     
111FILL,1110100,Holocene, ,Artificial Fill                                                                                                                                                                                                                                                ,MISCELLANEOUS ARTIFICIAL FILL MATERIAL                      
111LDSL,1110100,Holocene, ,Landslide deposits                                                                                                                                                                                                                                             ,
111SAND,1110100,Holocene, ,Sand                                                                                                                                                                                                                                                           ,
111SLSD,1110100,Holocene, ,Silt and sand                                                                                                                                                                                                                                                  ,
112ORLT,1120000,Holocene, ,"Ohio River Deposits, Lower Terrace                                                                                                                                                                                                                             ",
112ORUT,1120000,Holocene, ,"Ohio River Deposits, Upper Terrace                                                                                                                                                                                                                             ",
112TRRC,1120000,Holocene, ,Terrace Deposits                                                                                                                                                                                                                                               ,
112PLSC,1120100,Holocene, ,Pleistocene Series                                                                                                                                                                                                                                             ,
112GCDPW,1120120,Holocene, ,Glacial deposits (Wisconsinan)                                                                                                                                                                                                                                 ,
112LAKEW,1120120,Holocene, ,Lake deposits (Wisconsinan)                                                                                                                                                                                                                                    ,
112OTSHW,1120120,Holocene, ,Glacial outwash (Wisconsinan)                                                                                                                                                                                                                                  ,
112GCDPI,1120140,Holocene, ,Glacial deposits (Illinoian)                                                                                                                                                                                                                                   ,
112LAKEI,1120140,Holocene, ,Lake deposits (Illinoian)                                                                                                                                                                                                                                      ,
112OTSHI,1120140,Holocene, ,Glacial outwash (Illinoian)                                                                                                                                                                                                                                    ,
112GCDP,1120160,Holocene, ,Glacial deposits                                                                                                                                                                                                                                               ,USUALLY PRE-ILLINOIAN                                       
112LAFL,1120160,Holocene, ,Quaternary/Tertiary lake & fluvial                                                                                                                                                                                                                             ,FALMOUTH AREA                                               
112LAKE,1120160,Holocene, ,Lake deposits                                                                                                                                                                                                                                                  ,USUALLY PRE-ILLINOIAN                                       
112OTSH,1120160,Holocene, ,Outwash                                                                                                                                                                                                                                                        ,USUALLY PRE-ILLINOIAN                                       
