Eastern Kentucky Gas Production Data Set,,,,,,,,,
,,,,,,,,,
"These data were collected circa 1985 by the BDM Corporation of McLean, Virginia, under contract to the Gas Research Institute (now Gas Technology Institute, GTI), Chicago, Illinois, and include historic natural gas production by year for Devonian shale wells in eastern Kentucky. For this data set, 1984 is the most recent year available. More recent production data by well begin in 1997 with the public release of data under 805 KAR 1:180 and are available from either the KGS oil and gas well record search pages (http://kgs.uky.edu/kgsweb/DataSearching/OilGas/OGSearch.asp) or from the Kentucky Division of Oil and Gas (oilandgas.ky.gov). The historic data were made available to the Kentucky Geological Survey, University of Kentucky, a GRI contractor and served as the basis for the production data analyses appearing in the GRI contract reports published from 1986 to 1988. Staff of the Kentucky Geological Survey have identified the data and associated it with wells in the KGS online data base based on the best information available. Using that identification, production data have been associated with specific wells and completion intervals within those wells.",,,,,,,,,
,,,,,,,,,
"Frankie, W.T., Moody, J.R., and Kemper, J.R., 1986, Geologic and hydrocarbon report of Letcher County: Part 1 of 5, Hydrocarbon production from the Devonian Shale in Letcher, Knott, Floyd, Martin, and Pike Counties, eastern Kentucky: Lexington, Kentucky, Kentucky Geological Survey, Gas Research Institute contract report, contract 5084-213-0990, 59 p.",,,,,,,,,
,,,,,,,,,
"Frankie, W.T., Moody, J.R., Kemper, J.R., and Johnston, I.M., 1986, Geologic and hydrocarbon report of Knott County: Part 2 of 5, Hydrocarbon production from the Devonian Shale in Letcher, Knott, Floyd, Martin, and Pike Counties, eastern Kentucky: Lexington, Kentucky, Kentucky Geological Survey, Gas Research Institute contract report, contract 5084-213-0990, 94 p.",,,,,,,,,
,,,,,,,,,
"Frankie, W.T., Moody, J.R., Kemper, J.R., and Johnston, I.M., 1986, Geologic and hydrocarbon report of Floyd County: Part 3 of 5, Hydrocarbon production from the Devonian Shale in Letcher, Knott, Floyd, Martin, and Pike Counties, eastern Kentucky: Lexington, Kentucky, Kentucky Geological Survey, Gas Research Institute contract report, contract 5084-213-0990, 52 p.",,,,,,,,,
,,,,,,,,,
"Moody, J.R., Kemper, J.R., Johnston, I.M., and Elkin, R.R., 1987, Geologic and hydrocarbon report of Pike County: Part 5 of 5, Hydrocarbon production from the Devonian Shale in Letcher, Knott, Floyd, Martin, and Pike Counties, eastern Kentucky: Lexington, Kentucky, Kentucky Geological Survey, Gas Research Institute contract report, contract 5084-213-0990, 51 p.",,,,,,,,,
,,,,,,,,,
"Moody, J.R., Kemper, J.R., Johnston, I.M., and Elkin, R.R., 1987, The geology and the drilling and production history of the Upper Devonian Shale of Whitley, Knox, Bell, and Harlan Counties, southeastern Kentucky: Lexington, Kentucky, Kentucky Geological Survey, Gas Research Institute contract report, contract 5084-213-0990, 30 p.",,,,,,,,,
,,,,,,,,,
"Moody, J.R., Kemper, J.R., Johnston, I.M., Elkin, R.R., and Smath, R.A., 1988, The geology and the drilling and production history of the Upper Devonian Shale of Breathitt, Clay, Johnson, Leslie, Magoffin, Perry, and Wolfe Counties, east-central Kentucky: Lexington, Kentucky, Kentucky Geological Survey, Gas Research Institute contract report, contract 5084-213-0990, 50 p.",,,,,,,,,
,,,,,,,,,
"Moody, J.R., Kemper, J.R., Johnston, I.M., Elkin, R.R., Smath, R.A., and Frankie, W.T., 1988, The geology and the drilling and production history of the Upper Devonian Shale of Boyd, Carter, Elliott, Greenup, Lawrence, Lewis, Menifee, Morgan, and Rowan Counties, north-eastern Kentucky: Lexington, Kentucky, Kentucky Geological Survey, Gas Research Institute contract report, contract 5084-213-0990, 37 p.",,,,,,,,,
,,,,,,,,,
"Moody, J.R., Kemper, J.R., Johnston, I.M., Frankie, W.T., and Elkin, R.R., 1987, Geologic and hydrocarbon report of Martin County: Part 4 of 5, Hydrocarbon production from the Devonian Shale in Letcher, Knott, Floyd, Martin, and Pike Counties, eastern Kentucky: Lexington, Kentucky, Kentucky Geological Survey, Gas Research Institute contract report, contract 5084-213-0990, 50 p.",,,,,,,,,
,,,,,,,,,
These data are distributed as is with no warranty either expressed or implied as to the accuracy of the ,,,,,,,,,
production data or the identification of the wells. Users assume all liability for use of this data.,,,,,,,,,
,,,,,,,,,
This workbook was compiled and has been maintained by:,,,,,,,,,
,Brandon C. Nuttall,,,,,,,,
,Kentucky Geological Survey,,,,,,,,
,228 MMRB,,,,,,,,
,University of Kentucky,,,,,,,,
,"Lexington, KY 40506-0107",,,,,,,,
,(859) 323-0544,,,,,,,,
,bnuttall@uky.edu,,,,,,,,
,www.uky.edu/kgs,,,,,,,,
,,,,,,,,,
Well_ID sheet (basic well header and location info),,,,,,,,,
RecordNumber,KGS serial well record identifier,,,,,,,,
API_Number,API number assigned by the Division of Oil and Gas (not available for all wells),,,,,,,,
permit,Permit assigned by the Division of Oil and Gas (not available for all wells),,,,,,,,
nlat83,"North latitude, decimal degrees, NAD83",,,,,,,,
wlon83,"West longitude, decimal degrees, NAD83",,,,,,,,
elev,Surface elevation in feet above mean sea level,,,,,,,,
op,Original operator,,,,,,,,
well,Well number assigned by original operator,,,,,,,,
farm,Farm or lease name (mineral tract owner),,,,,,,,
cmpl,Completion date,,,,,,,,
TD,Total depth of well in feet,,,,,,,,
tdfm,AAPG/CSD code for formation penetrated at the total depth,,,,,,,,
result,Type of completion (usually GAS),,,,,,,,
current_op,Name of current operator if known,,,,,,,,
,,,,,,,,,
Notes:,,,,,,,,,
Wells in this table have been identified on the basis of the best information available. Some,,,,,,,,,
wells have multiple entries indicating deepenings and recompletions. There are a few wells,,,,,,,,,
that are indicated as TRM (a permit was allowed to expire or was cancelled) or D&A (original,,,,,,,,,
completion as a dry hole and subsequently abandoned) where it can only be presumed that a,,,,,,,,,
later operation drilled or re-entered and re-completed the well and no record of that,,,,,,,,,
operation exists.,,,,,,,,,
,,,,,,,,,
Completions sheet (completion interval data),,,,,,,,,
RecordNumber,KGS serial well record identifier (foreign key to Well_ID),,,,,,,,
quant,Numerical quantity of initial potential (oil) or initial open flow (gas) reported,,,,,,,,
unit,Units:,,,,,,,,
,BOPD -- barrels of oil per day (IP),,,,,,,,
,MCFGPD -- thousand cubic feet of gas per day (IOF),,,,,,,,
,MMCF -- million cubic feet of gas per day (IOF),,,,,,,,
pay_top,"Drilling depth to top of completion interval (""pay"")",,,,,,,,
btm,Drilling depth to base of completion interval,,,,,,,,
pay,AAPG/CSD code for completed formation,,,,,,,,
Remark,Freeform text field for miscellaneous remarks,,,,,,,,
,,,,,,,,,
Commingled sheet (initial open flow data for wells with multiple completion zones),,,,,,,,,
RecordNumber,KGS serial well record identifier (foreign key to Well_ID),,,,,,,,
GasMCFGPD,Gas IOF in thousand cubic feet of gas per day (MCFGPD),,,,,,,,
OilBOPD,Oil IP in barrels of oil per day (BOPD),,,,,,,,
remarks,Miscellaneous remarks,,,,,,,,
,,,,,,,,,
Note:,,,,,,,,,
"Remarks were originally recorded in a free text field, the GasMCFGPD and OilBPD info",,,,,,,,,
were parsed from this comments field.,,,,,,,,,
,,,,,,,,,
YearlyProduction sheet (production history data),,,,,,,,,
ID,Serial data record identifier,,,,,,,,
RecordNumber,KGS serial well record identifier (foreign key to Well_ID),,,,,,,,
Produces,Type of production reported (usually GAS),,,,,,,,
Year,Year of record for reported production,,,,,,,,
DaysOnLine,Reported number of days on line,,,,,,,,
VolumeMCF,Volume of produced gas in thousand cubic feet (Mcf),,,,,,,,
Time,"Serial numbering of reported production data periods (1st year=1, etc)",,,,,,,,
,,,,,,,,,
FmCodes sheet (AAPG/CSD formation code translation table),,,,,,,,,
fm_code,3-digit prefix with up to 5-character mnemonic formation code,,,,,,,,
sort_code,3-digit prefix combined with a 4-digit modifier for increased stratigraphic resolution,,,,,,,,
Era_Name,Geologic era or system (indicated by the 3-digit prefix),,,,,,,,
Coal Basin,For codes in the Pennsylvanian indicates western (WKY) or eastern (EKY) coal field,,,,,,,,
fm_name,Translated name of formation,,,,,,,,
comments,Freeform text comments often indicating usage or source of formation name,,,,,,,,
