,ngram,company,value
0,credit_report,Total,7036
1,credit_card,Total,3577
2,make_payment,Total,2227
3,customer_service,Total,1585
4,credit_reporting,Total,1430
5,call_back,Total,1390
6,phone_call,Total,1390
7,collection_agency,Total,1386
8,credit_bureaus,Total,1345
9,credit_score,Total,1305
10,30_day,Total,1270
11,student_loan,Total,1260
12,report_credit,Total,1206
13,interest_rate,Total,1192
14,receive_letter,Total,1065
15,loan_modification,Total,1051
16,late_payment,Total,1050
17,late_fee,Total,1045
18,even_though,Total,1017
19,would_like,Total,1006
20,send_letter,Total,999
21,never_receive,Total,960
22,monthly_payment,Total,949
23,reporting_agency,Total,884
24,identity_theft,Total,867
25,phone_number,Total,859
26,pay_full,Total,850
27,tell_would,Total,836
28,file_complaint,Total,831
29,past_due,Total,824
30,payment_make,Total,823
31,credit_bureau,Total,801
32,remove_credit,Total,794
33,social_security,Total,773
34,mortgage_payment,Total,763
35,please_help,Total,759
36,several_time,Total,749
37,credit_file,Total,749
38,year_ago,Total,736
39,say_would,Total,727
40,debt_collection,Total,709
41,mortgage_company,Total,701
42,debt_collector,Total,695
43,collect_debt,Total,661
44,receive_call,Total,607
45,try_get,Total,594
46,short_sale,Total,569
47,information_credit,Total,569
48,day_late,Total,545
49,us_bank,Total,540
50,credit_report,"EQUIFAX, INC.",827
51,credit_card,"EQUIFAX, INC.",112
52,make_payment,"EQUIFAX, INC.",19
53,customer_service,"EQUIFAX, INC.",29
54,credit_reporting,"EQUIFAX, INC.",204
55,call_back,"EQUIFAX, INC.",7
56,phone_call,"EQUIFAX, INC.",33
57,collection_agency,"EQUIFAX, INC.",55
58,credit_bureaus,"EQUIFAX, INC.",154
59,credit_score,"EQUIFAX, INC.",136
60,30_day,"EQUIFAX, INC.",97
61,student_loan,"EQUIFAX, INC.",45
62,report_credit,"EQUIFAX, INC.",145
63,interest_rate,"EQUIFAX, INC.",18
64,receive_letter,"EQUIFAX, INC.",35
65,loan_modification,"EQUIFAX, INC.",3
66,late_payment,"EQUIFAX, INC.",52
67,late_fee,"EQUIFAX, INC.",7
68,even_though,"EQUIFAX, INC.",47
69,would_like,"EQUIFAX, INC.",70
70,send_letter,"EQUIFAX, INC.",69
71,never_receive,"EQUIFAX, INC.",43
72,monthly_payment,"EQUIFAX, INC.",17
73,reporting_agency,"EQUIFAX, INC.",141
74,identity_theft,"EQUIFAX, INC.",108
75,phone_number,"EQUIFAX, INC.",39
76,pay_full,"EQUIFAX, INC.",48
77,tell_would,"EQUIFAX, INC.",16
78,file_complaint,"EQUIFAX, INC.",73
79,past_due,"EQUIFAX, INC.",38
80,payment_make,"EQUIFAX, INC.",18
81,credit_bureau,"EQUIFAX, INC.",225
82,remove_credit,"EQUIFAX, INC.",116
83,social_security,"EQUIFAX, INC.",76
84,mortgage_payment,"EQUIFAX, INC.",5
85,please_help,"EQUIFAX, INC.",40
86,several_time,"EQUIFAX, INC.",50
87,credit_file,"EQUIFAX, INC.",131
88,year_ago,"EQUIFAX, INC.",42
89,say_would,"EQUIFAX, INC.",14
90,debt_collection,"EQUIFAX, INC.",22
91,mortgage_company,"EQUIFAX, INC.",12
92,debt_collector,"EQUIFAX, INC.",16
93,collect_debt,"EQUIFAX, INC.",10
94,receive_call,"EQUIFAX, INC.",5
95,try_get,"EQUIFAX, INC.",39
96,short_sale,"EQUIFAX, INC.",4
97,information_credit,"EQUIFAX, INC.",106
98,day_late,"EQUIFAX, INC.",44
99,us_bank,"EQUIFAX, INC.",1
100,credit_report,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",655
101,credit_card,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",96
102,make_payment,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",20
103,customer_service,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",34
104,credit_reporting,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",152
105,call_back,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",12
106,phone_call,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",22
107,collection_agency,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",54
108,credit_bureaus,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",124
109,credit_score,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",118
110,30_day,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",100
111,student_loan,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",48
112,report_credit,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",116
113,interest_rate,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",9
114,receive_letter,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",31
115,loan_modification,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",3
116,late_payment,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",53
117,late_fee,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",1
118,even_though,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",20
119,would_like,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",67
120,send_letter,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",47
121,never_receive,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",25
122,monthly_payment,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",11
123,reporting_agency,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",98
124,identity_theft,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",68
125,phone_number,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",32
126,pay_full,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",39
127,tell_would,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",18
128,file_complaint,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",52
129,past_due,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",21
130,payment_make,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",15
131,credit_bureau,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",197
132,remove_credit,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",91
133,social_security,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",47
134,mortgage_payment,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",6
135,please_help,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",42
136,several_time,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",43
137,credit_file,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",93
138,year_ago,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",39
139,say_would,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",7
140,debt_collection,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",20
141,mortgage_company,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",6
142,debt_collector,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",11
143,collect_debt,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",9
