Author,n (strains),publication title,journal,publication URL,strains
national institute of hygiene,1,?,,unknown,A/Morocco/195/2017
other database import,47,?,,unknown,A/Shiraz/1009/2015 A/Chungbuk/107/2016 A/Israel/C3924/2017 A/Shiraz/1015/2015 A/PortoAlegre/LACENRS-921/2015 A/Kenya/14/2016 A/Kenya/7/2015 A/Shiraz/1002/2015 A/PortoAlegre/LACENRS-1969/2015 A/Kenya/1/2017 A/Linkou/185/2016 A/Guangdong/724/2015 A/Keelung/23/2016 A/Guangdong/580/2015 A/PortoAlegre/LACENRS-1112/2015 A/PortoAlegre/LACENRS-1155/2015 A/Canoas/LACENRS-773/2015 A/PortoAlegre/LACENRS-820/2015 A/PortoAlegre/LACENRS-1030/2015 A/NewYork/WC-LVD-15-045/2015 A/Cameroon/15V-8796/2015 A/Guangdong/12/2016 A/Guangdong/716/2015 A/Linkou/81/2016 A/Linkou/51/2016 A/Kenya/23/2016 A/Shandong-Zhifu/154/2017 A/Shandong-Zhifu/150/2017 A/Shandong-Zhifu/1159/2017 A/Shandong-Zhifu/149/2017 A/Shandong-Fushan/1157/2017 A/Shandong-Fushan/1183/2017 A/Shandong-Zhifu/162/2017 A/Shandong-Zhifu/1128/2017 A/Shandong-Zhifu/1175/2017 A/Shandong-Zhifu/1158/2017 A/Shandong-Zhifu/1125/2017 A/Linkou/61/2016 A/PortoAlegre/LACENRS-1013/2016 A/Shandong-Zhifu/1185/2016 A/Shandong-Zhifu/164/2016 A/SouthKorea/5915/2017 A/SouthKorea/5703/2016 A/Shiraz/1010/2015 A/Washington/106/2016 A/Kenya/3/2017 A/Israel/C4912/2017
ministry of health, singapore,42,?,,unknown,A/Singapore/GP0009/2017 A/Singapore/TT0096/2017 A/Singapore/KK0016/2017 A/Singapore/KK0076/2017 A/Singapore/GP2439/2017 A/Singapore/TT289/2015 A/Singapore/KK304/2015 A/Singapore/GP548/2015 A/Singapore/TT265/2015 A/Singapore/TT259/2015 A/Singapore/EN283/2015 A/Singapore/TT282/2015 A/Singapore/KK343/2015 A/Singapore/INFKK-16-0226/2016 A/Singapore/GP0138/2017 A/Singapore/KK0086/2017 A/Singapore/TT0046/2017 A/Singapore/GP0209/2017 A/Singapore/INFGP-16-0739/2016 A/Singapore/INFGP-16-0957/2016 A/Singapore/INFKK-16-0542/2016 A/Singapore/INFTT-16-0576/2016 A/Singapore/INFGP-16-1252/2016 A/Singapore/INFGP-16-1134/2016 A/Singapore/INFMOH-16-0081/2016 A/Singapore/INFMOH-16-0087/2016 A/Singapore/INFTT-16-0224/2016 A/Singapore/INFGP-16-1170/2016 A/Singapore/INFTT-16-0499/2016 A/Singapore/INFTT-16-0411/2016 A/Singapore/INFGP-16-0702/2016 A/Singapore/INFKK-16-0529/2016 A/Singapore/INFKK-16-0294/2016 A/Singapore/INFEN-16-0172/2016 A/Singapore/KK0101/2017 A/Singapore/TT0555/2017 A/Singapore/KK1366/2017 A/Singapore/GP0573/2017 A/Singapore/TT0495/2017 A/Singapore/TT0645/2017 A/Singapore/TT0439/2017 A/Singapore/MOH0087/2017
microbiology university politecnica delle marche,1,?,,unknown,A/Ancona/3/2016
who chinese national influenza center,69,?,,unknown,A/Jiangsu-Sucheng/1489/2017-egg A/Hebei-Yunhe/1101/2017 A/Shanghai-Hongkou/1792/2016 A/Guangxi-Qixin/328/2016 A/Beijing-Haidian/14/2018 A/Shanghai-Chongming/1906/2017 A/Shandong-Shibei/1759/2015 A/Jiangsu-Chongchuan/18/2016 A/Heilongjiang-Taoshan/1696/2015 A/Jiangsu-Nanchang/1792/2015 A/Anhui-Yingjiang/14135/2015 A/Henan-Jinshui/1374/2015 A/Yunnan-Linxiang/1718/2016 A/Xinjiang-Tianshan/1287/2016 A/Jiangxi-Zhushan/1680/2016 A/Hubei-Hongshan/1320/2016 A/Hubei-Jiangan/1719/2016 A/Hunan-Xiangtan/1577/2016 A/Shaanxi-Weibin/5161/2017 A/Hunan-Louxin/562/2017 A/Guangdong-Futian/1582/2016 A/Guangxi-Jinchengjiang/1996/2016 A/Hunan-Suxian/1980/2016 A/Sichuan-Wuhou/2202/2016 A/Beijing-Xicheng/12534/2016 A/Hunan-Jishou/1912/2017 A/Guangdong-Dongwanbendi/5342/2016 A/Yunnan-Wenshan/1902/2016 A/Jilin-Longshan/15/2017 A/Henan-Shihe/123/2017 A/Tianjin-Nankai/1774/2016 A/Shandong-Rencheng/112/2017 A/Jiangsu-Yandou/16/2017 A/Jiangxi-Zhushan/1869/2016 A/Neimenggu-Kundoulun/15/2017 A/Shanghai-Putuo/1623/2017 A/Henan-Jiefang/1275/2017 A/Fujian-Gulou/11611/2016 A/Fujian-Licheng/1354/2017 A/Yunnan-Hongta/1769/2017 A/Yunnan-Xianggelila/1375/2017 A/Beijing-Huairou/11323/2017 A/Sichuan-Qingyang/11804/2017 A/Jilin-Ningjiang/1299/2017 A/Beijing-Chaoyang/1551/2016 A/Yunnan-Chuxiong/11212/2015 A/Henan-Jinshui/1366/2015 A/Heilongjiang-Yichun/1567/2017 A/Heilongjiang-Yichun/1634/2016 A/Anhui-Luyang/1311/2016 A/Yunnan-Qilin/1902/2015 A/Hebei-Xinhua/1632/2015 A/Jiangxi-Yuehu/1299/2016 A/Liaoning-Lianshan/1173/2016 A/Henan-Xigong/1691/2015 A/Beijing-Xicheng/1540/2016 A/Shanghai-Pudongxin/1493/2016 A/Heilongjiang-Longsha/1274/2016 A/Gansu-Chengguan/1657/2016 A/Zhejiang-Nanxun/12/2018 A/Jilin-Chuanying/12229/2015 A/Shaanxi-Weicheng/1637/2015 A/Neimenggu-Xilinhaote/1166/2016 A/Liaoning-Xinlongtai/1374/2017 A/Guizhou-Douyun/1790/2017 A/Hubei-Xiaonan/1779/2017 A/Shanghai-Songjiang/1635/2017 A/Hubei-Maojian/11402/2017 A/Tianjin-Nankai/17/2018
microbiology services colindale, public health england,38,?,,unknown,A/England/52840541/2015 A/England/72980505/2017 A/England/73520176/2017 A/England/53820650/2015 A/England/53860135/2015 A/England/53340242/2015 A/England/72720745/2017 A/England/80780396/2018 A/England/74820686/2017 A/England/72480621/2017 A/England/80760805/2018 A/England/80480665/2018 A/England/80820627/2018 A/England/80720504/2018 A/England/80920519/2018 A/England/74680310/2017 A/England/80820610/2018 A/England/80820443/2018 A/England/80740412/2018 A/England/80760344/2018 A/England/62440429/2016 A/NorthernIreland/71880698/2017 A/England/71040516/2017 A/England/71900676/2017 A/Scotland/63440578/2016 A/Scotland/63440577/2016 A/England/62440421/2016 A/England/62440428/2016 A/England/63220305/2016 A/England/74100567/2017 A/England/72840639/2017 A/England/73160333/2017 A/England/74080447/2017 A/England/72420554/2017 A/England/73880604/2017 A/England/74660583/2017 A/England/74320426/2017 A/England/80700288/2018
who national influenza centre russian federation,18,?,,unknown,A/StPetersburg/RII99S/2016 A/Volgograd/RII745S/2016 A/Orel/RII317S/2016 A/Moscow/RII-782S/2018 A/Samara/RII-842S/2018 A/Samara/RII-844S/2018 A/Samara/RII-845S/2018 A/Samara/RII-846S/2018 A/StPetersburg/RII-334S/2017 A/StPetersburg/RII-449S/2018 A/StPetersburg/RII-378S/2018 A/StPetersburg/RII-775S/2018 A/StPetersburg/RII-774S/2018 A/StPetersburg/RII-219S/2017 A/RostovOnDon/RII150S/2016 A/StPetersburg/RII100S/2016 A/StPetersburg/RII-308S/2017 A/Moscow/2/2018
national institute of communicable diseases,5,?,,unknown,A/SouthAfrica/4742/2017 A/SouthAfrica/4559/2017 A/SouthAfrica/3533/2017 A/SouthAfrica/3389/2017 A/SouthAfrica/R7911/2017
hospital universitari vall d hebron,1,?,,unknown,A/Catalonia/NSVH100790228/2018
statens serum institute,16,?,,unknown,A/Denmark/74/2017 A/Denmark/67/2017 A/Denmark/38/2015 A/Denmark/10/2018 A/Denmark/106/2017 A/Denmark/90/2017 A/Denmark/68/2017 A/Denmark/111/2017 A/Denmark/15/2018 A/Denmark/78/2017 A/Denmark/125/2017 A/Denmark/122/2017 A/Denmark/19/2018 A/Denmark/4/2018 A/Denmark/126/2017 A/Denmark/14/2018
robert koch institute nationales referenzzentrum f?r influenza,4,?,,unknown,A/Berlin/43/2018 A/Sachsen/47/2018 A/Berlin/49/2018 A/Sachsen-Anhalt/10/2018
state research center of virology and biotechnology  vector ,1,?,,unknown,A/Kurgan/24/2016
instituto de salud carlos iii,8,?,,unknown,A/Aragon/1308/2015 A/Aragon/1307/2015 A/Aragon/1906/2018 A/Aragon/1899/2018 A/PaisVasco/1822/2018 A/Aragon/1900/2018 A/Aragon/1901/2018 A/Aragon/1907/2018
cantacuzino institute,5,?,,unknown,A/Bucharest/193605/2016 A/Romania/225758/2018-egg A/Romania/225305/2018 A/Romania/225833/2018 A/Romania/225833/2018-egg
crick worldwide influenza centre,156,?,,unknown,A/Cyprus/F16/2016 A/Moscow/137/2016 A/Bratislava/184/2016 A/Tunisia/2206/2017 A/Qatar/10-VI-17-0020012/2017 A/Oman/4940/2015 A/Oman/5357/2015 A/Cameroon/15V-7134/2015 A/Cameroon/15V-8163/2015 A/Cameroon/15V-6741/2015 A/Cameroon/15V-9237/2015 A/SouthAfrica/R3512/2015 A/Mozambique/IR803/2015 A/SouthAfrica/R2490/2015 A/SouthAfrica/R3944/2015 A/SouthAfrica/R3457/2015 A/SouthAfrica/R2825/2015 A/SouthAfrica/R1734/2015 A/SouthAfrica/R3402/2015 A/SouthAfrica/R3778/2015 A/SouthAfrica/R3720/2015 A/SouthAfrica/R3328/2016 A/SouthAfrica/R3142/2016 A/Lao/1810/2015 A/Egypt/1519/2016 A/Jordan/30124/2016 A/Jordan/20479/2016 A/SouthAfrica/R3026/2016 A/South-Africa/VW0105/2016 A/Tunisia/407/2016 A/Tunisia/1010/2016 A/Moscow/135/2016 A/Perugia/23/2016 A/Rome/29/2015 A/Dnipro/768/2016 A/Slovenia/852/2016 A/Slovenia/1172/2016 A/Parma/38/2016 A/Ghana/FS-15-0724/2015 A/Ghana/FS-16-0203/2016 A/Ghana/FS-15-0773/2015 A/CoteDIvoire/599/2016 A/CoteDIvoire/544/2016 A/SaudiArabia/192161/2016 A/Dakar/17/2016 A/Ghana/DILI-16-1024/2016 A/CoteDIvoire/695/2016 A/CoteDIvoire/595/2016 A/CoteDIvoire/651/2016 A/Cameroon/8767/2016 A/Cameroon/8230/2016 A/Cameroon/9964/2016 A/Cameroon/7282/2016 A/Cameroon/6939/2016 A/Cameroon/7289/2016 A/Cameroon/7086/2016 A/Cameroon/6284/2016 A/Cameroon/9024/2016 A/SaudiArabia/191955/2016 A/Tunisia/1437/2017 A/Tunisia/377/2017 A/Tunis/14115/2016 A/Tunisia/1591/2017 A/Tunisia/1597/2017 A/Tunisia/1935/2017 A/Fianarantsoa/2442/2017 A/Tunisia/970/2017 A/Norway/2149/2017 A/Norway/2603/2017 A/Cameroon/9507/2017 A/Cameroon/9522/2017 A/Cameroon/9423/2017 A/Algeria/25/2016 A/Ghana/832/2017 A/Tunisia/1934/2017 A/Jordan/20157/2017 A/Iceland/10301/2015 A/Temara/235/2016 A/Ghana/FS-16-0360/2016 A/Ghana/DILI-16-0135/2016 A/HongKong/11743/2015 A/Norway/2571/2015 A/England/334/2015 A/England/333/2015 A/Moscow/136/2016 A/England/929/2016 A/SaudiArabia/78603/2015 A/SaudiArabia/78572/2015 A/Oman/5287/2015 A/Oman/5009/2015 A/Fes/207/2016 A/Ankara/5082/2015 A/Oman/4926/2015 A/Oman/5011/2015 A/Konya/1926/2015 A/Oman/5422/2015 A/Konya/5151/2015 A/Hunan-Wuling/11088/2015 A/Meknes/168/2016 A/Iceland/9348/2016 A/Tajikistan/15/2016 A/Dnipro/581/2016 A/Odessa/700/2016 A/Dnipro/764/2016 A/Manjakaray/1043/2016 A/Antsirabe/2267/2016 A/HongKong/2271/2016 A/HongKong/2262/2016 A/HongKong/3091/2017 A/Cameroon/9161/2017 A/HongKong/2266/2017 A/HongKong/3070/2017 A/HongKong/3046/2017 A/HongKong/4184/2017 A/Zambia/305/2017 A/Jordan/20531/2016 A/CzechRepublic/122/2016 A/Lyon/2608/2015 A/Marrakech/58/2016 A/Temara/50/2016 A/Iceland/16457/2016 A/Iceland/16073/2016 A/Bolzano/7/2016 A/Ghana/DILI-16-0320/2016 A/SaudiArabia/192254/2016 A/HongKong/2387/2016 A/Azerbaijan/899/2016 A/SaudiArabia/192500/2016 A/SaudiArabia/191979/2016 A/SouthAfrica/R3620/2016 A/Georgia/1041/2016 A/FriuliVeneziaGiulia/14/2016 A/Bari/11/2016 A/Mayotte/2100/2016 A/Egypt/8375/2016 A/Qatar/10-VI-17-0019820/2017 A/HongKong/2279/2017 A/Norway/2629/2017 A/Latvia/4-003626/2017 A/Egypt/8619/2016 A/Tunisia/739/2017 A/Mayotte/2093/2016 A/SouthAfrica/VW0036/2016 A/Algeria/G0543/2016 A/Dnipro/583/2016 A/Qatar/47-VI-17-0020310/2017 A/Fes/123/2016 A/Algeria/85/2016 A/Dnipro/741/2016 A/Dnipro/743/2016 A/Norway/3318/2017 A/Iran/88361/2017 A/HongKong/4193/2017 A/HongKong/3084/2017 A/Tunis/12773/2017 A/Algeria/418/2018
hangzhou center for disease control and prevention,13,?,,unknown,A/Hangzhou/A682/2015 A/Hangzhou/A549/2015 A/Hangzhou/B544/2015 A/Hangzhou/A607/2015 A/Hangzhou/B385/2015 A/Hangzhou/A619/2015 A/Hangzhou/A368/2015 A/Hangzhou/A698/2015 A/Hangzhou/A615/2015 A/Hangzhou/A630/2015 A/Hangzhou/A546/2015 A/Hangzhou/A690/2015 A/Hangzhou/A639/2015
cnr des virus influenza r?gion sud france,1,?,,unknown,A/ClermontFerrand/2263/2016
