id,label,len,label_diff1,color
chrY-7,Y,26200000,q11.223,"rgb(18,224,52)"
chrX-7,X,63000000,q11.1,"rgb(158,146,16)"
chr9-7,9,65900000,q12,"rgb(106,9,87)"
chr8-7,8,27400000,p21.2,"rgb(232,215,38)"
chr7-7,7,35000000,p14.3,"rgb(208,236,199)"
chr6-7,6,63400000,q11.2,"rgb(128,74,251)"
chr5-7,5,104500000,q21.2,"rgb(124,51,218)"
chr4-7,4,78900000,q21.1,"rgb(129,152,27)"
chr3-7,3,74200000,p13,"rgb(66,25,85)"
chr22-7,22,29600000,q12.1,"rgb(9,162,234)"
chr21-7,21,68000000,p12,"rgb(21,150,83)"
chr20-7,20,49800000,q13.13,"rgb(5,125,155)"
chr2-7,2,24000000,p24.1,"rgb(176,68,194)"
chr19-7,19,16300000,p13.12,"rgb(106,112,201)"
chr18-7,18,10900000,p11.22,"rgb(152,215,221)"
chr17-7,17,44900000,q21.31,"rgb(91,247,62)"
chr16-7,16,21200000,p12.3,"rgb(21,12,16)"
chr15-7,15,30300000,q13.1,"rgb(107,207,164)"
chr14-7,14,35300000,q13.1,"rgb(24,201,118)"
chr13-7,13,104800000,q33.1,"rgb(97,202,152)"
chr12-7,12,58100000,q13.3,"rgb(15,181,62)"
chr11-7,11,36400000,p13,"rgb(63,106,223)"
chr10-7,10,29600000,p12.1,"rgb(99,35,70)"
chr1-7,1,22460000,q42.11,"rgb(84,215,87)"
chrY-8,Y,23800000,q11.223,"rgb(194,240,0)"
chrX-8,X,63800000,q11.1,"rgb(235,167,171)"
chr9-8,9,61500000,q12,"rgb(24,8,57)"
chr8-8,8,27500000,p21.2,"rgb(203,249,160)"
chr7-8,7,34900000,p14.3,"rgb(58,214,191)"
chr6-8,6,62700000,q11.2,"rgb(56,224,38)"
chr5-8,5,105100000,q21.2,"rgb(173,111,179)"
chr4-8,4,78000000,q21.1,"rgb(141,159,177)"
chr3-8,3,74100000,p13,"rgb(184,22,151)"
chr22-8,22,29200000,q12.1,"rgb(185,167,82)"
chr21-8,21,70000000,p12,"rgb(226,154,183)"
chr20-8,20,51200000,q13.13,"rgb(177,175,184)"
chr2-8,2,23800000,p24.1,"rgb(164,60,211)"
chr19-8,19,16100000,p13.12,"rgb(110,40,136)"
chr18-8,18,10900000,p11.22,"rgb(58,135,155)"
chr17-8,17,46800000,q21.31,"rgb(142,254,116)"
chr16-8,16,21200000,p12.3,"rgb(117,107,229)"
chr15-8,15,30000000,q13.1,"rgb(113,176,207)"
chr14-8,14,34800000,q13.1,"rgb(56,79,246)"
chr13-8,13,104200000,q33.1,"rgb(139,38,60)"
chr12-8,12,57700000,q13.3,"rgb(149,4,83)"
chr11-8,11,36400000,p13,"rgb(160,80,4)"
chr10-8,10,29300000,p12.1,"rgb(16,157,20)"
chr1-8,1,22440000,q42.11,"rgb(22,49,171)"
