block_id,start,end,name,color
chr1-7,0,2300000,p36.33,"rgb(173,6,6)"
chr1-7,2300000,5400000,p36.32,"rgb(153, 204, 255)"
chr1-7,5400000,7200000,p36.31,"rgb(173,6,6)"
chr1-7,7200000,9200000,p36.23,"rgb(153, 204, 255)"
chr1-7,9200000,12700000,p36.22,"rgb(173,6,6)"
chr1-7,12700000,16200000,p36.21,"rgb(255, 0, 255)"
chr1-7,16200000,20400000,p36.13,"rgb(173,6,6)"
chr1-7,20400000,23900000,p36.12,"rgb(153, 204, 255)"
chr1-7,23900000,28000000,p36.11,"rgb(173,6,6)"
chr1-7,28000000,30200000,p35.3,"rgb(153, 204, 255)"
chr1-7,30200000,32400000,p35.2,"rgb(173,6,6)"
chr1-7,32400000,34600000,p35.1,"rgb(153, 204, 255)"
chr1-7,34600000,40100000,p34.3,"rgb(173,6,6)"
chr1-7,40100000,44100000,p34.2,"rgb(153, 204, 255)"
chr1-7,44100000,46800000,p34.1,"rgb(173,6,6)"
chr1-7,46800000,50700000,p33,"rgb(102, 51, 0)"
chr1-7,50700000,56100000,p32.3,"rgb(173,6,6)"
chr1-7,56100000,59000000,p32.2,"rgb(255, 0, 255)"
chr1-7,59000000,61300000,p32.1,"rgb(173,6,6)"
chr1-7,61300000,68900000,p31.3,"rgb(255, 0, 255)"
chr1-7,68900000,69700000,p31.2,"rgb(173,6,6)"
chr1-7,69700000,84900000,p31.1,"rgb(153, 255, 102)"
chr1-7,84900000,88400000,p22.3,"rgb(173,6,6)"
chr1-7,88400000,92000000,p22.2,"rgb(102, 51, 0)"
chr1-7,92000000,94700000,p22.1,"rgb(173,6,6)"
chr1-7,94700000,99700000,p21.3,"rgb(102, 51, 0)"
chr1-7,99700000,102200000,p21.2,"rgb(173,6,6)"
chr1-7,102200000,107200000,p21.1,"rgb(153, 255, 102)"
chr1-7,107200000,111800000,p13.3,"rgb(173,6,6)"
chr1-7,111800000,116100000,p13.2,"rgb(255, 0, 255)"
chr1-7,116100000,117800000,p13.1,"rgb(173,6,6)"
chr1-7,117800000,120600000,p12,"rgb(255, 0, 255)"
chr1-7,120600000,121500000,p11.2,"rgb(173,6,6)"
chr1-7,121500000,125000000,p11.1,"rgb(130,130,130)"
chr1-7,125000000,128900000,q11,"rgb(130,130,130)"
chr1-7,128900000,142600000,q12,"rgb(204, 153, 0)"
chr1-7,142600000,147000000,q21.1,"rgb(173,6,6)"
chr1-7,147000000,150300000,q21.2,"rgb(255, 0, 255)"
chr1-7,150300000,155000000,q21.3,"rgb(173,6,6)"
chr1-7,155000000,156500000,q22,"rgb(255, 0, 255)"
chr1-7,156500000,159100000,q23.1,"rgb(173,6,6)"
chr1-7,159100000,160500000,q23.2,"rgb(255, 0, 255)"
chr1-7,160500000,165500000,q23.3,"rgb(173,6,6)"
chr1-7,165500000,167200000,q24.1,"rgb(255, 0, 255)"
chr1-7,167200000,170900000,q24.2,"rgb(173,6,6)"
chr1-7,170900000,172900000,q24.3,"rgb(102, 51, 0)"
chr1-7,172900000,176000000,q25.1,"rgb(173,6,6)"
chr1-7,176000000,180300000,q25.2,"rgb(255, 0, 255)"
chr1-7,180300000,185800000,q25.3,"rgb(173,6,6)"
chr1-7,185800000,190800000,q31.1,"rgb(153, 255, 102)"
chr1-7,190800000,193800000,q31.2,"rgb(173,6,6)"
chr1-7,193800000,198700000,q31.3,"rgb(153, 255, 102)"
chr1-7,198700000,207200000,q32.1,"rgb(173,6,6)"
chr1-7,207200000,211500000,q32.2,"rgb(153, 204, 255)"
chr1-7,211500000,214500000,q32.3,"rgb(173,6,6)"
chr1-7,214500000,224100000,q41,"rgb(153, 255, 102)"
chr1-7,224100000,224600000,q42.11,"rgb(173,6,6)"
chr1-7,224600000,227000000,q42.12,"rgb(153, 204, 255)"
chr1-7,227000000,230700000,q42.13,"rgb(173,6,6)"
chr1-7,230700000,234700000,q42.2,"rgb(255, 0, 255)"
chr1-7,234700000,236600000,q42.3,"rgb(173,6,6)"
chr1-7,236600000,243700000,q43,"rgb(102, 51, 0)"
