name,pop,lat,lon
American Samoa,5,-14.30063095,-170.695974791655
Angola,4,-11.8775768,17.5691241
Argentina,20,-34.9964963,-64.9672817
Australia,16,-24.7761086,134.755
Bangladesh,19,24.4768783,90.2932426
Belize,1,16.8259793,-88.7600927
Bhutan,1,27.549511,90.5119273
Bolivia,1,-17.0568696,-64.9912286
Brazil,120,-10.3333333,-53.2
Burkina Faso,9,12.0753083,-1.6880314
Cambodia,10,13.5066394,104.869423
Chile,1,-31.7613365,-71.3187697
China,134,25.4915799,-98.9811115045569
Colombia,50,2.8894434,-73.783892
Comoros,2,-12.2045176,44.2832964
Cook Islands,4,-16.0492781,-160.3554851
Costa Rica,2,10.2735633,-84.0739102
Cote D Ivoire,4,43.5957594,1.486982
Cuba,1,23.0131338,-80.8328748
Djibouti,3,11.85677545,42.7577845199437
Dominica,2,15.4113138,-61.3653618
Dominican Republic,1,19.0974031,-70.3028026
Eritrea,1,25.22091845,55.1728479503109
Fiji,9,-18.1239696,179.0122737
France,6,46.603354,1.8883335
French Guiana,21,4.0039882,-52.999998
French Polynesia,130,-18.6243749,-144.6434898
Germany,1,51.0834196,10.4234469
Ghana,1,8.0300284,-1.0800271
Grenada,3,12.1360374,-61.6904045
Guadeloupe,3,16.2490067,-61.5650444
Guam,1,13.444138,144.733626445767
Guatemala,1,15.6356088,-89.8988087
Haiti,4,19.1399952,-72.3570972
Honduras,1,15.0610686,-84.5978534
India,102,22.3511148,78.6677428
Indonesia,92,-4.7993356,114.5632032
Ireland,5,52.865196,-7.9794599
Italy,1,42.6384261,12.674297
Jamaica,2,18.1850507,-77.3947693
Japan,14,36.5748441,139.2394179
Madagascar,2,-18.78295335,46.7119260933426
Malaysia,23,2.3923759,112.8471939
Marshall Islands,2,6.9518742,170.9985095
Martinique,9,14.6113732,-60.9620777
Mexico,19,19.4326009,-99.1333416
Micronesia,5,5.5600565,150.1982846
Mozambique,2,19.058889,-96.254167
Myanmar,16,17.1750495,95.9999652
Nauru,2,-0.52826955,166.931524224807
Nepal,3,28.1083929,84.0917139
New Caledonia,90,-21.3019905,165.4880773
Nicaragua,26,12.3724928,-84.8700308
Niue,2,-19.0536414,-169.8613411
Pakistan,22,30.3308401,71.247499
Palau,1,42.5717989,2.9600905
Papua New Guinea,7,-5.6816069,144.2489081
Paraguay,1,-23.3165935,-58.1693445
Peru,27,41.3272919,-89.1287636
Philippines,7,12.7503486,122.7312101
Portugal,2,40.033265,-7.8896263
Puerto Rico,49,18.22141715,-66.4132818505648
Samoa,1,40.8187372,-124.1864518
Saudi Arabia,13,14.4845383,121.0221299
Senegal,2,14.4750607,-14.4529612
Seychelles,4,25.2244645,55.1828800434721
Singapore,45,1.2904753,103.8520359
Solomon Islands,2,-9.7354344,162.8288542
Somalia,4,-13.180556,15.266667
South Korea,10,41.7816885,123.4204203
Spain,26,40.0028028,-4.003104
Sri Lanka,58,7.878,80.7038245875
Suriname,3,4.1413025,-56.0771187
Taiwan,25,23.59829785,120.835363138175
Tanzania,3,-6.5247123,35.7878438
Thailand,75,14.8971921,100.83273
Togo,1,8.7800265,1.0199765
Tonga,2,-19.9160819,-175.2026424
Trinidad And Tobago,1,10.8677845,-60.9821067
USA,18,39.7837304,-100.4458825
Vanuatu,2,-16.5255069,168.1069154
Venezuela,14,8.0018709,-66.1109318
Vietnam,35,13.2904027,108.4265113
Yemen,1,16.3471243,47.8915271
