Author,n (strains),publication title,journal,publication URL,strains
Barthel et al.,3,?,,unknown,DENV1/NEW_CALEDONIA/1601171/2012 DENV1/NEW_CALEDONIA/2402205LAIT/2012 DENV1/NEW_CALEDONIA/280BB3/2012
Holmes et al.,2,?,,unknown,DENV4/THAILAND/0087/1977 DENV4/THAILAND/0348/1991
Cai et al.,1,?,,unknown,DENV2/CHINA/GZ05/2014
Alvarez et al.,8,?,,unknown,DENV2/COLOMBIA/I348600/1986 DENV/COLOMBIA/450024ILA/2015 DENV2/VENEZUELA/61154/2007 DENV2/CUBA/BA165/1997 DENV1/VENEZUELA/61081/2007 DENV1/VENEZUELA/610/2006 DENV1/VENEZUELA/61084/2007 DENV1/VENEZUELA/61068/2006
Liao et al.,1,?,,unknown,DENV1/CHINA/FS5001/2015
Arakaki et al.,1,?,,unknown,DENV1/JAPAN/1005/2014
Chouin-Carneiro et al.,2,?,,unknown,DENV4/BRAZIL/3603RJ/2012 DENV4/BRAZIL/1128RJ/2012
Brooks et al.,1,?,,unknown,DENV2/AUSTRALIA/TSV01/1993
Gu et al.,1,?,,unknown,DENV3/CHINA/ZJYW/2009
Afzal et al.,4,?,,unknown,DENV4/PAKISTAN/I5/2014 DENV2/PAKISTAN/NA/2010 DENV2/PAKISTAN/NA/2013 DENV2/PAKISTAN/NA/2011
Adachi et al.,9,?,,unknown,DENV1/MALAYSIA/NIID64/2014 DENV1/INDONESIA/NIID75/2014 DENV1/FRENCH_POLYNESIA/NIID78/2014 DENV1/SRI_LANKA/SRILANKANIID49/2014 DENV1/MYANMAR/NIID67/2014 DENV1/INDONESIA/NIID85/2014 DENV1/INDONESIA/NIID63/2014 DENV1/INDONESIA/NIID94/2014 DENV1/SINGAPORE/NIID144/2014
Chevillon et al.,2,?,,unknown,DENV1/THAILAND/30597/2007 DENV1/THAILAND/01096/2007
Huang et al.,1,?,,unknown,DENV1/CHINA/03/2012
Angel et al.,2,?,,unknown,DENV3/INDIA/RAJTHANDIADMRCBALOTRA87/2013 DENV3/INDIA/RAJTHANDIABALOTRA87S/2013
Adnan et al.,2,?,,unknown,DENV2/MALAYSIA/TM213/2014 DENV1/MALAYSIA/TM242/2014
Carvalho et al.,2,?,,unknown,DENV1/BRAZIL/01B01021093/2008 DENV1/BRAZIL/SB05780502/2001
