name,pop,lat,lon
American Samoa,1,-14.30063095,-170.695974791655
Angola,3,-11.8775768,17.5691241
Argentina,16,-34.9964963,-64.9672817
Australia,5,-24.7761086,134.755
Bangladesh,1,24.4768783,90.2932426
Barbados,4,13.1500331,-59.5250305
Bhutan,2,27.549511,90.5119273
Bolivia,1,-17.0568696,-64.9912286
Brazil,39,-10.3333333,-53.2
Cambodia,4,13.5066394,104.869423
Chile,1,-31.7613365,-71.3187697
China,70,25.4915799,-98.9811115045569
Comoros,1,-12.2045176,44.2832964
Cook Islands,1,-16.0492781,-160.3554851
Costa Rica,3,10.2735633,-84.0739102
Cote D Ivoire,1,43.5957594,1.486982
Djibouti,1,11.85677545,42.7577845199437
El Salvador,1,13.8000382,-88.9140683
Eritrea,1,25.22091845,55.1728479503109
Fiji,8,-18.1239696,179.0122737
France,3,46.603354,1.8883335
French Guiana,1,4.0039882,-52.999998
French Polynesia,53,-18.6243749,-144.6434898
Germany,1,51.0834196,10.4234469
Grenada,5,12.1360374,-61.6904045
Haiti,1,19.1399952,-72.3570972
India,34,22.3511148,78.6677428
Indonesia,41,-4.7993356,114.5632032
Ireland,2,52.865196,-7.9794599
Jamaica,1,18.1850507,-77.3947693
Japan,7,36.5748441,139.2394179
Madagascar,1,-18.78295335,46.7119260933426
Malaysia,8,2.3923759,112.8471939
Marshall Islands,1,6.9518742,170.9985095
Martinique,2,14.6113732,-60.9620777
Mexico,17,19.4326009,-99.1333416
Micronesia,2,5.5600565,150.1982846
Myanmar,11,17.1750495,95.9999652
Nauru,1,-0.52826955,166.931524224807
New Caledonia,54,-21.3019905,165.4880773
Nicaragua,12,12.3724928,-84.8700308
Niue,1,-19.0536414,-169.8613411
Pakistan,2,30.3308401,71.247499
Palau,1,42.5717989,2.9600905
Peru,1,41.3272919,-89.1287636
Philippines,1,12.7503486,122.7312101
Puerto Rico,18,18.22141715,-66.4132818505648
Saudi Arabia,9,14.4845383,121.0221299
Seychelles,3,25.2244645,55.1828800434721
Singapore,22,1.2904753,103.8520359
Solomon Islands,2,-9.7354344,162.8288542
Somalia,2,-13.180556,15.266667
South Korea,9,41.7816885,123.4204203
Spain,8,40.0028028,-4.003104
Sri Lanka,8,7.878,80.7038245875
Suriname,1,4.1413025,-56.0771187
Taiwan,5,23.59829785,120.835363138175
Thailand,39,14.8971921,100.83273
Tonga,2,-19.9160819,-175.2026424
Trinidad And Tobago,1,10.8677845,-60.9821067
USA,12,39.7837304,-100.4458825
Vanuatu,1,-16.5255069,168.1069154
Venezuela,12,8.0018709,-66.1109318
Vietnam,16,13.2904027,108.4265113
